value,type,question,a,b,c,d,e,truth
b,a,Why does Guo Wangshan hire herself?,Having a personal grudge against the Zhao family,Hired by others to bomb shops,I want to find someone to test the power of the bomb,Forced by others,,b
a,a,Who killed Mr. Zhao Wanlei?,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,,a
b,a,How did Mr. Zhao Wanlei die?,Shot to death,Beaten to death with a fist,Killed by explosives,Poisoned to death by poison,,d
b,a,What is the motive behind the killer killing Mr. Zhao Wanlei?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim, Mr. Zhao Wanlei. Who is that?",Enemies,Apprentice,subordinate,stranger,,c
b,a,Where was Mr. Zhao Wanlei killed?,In the manor of Jiaoshangfeng outside Zezhou Prefecture,In the silk shops of the county town,The Arsenal in Hanyang,In Zhao Wanlei's bedroom,,d
b,b,Please select the two people you most suspect of killing Mr. Zhao Wanlei,No killer (this is an accident),Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,a
b,a,How did Miss Zhao Luoyi fall into the hands of the Black Wolf Society?,The members of the Black Wolf Society kidnapped Zhao Luoyi as a threat to Zhao Wanlei,Zhao Luoyi was arrested by the police for promoting gender equality,Zhao Luoyi was mistakenly arrested by the police for accidentally entering a murderer's villa while promoting gender equality,Zhao Luoyi is a member of the Black Wolf Society,,c
b,a,What is the truth about kidnapping Zhao Luoyi?,"Zhao Luoyi was not kidnapped, she took her subordinates on a trip by herself","""Zhao Luoyi was not kidnapped, it was Feng Shuangji who sent someone to pick him up and take him home.""",Zhao Luoyi pretended to be kidnapped in order to break free from Zhao Wanlei's control,Zhao Luoyi was kidnapped by members of the Black Wolf Society as a threat to Zhao Wanlei,,b
b,a,Who is Zhao Wei's biological father?,Zhao Wanlei,Guo Wangshan,Feng Shuangji,Emperor Guangxu,,a
b,a,Who is Miss Zhao Luoyi's biological father?,Zhao Wanlei,Guo Wangshan,Feng Shuangji,Emperor Guangxu,,c
b,a,Who is helping Black Wolf do some secretive business?,Zhao Wanlei,Guo Wangshan,Feng Shuangji,Zhao,,c
b,a,"What is Yin Shaoming, a young person?",People from the Black Wolf Society,A kind-hearted person who mistakenly thought that Zhao Luoyi had been kidnapped and followed over feeling uneasy,Feng Shuangji's cousin and nephew,Zhao Wanlei's subordinates,,c
b,a,What is the relationship between the young man Yin Shaoming and the butler Feng Shuangji?,Yin Shaoming is Feng Shuangji's cousin's nephew,Yin Shaoming and Feng Shuangji are strangers,Yin Shaoming's grandfather is Feng Shuangji's master,Yin Shaoming and Feng Shuangji are both members of the Black Wolf Society,,c
b,a,What is the actual relationship between Zhao Qiu and the master Zhao Wanlei?,【 Zhao Qiu 】 Unilateral liking of the master 【 Zhao Wanlei 】,Grandpa [Zhao Wanlei] unilaterally likes [Zhao Qiu],Grandpa [Zhao Wanlei] is just joking about marrying [Zhao Qiu],Grandpa Zhao Wanlei and Zhao Qiu are in love with each other,,d
b,a,What is the purpose of coming to Danshui Mountain Villa?,Destroy the Zhao family,Discussing business with Zhao Wanlei,Propose to Zhao Wanlei,Find out the truth about the bombing case back then,,a
c,a,What is the relationship between the young man Yin Shaoming and the young lady Zhao Luoyi?,Zhao Luoyi is seeker of help from x and secret admirer of Yin Shaoming,Yin Shaoming is killed by x and tenant of Zhao Luoyi,Yin Shaoming is tenant and sister of Zhao Luoyi,Yin Shaoming is sister and enemy of Zhao Luoyi,,a
c,a,What is the relationship between young people Yin Shaoming and Yu Beichen?,Yu Beichen is father of Yin Shaoming,Yin Shaoming is secret crush of Yu Beichen,Yin Shaoming is Yu Beichen's victim's family,Yin Shaoming is secret admirer of Yu Beichen,,a
c,a,What is the relationship between young people Yin Shaoming and Ren?,Ren is mother of Yin Shaoming,Yin Shaoming is guard of Ren,Yin Shaoming is information receiver from Ren,Yin Shaoming is creditor of Ren,,a
c,a,What is the non-existent relationship between Master Zhao Wanlei and Butler Feng Shuangji?,Feng Shuangji is schoolmate of Zhao Wanlei,Feng Shuangji is servant of Zhao Wanlei,Feng Shuangji is employee of Zhao Wanlei,Zhao Wanlei is step-sister of Feng Shuangji,,d
c,a,What is the non-existent relationship between Master Zhao Wanlei and Guo Wangshan?,Guo Wangshan is Business Partner of X,Guo Wangshan is Attempted Murderer of X,Guo Wangshan is Perpetrator of X's family,Zhao Wanlei is future son in law of Guo Wangshan,,d
c,a,What is the non-existent relationship between Master Zhao Wanlei and Qi Yue?,Qi Yue is employee of Zhao Wanlei,Qi Yue is servant of Zhao Wanlei,Qi Yue is Perpetrator of X's family,Zhao Wanlei is extramarital affair with Qi Yue,,d
c,a,What is the non-existent relationship between Zhao Qiu and Miss Zhao Luoyi?,Zhao Luoyi is master of Zhao Qiuer,Zhao Luoyi is friend of Zhao Qiuer,Zhao Luoyi is jealous by Zhao Qiuer,Zhao Qiuer is elder brother of Zhao Luoyi,,d
c,a,What is the relationship between Zhao Qiu and Qi Yue?,Qi Yue is colleague and possibly family of Zhao Qiuer,Zhao Qiuer is enemy and secret admirer of Qi Yue,Zhao Qiuer is secret admirer and fondness of Qi Yue,Zhao Qiuer is fondness and lover of Qi Yue,,a
