value,type,question,a,b,c,d,e,truth
c,a,【尹少鸣】和【赵洛意】的关系是什么？,赵洛意 is seeker of help from x and secret admirer of 尹少鸣,尹少鸣 is killed by x and tenant of 赵洛意,尹少鸣 is tenant and sister of 赵洛意,尹少鸣 is sister and enemy of 赵洛意,,a
c,a,【尹少鸣】和【虞北辰】的关系是什么？,虞北辰 is father of 尹少鸣,尹少鸣 is secret crush of 虞北辰,尹少鸣 is 虞北辰's victim's family,尹少鸣 is secret admirer of 虞北辰,,a
c,a,【尹少鸣】和【任】的关系是什么？,任 is mother of 尹少鸣,尹少鸣 is guard of 任,尹少鸣 is information receiver from 任,尹少鸣 is creditor of 任,,a
c,a,【赵万雷】和【冯双骥】不存在的关系是什么？,冯双骥 is schoolmate of 赵万雷,冯双骥 is servant of 赵万雷,冯双骥 is employee of 赵万雷,赵万雷 is step-sister of 冯双骥,,d
c,a,【赵万雷】和【郭望山】不存在的关系是什么？,郭望山 is Business Partner of X,郭望山 is Attempted Murderer of X,郭望山 is Perpetrator of X's family,赵万雷 is future son in law of 郭望山,,d
c,a,【赵万雷】和【齐岳】不存在的关系是什么？,齐岳 is employee of 赵万雷,齐岳 is servant of 赵万雷,齐岳 is Perpetrator of X's family,赵万雷 is extramarital affair with 齐岳,,d
c,a,【赵秋儿】和【赵洛意】不存在的关系是什么？,赵洛意 is master of 赵秋儿,赵洛意 is friend of 赵秋儿,赵洛意 is jealous by 赵秋儿,赵秋儿 is elder brother of 赵洛意,,d
c,a,【赵秋儿】和【齐岳】的关系是什么？,齐岳 is colleague and possibly family of 赵秋儿,赵秋儿 is enemy and secret admirer of 齐岳,赵秋儿 is secret admirer and fondness of 齐岳,赵秋儿 is fondness and lover of 齐岳,,a
c,a,【赵秋儿】和【赵万雷】的关系是什么？,赵万雷 is employer of 赵秋儿,赵秋儿 is teacher of 赵万雷,赵秋儿 is elder sister of 赵万雷,赵秋儿 is sibling of 赵万雷,,a
c,a,【郭望山】和【小混混】的关系是什么？,小混混 is manipulated by x and employee of 郭望山,郭望山 is biological son and future daughter in law of 小混混,郭望山 is future daughter in law and elder sister of 小混混,郭望山 is elder sister and brother of 小混混,,a
c,a,【郭望山】和【赵万雷】的关系是什么？,赵万雷 is x's victim's family and business partner of 郭望山,郭望山 is ex-wife and step-daughter of 赵万雷,郭望山 is step-daughter and grandfather of 赵万雷,郭望山 is grandfather and nephew of 赵万雷,,a
c,a,【郭望山】和【花子狸】的关系是什么？,花子狸 is informant and acquaintance of 郭望山,郭望山 is creditor and relative of 花子狸,郭望山 is relative and granddaughter of 花子狸,郭望山 is granddaughter and customer of 花子狸,,a
