value,type,question,a,b,c,d,e,truth
a,a,孟三春被谁杀死的？,蔡思娘,张金银,洪江水,,,c
b,a,孟三春是怎么死的？,被拳头打死的,被毒药毒死的,被水淹死的,用刀杀死的,,d
b,a,孟三春的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人孟三春什么人？,律师,亲戚,儿子,上司,,d
b,a,孟三春是在哪里被杀死的？,厕所,客栈房间,山上,船上,,a
b,a,孟三春是什么时候被杀死的？,1170年10月25日晚11点,1170年10月25日凌晨1点,1170年10月25日上午10点,1170年10月25日晚上8点,,a
b,b,请选出你最怀疑杀死孟三春的两个人,蔡思娘,张金银,洪江水,,,c
c,a,【孟三春】和【张金银】不存在的关系是什么？,张金银 is sworn brother of 孟三春,张金银 is deceived by 孟三春,张金银 is friend of 孟三春,孟三春 is service provider of 张金银,,d
c,a,【孟三春】和【蔡思娘】不存在的关系是什么？,蔡思娘 is employee of 孟三春,蔡思娘 is dislike of 孟三春,蔡思娘 is enemy of 孟三春,孟三春 is schoolmate of 蔡思娘,,d
c,a,【孟三春】和【张红生】的关系是什么？,张红生 is wife and enemy of 孟三春,孟三春 is relative and patient of 张红生,孟三春 is patient and grandmother of 张红生,孟三春 is grandmother and father of 张红生,,a
