value,type,question,a,b,c,d,e,truth
a,a,Who killed Boss Yang?,First Mate Zhang,Shipyard Worker Wang,Ship Doctor Ling,,,a
b,a,How did Boss Yang die?,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,Killed with a knife,,b
b,a,What is the motive behind the killer killing Boss Yang?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,"The killer is the victim, Boss Yang. Who is it?",lawyer,relative,Son,Business partners,,d
b,a,Where was Boss Yang killed?,On deck,On the shore,Bar,My own room,,d
b,a,When was Boss Yang killed?,Around 22:10,1:00 AM,10am,8pm,,a
b,b,Please select the two people you most suspect of killing Boss Yang,First Mate Zhang,Shipyard Worker Wang,Ship Doctor Ling,,,a
c,a,What is the relationship between Very Naive and Secret Wen?,Secretary Wen is murderer and colleague of Very Naive,Very Naive is sister in law and helped by x of Secretary Wen,Very Naive is helped by x and grandchild of Secretary Wen,Very Naive is grandchild and father of Secretary Wen,,a
c,a,What is the relationship between Very Naive and First Mate Zhang?,First Mate Zhang is brother of Very Naive,Very Naive is perpetrator of First Mate Zhang,Very Naive is master of First Mate Zhang,Very Naive is schoolmate of First Mate Zhang,,a
c,a,What is the relationship between Very Naive and Boss Yang?,Boss Yang is employer of Very Naive,Very Naive is son in law of Boss Yang,Very Naive is ex-boyfriend of Boss Yang,Very Naive is sworn brother of Boss Yang,,a
c,a,What is the relationship between Boss Yang and Ship Doctor Ling that does not exist?,Ship Doctor Ling is business partner of Boss Yang,Ship Doctor Ling is debtor of Boss Yang,Ship Doctor Ling is informant of Boss Yang,Boss Yang is girlfriend of Ship Doctor Ling,,d
c,a,What is the relationship between Boss Yang and First Mate Zhang?,First Mate Zhang is business partner and murderer of Boss Yang,Boss Yang is crime partner and uncle of First Mate Zhang,Boss Yang is uncle and step-sister of First Mate Zhang,Boss Yang is step-sister and younger brother of First Mate Zhang,,a
c,a,What is the relationship between Boss Yang and Very Naive?,Very Naive is employee of Boss Yang,Boss Yang is father in law of Very Naive,Boss Yang is future relative of Very Naive,Boss Yang is girlfriend of Very Naive,,a
c,a,What is the relationship between Worker Wang and Ship Doctor Ling?,Ship Doctor Ling is romantic relationships with Worker Wang,Worker Wang is future daughter in law of Ship Doctor Ling,Worker Wang is perpetrator of Ship Doctor Ling,Worker Wang is sister in law of Ship Doctor Ling,,a
c,a,What is the relationship between Worker Wang and Shipyard Worker Wang?,Shipyard Worker Wang is father of Worker Wang,Worker Wang is quest companion of Shipyard Worker Wang,Worker Wang is romantic relationships with Shipyard Worker Wang,Worker Wang is ex-boyfriend of Shipyard Worker Wang,,a
c,a,What is the relationship between Worker Wang and First Mate Zhang?,First Mate Zhang is suspicious of Worker Wang,Worker Wang is future father in law of First Mate Zhang,Worker Wang is liked by First Mate Zhang,Worker Wang is adoptive mother of First Mate Zhang,,a
