value,type,question,a,b,c,d,e,truth
c,a,【吕名然】和【承格】不存在的关系是什么？,承格 is murderer of 吕名然,承格 is acquaintance of 吕名然,承格 is employee of 吕名然,吕名然 is sibling of 承格,,d
c,a,【吕名然】和【罗亨理】的关系是什么？,罗亨理 is superior and acquaintance of 吕名然,吕名然 is co-wives and grandchild of 罗亨理,吕名然 is grandchild and boyfriend of 罗亨理,吕名然 is boyfriend and biological father of 罗亨理,,a
c,a,【吕名然】和【谭仁昌】的关系是什么？,谭仁昌 is employer and acquaintance of 吕名然,吕名然 is thief and bully of 谭仁昌,吕名然 is bully and younger sister of 谭仁昌,吕名然 is younger sister and adoptive father of 谭仁昌,,a
c,a,【红儿】和【廖雪寒】不存在的关系是什么？,廖雪寒 is manipulator of 红儿,廖雪寒 is creditor of 红儿,廖雪寒 is helper of 红儿,红儿 is liked by 廖雪寒,,d
c,a,【红儿】和【承格】的关系是什么？,承格 is murderer of 红儿,红儿 is mentor of 承格,红儿 is customer of 承格,红儿 is daughter in law of 承格,,a
c,a,【红儿】和【欣雅】的关系是什么？,欣雅 is mother of 红儿,红儿 is disliked by 欣雅,红儿 is ex-boyfriend of 欣雅,红儿 is ex-husband of 欣雅,,a
c,a,【谭仁昌】和【谭尚致】的关系是什么？,谭尚致 is deceived by x and nephew of 谭仁昌,谭仁昌 is helped by x and secret crush of 谭尚致,谭仁昌 is secret crush and fondness of 谭尚致,谭仁昌 is fondness and wife of 谭尚致,,a
c,a,【谭仁昌】和【吕名然】的关系是什么？,吕名然 is acquaintance and employee of 谭仁昌,谭仁昌 is younger sister and attempted murderer of 吕名然,谭仁昌 is attempted murderer and secret crush of 吕名然,谭仁昌 is secret crush and elder brother of 吕名然,,a
c,a,【谭仁昌】和【承格】的关系是什么？,承格 is adoptive son and deceiver of 谭仁昌,谭仁昌 is master and ex-husband of 承格,谭仁昌 is ex-husband and fiance of 承格,谭仁昌 is fiance and seller of 承格,,a
c,a,【谭太太】和【尚致】的关系是什么？,尚致 is nephew and relative of 谭太太,谭太太 is suspicious and subject of investigation for x of 尚致,谭太太 is subject of investigation for x and messenger of 尚致,谭太太 is messenger and guest of 尚致,,a
c,a,【谭太太】和【谭尚致】的关系是什么？,谭尚致 is deceived by x and nephew of 谭太太,谭太太 is ex-husband and lover of 谭尚致,谭太太 is lover and product provider of 谭尚致,谭太太 is product provider and doctor of 谭尚致,,a
c,a,【谭太太】和【吕名然】的关系是什么？,吕名然 is extramarital affair with x and acquaintance of 谭太太,谭太太 is patient and unsuccessful helper of 吕名然,谭太太 is unsuccessful helper and bully of 吕名然,谭太太 is bully and biological mother of 吕名然,,a
