value,type,question,a,b,c,d,e,truth
a,a,大哥【Zhou Mengdang】被谁杀死的？,Zhou Lianyi,Xi Yan,Yu Sunian,Tian Chou,,d
b,a,大哥【Zhou Mengdang】是怎么死的？,被弩枪射死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀大哥【Zhou Mengdang】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人大哥【Zhou Mengdang】什么人？,仇人,同事,朋友,上级,,a
b,a,大哥【Zhou Mengdang】是在哪里被杀死的？,船上,南院,山上,河边,,a
b,b,请选出你最怀疑杀死大哥【Zhou Mengdang】的两个人,Zhou Lianyi,Xi Yan,Tian Chou,Yu Sunian,Yannan,c
a,a,sister-in-law Bao Liu被谁杀死的？,Yu Sunian,Xi Yan,Xi Yan,Tian Chou,,d
b,a,sister-in-law Bao Liu是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀sister-in-law Bao Liu的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人sister-in-law Bao Liu什么人？,仇人,母亲,律师,医生,,a
b,a,sister-in-law Bao Liu是在哪里被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死sister-in-law Bao Liu的两个人,Tian Chou,Zhou Lianyi,Yu Sunian,Xi Yan,Yannan,a
a,a,【Cui Shouheng】被谁杀死的？,Zhou Lianyi,Yu Sunian,Xi Yan,Tian Chou,,b
b,a,【Cui Shouheng】是怎么死的？,被弩枪射死的,被毒药毒死的,用机关杀死的,被水淹死的,,c
b,a,凶手杀【Cui Shouheng】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Cui Shouheng】什么人？,仇人,同事,朋友,上级,,a
b,a,【Cui Shouheng】是在哪里被杀死的？,家主房,南院,船上,河边,,a
b,b,请选出你最怀疑杀死【Cui Shouheng】的两个人,Zhou Lianyi,Xi Yan,Tian Chou,Yu Sunian,Yannan,d
a,a,Taitai(Wang Xi Rong)被谁杀死的？,Yu Sunian,Xi Yan,Zhou Lianyi,Tian Chou,,a
b,a,Taitai(Wang Xi Rong)是怎么死的？,被毒药毒死的,被拳头打死的,用石头砸死的,被水淹死的,,a
b,a,凶手杀Taitai(Wang Xi Rong)的动机是什么？,情杀,仇杀,利益,误杀,,d
b,a,凶手是被害人Taitai(Wang Xi Rong)什么人？,下属,母亲,律师,医生,,a
b,a,Taitai(Wang Xi Rong)是在哪里被杀死的？,屋子里,山上,船上,河边,,a
b,b,请选出你最怀疑杀死Taitai(Wang Xi Rong)的两个人,Tian Chou,Zhou Lianyi,Yu Sunian,Xi Yan,Yannan,c
b,a,【Yu Sunian】和【Yannan】真实关系是什么？,师生关系,恋人关系,没有关系,兄妹关系,,b
c,a,sister-in-law Bao Liu和【Tian Chou】不存在的关系是什么？,Tian Chou is friend of sister-in-law Bao Liu,Tian Chou is helped by sister-in-law Bao Liu,Tian Chou is betrayed by sister-in-law Bao Liu,sister-in-law Bao Liu is future son in law of Tian Chou,,d
c,a,sister-in-law Bao Liu和【Wang Xi Rong】的关系是什么？,Wang Xi Rong is master and helper of sister-in-law Bao Liu,sister-in-law Bao Liu is ex-wife and bully of Wang Xi Rong,sister-in-law Bao Liu is bully and future mother in law of Wang Xi Rong,sister-in-law Bao Liu is future mother in law and relative of Wang Xi Rong,,a
c,a,sister-in-law Bao Liu和【Wang Xi Yan】的关系是什么？,Wang Xi Yan is master and bully of sister-in-law Bao Liu,sister-in-law Bao Liu is father and adoptive sister of Wang Xi Yan,sister-in-law Bao Liu is adoptive sister and father in law of Wang Xi Yan,sister-in-law Bao Liu is father in law and boyfriend of Wang Xi Yan,,a
c,a,大哥【Zhou Mengdang】和【Cui Shouheng】不存在的关系是什么？,Cui Shouheng is helper of Zhou Mengdang,Cui Shouheng is master of Zhou Mengdang,Cui Shouheng is employer of Zhou Mengdang,Zhou Mengdang is in the lawsuit against Cui Shouheng,,d
c,a,大哥【Zhou Mengdang】和【Wang Xi Yan】不存在的关系是什么？,Wang Xi Yan is friend of Zhou Mengdang,Wang Xi Yan is ex-romantic relationships with Zhou Mengdang,Wang Xi Yan is extramarital affair with Zhou Mengdang,Zhou Mengdang is master of Wang Xi Yan,,d
c,a,大哥【Zhou Mengdang】和【Bao Liu】的关系是什么？,Bao Liu is wife of Zhou Mengdang,Zhou Mengdang is business partner of Bao Liu,Zhou Mengdang is adoptive brother of Bao Liu,Zhou Mengdang is debtor of Bao Liu,,a
c,a,Taitai(Wang Xi Rong)和【Bao Liu】的关系是什么？,Bao Liu is helped by x and servant of Taitai,Taitai is step-brother and subject of investigation for x of Bao Liu,Taitai is subject of investigation for x and future daughter in law of Bao Liu,Taitai is future daughter in law and unsuccessful helper of Bao Liu,,a
c,a,Taitai(Wang Xi Rong)和【Wang Xi Yan】的关系是什么？,Wang Xi Yan is sister and co-wives of Taitai,Taitai is jealous by x and doctor of Wang Xi Yan,Taitai is doctor and friend of Wang Xi Yan,Taitai is friend and perpetrator of Wang Xi Yan,,a
c,a,Taitai(Wang Xi Rong)和【Wang Shunming】的关系是什么？,Wang Shunming is father of Taitai,Taitai is product provider of Wang Shunming,Taitai is perpetrator of Wang Shunming,Taitai is girlfriend of Wang Shunming,,a
c,a,【Cui Shouheng】和【Zhou Mengdang】不存在的关系是什么？,Zhou Mengdang is minion of Cui Shouheng,Zhou Mengdang is servant of Cui Shouheng,Zhou Mengdang is employee of Cui Shouheng,Cui Shouheng is ex-husband of Zhou Mengdang,,d
c,a,【Cui Shouheng】和【Zhou Chitong】不存在的关系是什么？,Zhou Chitong is helped by Cui Shouheng,Zhou Chitong is thief of Cui Shouheng,Zhou Chitong is business partner of Cui Shouheng,Cui Shouheng is elder brother of Zhou Chitong,,d
c,a,【Cui Shouheng】和【Wang Xi Yan】的关系是什么？,Wang Xi Yan is sister in law and wife of Cui Shouheng,Cui Shouheng is victim and adversary of Wang Xi Yan,Cui Shouheng is adversary and helper of Wang Xi Yan,Cui Shouheng is helper and murderer of Wang Xi Yan,,a
c,a,【Tian Chou】和【Bao Liu】不存在的关系是什么？,Bao Liu is friend of Tian Chou,Bao Liu is helper of Tian Chou,Bao Liu is Tian Chou's enemy's family,Tian Chou is service provider of Bao Liu,,d
c,a,【Tian Chou】和【Zhou Chitong】不存在的关系是什么？,Zhou Chitong is helper of Tian Chou,Zhou Chitong is Tian Chou's enemy's family,Zhou Chitong is informant of Tian Chou,Tian Chou is business partner of Zhou Chitong,,d
c,a,【Tian Chou】和【Zhou Mengdang】不存在的关系是什么？,Zhou Mengdang is enemy of Tian Chou,Zhou Mengdang is perpetrator of Tian Chou,Zhou Mengdang is perpetrator of Tian Chou's family,Tian Chou is student of Zhou Mengdang,,d
