value,type,question,a,b,c,d,e,truth
a,a,Who killed Lin Weiren?,Lin Yang,Shen Cheng,Su Yang,Chen Jingwen,,c
b,a,How did Lin Weiren die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What was the motive behind the killer's murder of Lin Weiren?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim [Lin Weiren]. Who is it?,Son,father,lawyer,Superior,,d
b,a,Where was Lin Weiren killed?,study,In the yard,On the mountain,Riverside,,a
b,b,Please select the two people you most suspect of killing Lin Weiren,Lin Yang,Shen Cheng,Su Yang,Chen Jingwen,Gu Yu,c
a,a,Who killed Father Gu Minghe?,Lin Yang,Lin Xi,Su Yang,Chen Jingwen,,b
b,a,How did Father Gu Minghe die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What is the motive behind the killer killing his father Gu Minghe?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,"The perpetrator is the victim's father, Gu Minghe. Who is this?",Son,father,lawyer,Enemies,,d
b,a,Where was the father Gu Minghe killed?,Office building,In the yard,On the mountain,Riverside,,a
b,b,"Please select the two people you most suspect of killing your father, Gu Minghe",Lin Yang,Shen Cheng,Su Yang,Chen Jingwen,Lin Xi,e
c,a,What is the non-existent relationship between Lin Xi and Gu Qing?,Gu Qing is rival in love of Lin Xi,Gu Qing is dislike of Lin Xi,Gu Qing is friend of Lin Xi,Lin Xi is step-sister of Gu Qing,,d
c,a,What is the relationship between Lin Xi and Lin Yang?,Lin Yang is adoptive brother and hate of Lin Xi,Lin Xi is business partner and ex-romantic relationships with x of Lin Yang,Lin Xi is ex-romantic relationships with x and neighbour of Lin Yang,Lin Xi is neighbour and secret admirer of Lin Yang,,a
c,a,What is the relationship between Lin Xi and Chen Jingwen?,Chen Jingwen is acquaintance and rival in love of Lin Xi,Lin Xi is uncle and ex-husband of Chen Jingwen,Lin Xi is ex-husband and son of Chen Jingwen,Lin Xi is son and employer of Chen Jingwen,,a
c,a,What is the non-existent relationship between Lin Weiren and Shen Cheng?,Shen Cheng is employee of Lin Weiren,Shen Cheng is hate of Lin Weiren,Shen Cheng is servant of Lin Weiren,Lin Weiren is secret crush of Shen Cheng,,d
c,a,What is the non-existent relationship between Lin Weiren and Su Yang?,Su Yang is student of Lin Weiren,Su Yang is dislike of Lin Weiren,Su Yang is hate of Lin Weiren,Lin Weiren is adoptive mother of Su Yang,,d
c,a,What is the relationship between Lin Weiren and Lin Yang?,Lin Yang is son and adoptive son of Lin Weiren,Lin Weiren is guest and secret admirer of Lin Yang,Lin Weiren is secret admirer and sworn brother of Lin Yang,Lin Weiren is sworn brother and rival in love of Lin Yang,,a
c,a,What is the relationship between Gu Minghe and Gu Yu?,Gu Yu is subordinate and son of Gu Minghe,Gu Minghe is saved by x and x's enemy's family of Gu Yu,Gu Minghe is x's enemy's family and student of Gu Yu,Gu Minghe is student and rival of Gu Yu,,a
c,a,What is the relationship between Gu Minghe and Shen Cheng?,Shen Cheng is hate of Gu Minghe,Gu Minghe is son of Shen Cheng,Gu Minghe is business partner of Shen Cheng,Gu Minghe is father of Shen Cheng,,a
c,a,What is the relationship between Gu Minghe and Gu Qing?,Gu Qing is daughter of Gu Minghe,Gu Minghe is ex-husband of Gu Qing,Gu Minghe is superior of Gu Qing,Gu Minghe is fiance of Gu Qing,,a
