value,type,question,a,b,c,d,e,truth
b,a,双面虎【郭望山】（双面虎）为什么雇佣自己?,跟赵家有私仇,被其他人雇佣去炸店铺,想找人试试看炸弹的威力,被人强迫的,,b
a,a,老爷【赵万雷】被谁杀死的？,冯双骥,郭忘山,赵卫,齐岳,,a
b,a,老爷【赵万雷】是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被毒药毒死的,,d
b,a,凶手杀老爷【赵万雷】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人老爷【赵万雷】什么人？,仇人,徒弟,下属,陌生人,,c
b,a,老爷【赵万雷】是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城的绸缎铺里,汉阳的兵工厂,赵万雷的卧室里,,d
b,b,请选出你最怀疑杀死老爷【赵万雷】的两个人,没有凶手（这是一个意外）,冯双骥,郭忘山,赵卫,齐岳,a
b,a,小姐【赵洛意】是怎么落入黑狼会手里的？,黑狼会的人绑架赵洛意，以此来威胁赵万雷,赵洛意因为宣传男女平权被警方逮捕了,赵洛意因在宣传男女平权时误入杀人犯的别墅被警方误捕了,赵洛意是黑狼会的一员,,c
b,a,绑架赵洛意的真相是什么?,赵洛意没有被绑架，是她自己带着手下出行," ""赵洛意没有被绑架，是冯双骥派手下去接赵洛意回家""",赵洛意假装被人绑架，以此来脱离赵万雷的掌控,赵洛意被黑狼会的人绑架，以此来威胁赵万雷,,b
b,a,谁是【赵卫】的亲生父亲？,赵万雷,郭忘山,冯双骥,光绪皇帝,,a
b,a,谁是小姐【赵洛意】的亲生父亲？,赵万雷,郭忘山,冯双骥,光绪皇帝,,c
b,a,谁在帮助黑狼会做一些隐秘的生意？,赵万雷,郭忘山,冯双骥,赵,,c
b,a,年轻人【尹少鸣】是什么人？,黑狼会的人,误以为赵洛意被绑架了，不放心而跟过来的热心人,冯双骥的表外甥,赵万雷的下属,,c
b,a,年轻人【尹少鸣】和管家【冯双骥】是什么关系？,尹少鸣是冯双骥的表外甥,尹少鸣和冯双骥是陌生人,尹少鸣的外公是冯双骥的师父,尹少鸣和冯双骥都是黑狼会的人,,c
b,a,【赵秋儿】和老爷【赵万雷】实际上是什么关系？,【赵秋儿】单方面喜欢老爷【赵万雷】,老爷【赵万雷】单方面喜欢【赵秋儿】,老爷【赵万雷】只是开玩笑要娶【赵秋儿】,老爷【赵万雷】和【赵秋儿】两情相悦,,d
b,a,【郭忘山】来丹水山庄有什么目的？,毁掉赵家,和赵万雷谈生意,向赵万雷提亲,找出当年爆炸案的真相,,a
c,a,年轻人【尹少鸣】和小姐【赵洛意】的关系是什么？,赵洛意 is seeker of help from x and secret admirer of 尹少鸣,尹少鸣 is killed by x and tenant of 赵洛意,尹少鸣 is tenant and sister of 赵洛意,尹少鸣 is sister and enemy of 赵洛意,,a
c,a,年轻人【尹少鸣】和【虞北辰】的关系是什么？,虞北辰 is father of 尹少鸣,尹少鸣 is secret crush of 虞北辰,尹少鸣 is 虞北辰's victim's family,尹少鸣 is secret admirer of 虞北辰,,a
c,a,年轻人【尹少鸣】和【任】的关系是什么？,任 is mother of 尹少鸣,尹少鸣 is guard of 任,尹少鸣 is information receiver from 任,尹少鸣 is creditor of 任,,a
c,a,老爷【赵万雷】和管家【冯双骥】不存在的关系是什么？,冯双骥 is schoolmate of 赵万雷,冯双骥 is servant of 赵万雷,冯双骥 is employee of 赵万雷,赵万雷 is step-sister of 冯双骥,,d
c,a,老爷【赵万雷】和【郭望山】不存在的关系是什么？,郭望山 is Business Partner of X,郭望山 is Attempted Murderer of X,郭望山 is Perpetrator of X's family,赵万雷 is future son in law of 郭望山,,d
c,a,老爷【赵万雷】和【齐岳】不存在的关系是什么？,齐岳 is employee of 赵万雷,齐岳 is servant of 赵万雷,齐岳 is Perpetrator of X's family,赵万雷 is extramarital affair with 齐岳,,d
c,a,【赵秋儿】和小姐【赵洛意】不存在的关系是什么？,赵洛意 is master of 赵秋儿,赵洛意 is friend of 赵秋儿,赵洛意 is jealous by 赵秋儿,赵秋儿 is elder brother of 赵洛意,,d
c,a,【赵秋儿】和【齐岳】的关系是什么？,齐岳 is colleague and possibly family of 赵秋儿,赵秋儿 is enemy and secret admirer of 齐岳,赵秋儿 is secret admirer and fondness of 齐岳,赵秋儿 is fondness and lover of 齐岳,,a
c,a,【赵秋儿】和老爷【赵万雷】的关系是什么？,赵万雷 is employer of 赵秋儿,赵秋儿 is teacher of 赵万雷,赵秋儿 is elder sister of 赵万雷,赵秋儿 is sibling of 赵万雷,,a
c,a,双面虎【郭望山】和【小混混】的关系是什么？,小混混 is manipulated by x and employee of 郭望山,郭望山 is biological son and future daughter in law of 小混混,郭望山 is future daughter in law and elder sister of 小混混,郭望山 is elder sister and brother of 小混混,,a
c,a,双面虎【郭望山】和老爷【赵万雷】的关系是什么？,赵万雷 is x's victim's family and business partner of 郭望山,郭望山 is ex-wife and step-daughter of 赵万雷,郭望山 is step-daughter and grandfather of 赵万雷,郭望山 is grandfather and nephew of 赵万雷,,a
c,a,双面虎【郭望山】和【花子狸】的关系是什么？,花子狸 is informant and acquaintance of 郭望山,郭望山 is creditor and relative of 花子狸,郭望山 is relative and granddaughter of 花子狸,郭望山 is granddaughter and customer of 花子狸,,a
