value,type,question,a,b,c,d,e,truth
a,a,【Lv Mingran】被谁杀死的？,Shang Zhi,Hai You,Mrs. Tan,Cheng Ge,,a
b,a,【Lv Mingran】是怎么死的？,用麻醉药麻醉后吊死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Lv Mingran】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Lv Mingran】什么人？,合作关系,父亲,舅舅,律师,,a
b,a,【Lv Mingran】是在哪里被杀死的？,一层大厅上方,在楼顶,山上,河边,,a
b,a,【Lv Mingran】是什么时候被杀死的？,9.28号10点左右,9.28号9点左右,9.25号,9.24号,,a
b,b,请选出你最怀疑杀死【Lv Mingran】的两个人,Shang Zhi,Hai You,Cheng Ge,Mrs. Tan,Liao Gongzi,a
a,a,【A masked female corpse】被谁杀死的？,Shang Zhi,Hai You,Mrs. Tan,Cheng Ge,,a
a,a,【A masked female corpse】是谁？,Hong Er,仆人,Dr. Zhan,Julie,,a
b,a,【A masked female corpse】是怎么死的？,用枪杀死的,被拳头打死的,用绳子勒死的,被水淹死的,,c
b,a,凶手杀【A masked female corpse】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【A masked female corpse】什么人？,小时候熟人,母亲,律师,医生,,a
b,a,【A masked female corpse】是在哪里被杀死的？,Liao Gongzi房,储物室,河边,山上,,a
b,a,【A masked female corpse】是什么时候被杀死的？,9.28号9点左右,9.25号,9.24号,10月,,a
b,b,请选出你最怀疑杀死【A masked female corpse】的两个人,Shang Zhi,Liao Gongzi,Mrs. Tan,Hai You,Cheng Ge,a
a,a,【Tan Renchang】被谁杀死的？,Liao Gongzi,Hai You,Mrs. Tan,Cheng Ge,,a
b,a,【Tan Renchang】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀【Tan Renchang】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Tan Renchang】什么人？,仇人,母亲,律师,医生,,a
b,a,【Tan Renchang】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,a,【Tan Renchang】是什么时候被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死【Tan Renchang】的两个人,Liao Gongzi,Cheng Ge,Mrs. Tan,Hai You,Shang Zhi,a
b,b,【Cheng Ge】是【Xinya】的儿子吗？,不是，是冒充的,是亲生儿子,,,b,
b,a,【Shang Zhi】和【Zina】真正的关系是什么？,【Shang Zhi】喜欢【Zina】并帮她还债,【Shang Zhi】在利用【Zina】,【Shang Zhi】和【Zina】没有关系,【Shang Zhi】和【Zina】是兄妹,,a
b,b,【Lv Mingran】被撤职的真相是什么？,被【Liao Gongzi】利用，被夺取了设计夺取“远亨罗氏”的码头并欠了一大笔钱,因为【Lv Mingran】不想做了,因为【Lv Mingran】岁数太大退休了,因为【Lv Mingran】意外死亡,,a
c,a,【Lv Mingran】和【Cheng Ge】不存在的关系是什么？,Cheng Ge is murderer of Lv Mingran,Cheng Ge is acquaintance of Lv Mingran,Cheng Ge is employee of Lv Mingran,Lv Mingran is sibling of Cheng Ge,,d
c,a,【Lv Mingran】和【Luo Hengli】的关系是什么？,Luo Hengli is superior and acquaintance of Lv Mingran,Lv Mingran is co-wives and grandchild of Luo Hengli,Lv Mingran is grandchild and boyfriend of Luo Hengli,Lv Mingran is boyfriend and biological father of Luo Hengli,,a
c,a,【Lv Mingran】和【Tan Renchang】的关系是什么？,Tan Renchang is employer and acquaintance of Lv Mingran,Lv Mingran is thief and bully of Tan Renchang,Lv Mingran is bully and younger sister of Tan Renchang,Lv Mingran is younger sister and adoptive father of Tan Renchang,,a
c,a,【Hong Er】和【Liao Xuehan】不存在的关系是什么？,Liao Xuehan is manipulator of Hong Er,Liao Xuehan is creditor of Hong Er,Liao Xuehan is helper of Hong Er,Hong Er is liked by Liao Xuehan,,d
c,a,【Hong Er】和【Cheng Ge】的关系是什么？,Cheng Ge is murderer of Hong Er,Hong Er is mentor of Cheng Ge,Hong Er is customer of Cheng Ge,Hong Er is daughter in law of Cheng Ge,,a
c,a,【Hong Er】和【Xinya】的关系是什么？,Xinya is mother of Hong Er,Hong Er is disliked by Xinya,Hong Er is ex-boyfriend of Xinya,Hong Er is ex-husband of Xinya,,a
c,a,【Tan Renchang】和【谭Shang Zhi】的关系是什么？,谭Shang Zhi is deceived by x and nephew of Tan Renchang,Tan Renchang is helped by x and secret crush of 谭Shang Zhi,Tan Renchang is secret crush and fondness of 谭Shang Zhi,Tan Renchang is fondness and wife of 谭Shang Zhi,,a
c,a,【Tan Renchang】和【Lv Mingran】的关系是什么？,Lv Mingran is acquaintance and employee of Tan Renchang,Tan Renchang is younger sister and attempted murderer of Lv Mingran,Tan Renchang is attempted murderer and secret crush of Lv Mingran,Tan Renchang is secret crush and elder brother of Lv Mingran,,a
c,a,【Tan Renchang】和【Cheng Ge】的关系是什么？,Cheng Ge is adoptive son and deceiver of Tan Renchang,Tan Renchang is master and ex-husband of Cheng Ge,Tan Renchang is ex-husband and fiance of Cheng Ge,Tan Renchang is fiance and seller of Cheng Ge,,a
c,a,【Mrs. Tan】和【Shang Zhi】的关系是什么？,Shang Zhi is nephew and relative of Mrs. Tan,Mrs. Tan is suspicious and subject of investigation for x of Shang Zhi,Mrs. Tan is subject of investigation for x and messenger of Shang Zhi,Mrs. Tan is messenger and guest of Shang Zhi,,a
c,a,【Mrs. Tan】和【谭Shang Zhi】的关系是什么？,谭Shang Zhi is deceived by x and nephew of Mrs. Tan,Mrs. Tan is ex-husband and lover of 谭Shang Zhi,Mrs. Tan is lover and product provider of 谭Shang Zhi,Mrs. Tan is product provider and doctor of 谭Shang Zhi,,a
c,a,【Mrs. Tan】和【Lv Mingran】的关系是什么？,Lv Mingran is extramarital affair with x and acquaintance of Mrs. Tan,Mrs. Tan is patient and unsuccessful helper of Lv Mingran,Mrs. Tan is unsuccessful helper and bully of Lv Mingran,Mrs. Tan is bully and biological mother of Lv Mingran,,a
