value,type,question,a,b,c,d,e,truth
b,a,Shuang Mian Hu【Guo Wangshan】（Shuang Mian Hu）为什么雇佣自己?,跟赵家有私仇,被其他人雇佣去炸店铺,想找人试试看炸弹的威力,被人强迫的,,b
a,a,老爷【Zhao Wanlei】被谁杀死的？,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,,a
b,a,老爷【Zhao Wanlei】是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被毒药毒死的,,d
b,a,凶手杀老爷【Zhao Wanlei】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人老爷【Zhao Wanlei】什么人？,仇人,徒弟,下属,陌生人,,c
b,a,老爷【Zhao Wanlei】是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城的绸缎铺里,汉阳的兵工厂,Zhao Wanlei的卧室里,,d
b,b,请选出你最怀疑杀死老爷【Zhao Wanlei】的两个人,没有凶手（这是一个意外）,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,a
b,a,小姐【Zhao Luoyi】是怎么落入黑狼会手里的？,黑狼会的人绑架Zhao Luoyi，以此来威胁Zhao Wanlei,Zhao Luoyi因为宣传男女平权被警方逮捕了,Zhao Luoyi因在宣传男女平权时误入杀人犯的别墅被警方误捕了,Zhao Luoyi是黑狼会的一员,,c
b,a,绑架Zhao Luoyi的真相是什么?,Zhao Luoyi没有被绑架，是她自己带着手下出行," ""Zhao Luoyi没有被绑架，是Feng Shuangji派手下去接Zhao Luoyi回家""",Zhao Luoyi假装被人绑架，以此来脱离Zhao Wanlei的掌控,Zhao Luoyi被黑狼会的人绑架，以此来威胁Zhao Wanlei,,b
b,a,谁是【Zhao Wei】的亲生父亲？,Zhao Wanlei,Guo Wangshan,Feng Shuangji,光绪皇帝,,a
b,a,谁是小姐【Zhao Luoyi】的亲生父亲？,Zhao Wanlei,Guo Wangshan,Feng Shuangji,光绪皇帝,,c
b,a,谁在帮助黑狼会做一些隐秘的生意？,Zhao Wanlei,Guo Wangshan,Feng Shuangji,赵,,c
b,a,年轻人【Yin Shaoming】是什么人？,黑狼会的人,误以为Zhao Luoyi被绑架了，不放心而跟过来的热心人,Feng Shuangji的表外甥,Zhao Wanlei的下属,,c
b,a,年轻人【Yin Shaoming】和管家【Feng Shuangji】是什么关系？,Yin Shaoming是Feng Shuangji的表外甥,Yin Shaoming和Feng Shuangji是陌生人,Yin Shaoming的外公是Feng Shuangji的师父,Yin Shaoming和Feng Shuangji都是黑狼会的人,,c
b,a,【Zhao Qiuer】和老爷【Zhao Wanlei】实际上是什么关系？,【Zhao Qiuer】单方面喜欢老爷【Zhao Wanlei】,老爷【Zhao Wanlei】单方面喜欢【Zhao Qiuer】,老爷【Zhao Wanlei】只是开玩笑要娶【Zhao Qiuer】,老爷【Zhao Wanlei】和【Zhao Qiuer】两情相悦,,d
b,a,【Guo Wangshan】来丹水山庄有什么目的？,毁掉赵家,和Zhao Wanlei谈生意,向Zhao Wanlei提亲,找出当年爆炸案的真相,,a
c,a,年轻人【Yin Shaoming】和小姐【Zhao Luoyi】的关系是什么？,Zhao Luoyi is seeker of help from x and secret admirer of Yin Shaoming,Yin Shaoming is killed by x and tenant of Zhao Luoyi,Yin Shaoming is tenant and sister of Zhao Luoyi,Yin Shaoming is sister and enemy of Zhao Luoyi,,a
c,a,年轻人【Yin Shaoming】和【Yu Beichen】的关系是什么？,Yu Beichen is father of Yin Shaoming,Yin Shaoming is secret crush of Yu Beichen,Yin Shaoming is Yu Beichen's victim's family,Yin Shaoming is secret admirer of Yu Beichen,,a
c,a,年轻人【Yin Shaoming】和【Ren】的关系是什么？,Ren is mother of Yin Shaoming,Yin Shaoming is guard of Ren,Yin Shaoming is information receiver from Ren,Yin Shaoming is creditor of Ren,,a
c,a,老爷【Zhao Wanlei】和管家【Feng Shuangji】不存在的关系是什么？,Feng Shuangji is schoolmate of Zhao Wanlei,Feng Shuangji is servant of Zhao Wanlei,Feng Shuangji is employee of Zhao Wanlei,Zhao Wanlei is step-sister of Feng Shuangji,,d
c,a,老爷【Zhao Wanlei】和【Guo Wangshan】不存在的关系是什么？,Guo Wangshan is Business Partner of X,Guo Wangshan is Attempted Murderer of X,Guo Wangshan is Perpetrator of X's family,Zhao Wanlei is future son in law of Guo Wangshan,,d
c,a,老爷【Zhao Wanlei】和【Qi Yue】不存在的关系是什么？,Qi Yue is employee of Zhao Wanlei,Qi Yue is servant of Zhao Wanlei,Qi Yue is Perpetrator of X's family,Zhao Wanlei is extramarital affair with Qi Yue,,d
c,a,【Zhao Qiuer】和小姐【Zhao Luoyi】不存在的关系是什么？,Zhao Luoyi is master of Zhao Qiuer,Zhao Luoyi is friend of Zhao Qiuer,Zhao Luoyi is jealous by Zhao Qiuer,Zhao Qiuer is elder brother of Zhao Luoyi,,d
c,a,【Zhao Qiuer】和【Qi Yue】的关系是什么？,Qi Yue is colleague and possibly family of Zhao Qiuer,Zhao Qiuer is enemy and secret admirer of Qi Yue,Zhao Qiuer is secret admirer and fondness of Qi Yue,Zhao Qiuer is fondness and lover of Qi Yue,,a
c,a,【Zhao Qiuer】和老爷【Zhao Wanlei】的关系是什么？,Zhao Wanlei is employer of Zhao Qiuer,Zhao Qiuer is teacher of Zhao Wanlei,Zhao Qiuer is elder sister of Zhao Wanlei,Zhao Qiuer is sibling of Zhao Wanlei,,a
c,a,Shuang Mian Hu【Guo Wangshan】和【Xiao Hunhun or Little Rascal】的关系是什么？,Xiao Hunhun or Little Rascal is manipulated by x and employee of Guo Wangshan,Guo Wangshan is biological son and future daughter in law of Xiao Hunhun or Little Rascal,Guo Wangshan is future daughter in law and elder sister of Xiao Hunhun or Little Rascal,Guo Wangshan is elder sister and brother of Xiao Hunhun or Little Rascal,,a
c,a,Shuang Mian Hu【Guo Wangshan】和老爷【Zhao Wanlei】的关系是什么？,Zhao Wanlei is x's victim's family and business partner of Guo Wangshan,Guo Wangshan is ex-wife and step-daughter of Zhao Wanlei,Guo Wangshan is step-daughter and grandfather of Zhao Wanlei,Guo Wangshan is grandfather and nephew of Zhao Wanlei,,a
c,a,Shuang Mian Hu【Guo Wangshan】和【Huazi Li or Skunk】的关系是什么？,Huazi Li or Skunk is informant and acquaintance of Guo Wangshan,Guo Wangshan is creditor and relative of Huazi Li or Skunk,Guo Wangshan is relative and granddaughter of Huazi Li or Skunk,Guo Wangshan is granddaughter and customer of Huazi Li or Skunk,,a
