value,type,question,a,b,c,d,e,truth
a,a,Who killed Lin Weiren?,Lin Xi,Lin Yang,Su Yang,Chen Jingwen,,c
b,a,How did Lin Weiren die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What was the motive behind the killer's murder of Lin Weiren?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim [Lin Weiren]. Who is it?,Son,father,lawyer,Superior,,d
b,a,Where was Lin Weiren killed?,study,In the yard,On the mountain,Riverside,,a
b,b,Please select the two people you most suspect of killing Lin Weiren,Lin Xi,Lin Yang,Su Yang,Chen Jingwen,Gu Yu,c
a,a,Who killed Gu Minghe?,Lin Xi,Lin Xi,Su Yang,Chen Jingwen,,b
b,a,How did Gu Minghe die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What is the motive behind the killer killing Gu Minghe?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim Gu Minghe. Who is that?,Son,father,lawyer,Enemies,,d
b,a,Where was Gu Minghe killed?,Office building,In the yard,On the mountain,Riverside,,a
b,b,Please select the two people you most suspect of killing Gu Minghe,Lin Xi,Lin Yang,Su Yang,Chen Jingwen,Lin Xi,e
b,a, ,trust,Distrust,,,,a
c,a,What is the non-existent relationship between Lin Xi and Gu Qing?,Gu Qing is rival in love of Lin Xi,Gu Qing is dislike of Lin Xi,Gu Qing is friend of Lin Xi,Lin Xi is younger sister of Gu Qing,,d
c,a,What is the relationship between Lin Xi and Lin Yang?,Lin Yang is adoptive brother and hate of Lin Xi,Lin Xi is fiance and saviour of Lin Yang,Lin Xi is saviour and teacher of Lin Yang,Lin Xi is teacher and debtor of Lin Yang,,a
c,a,What is the relationship between Lin Xi and Chen Jingwen?,Chen Jingwen is acquaintance and rival in love of Lin Xi,Lin Xi is ex-romantic relationships with x and wife of Chen Jingwen,Lin Xi is wife and service provider of Chen Jingwen,Lin Xi is service provider and sister of Chen Jingwen,,a
c,a,What is the non-existent relationship between Lin Weiren and Shen Cheng?,Shen Cheng is employee of Lin Weiren,Shen Cheng is hate of Lin Weiren,Shen Cheng is servant of Lin Weiren,Lin Weiren is seeker of help from Shen Cheng,,d
c,a,What is the non-existent relationship between Lin Weiren and Su Yang?,Su Yang is student of Lin Weiren,Su Yang is dislike of Lin Weiren,Su Yang is hate of Lin Weiren,Lin Weiren is patient of Su Yang,,d
c,a,What is the relationship between Lin Weiren and Lin Yang?,Lin Yang is son and adoptive son of Lin Weiren,Lin Weiren is ex-wife and perpetrator of Lin Yang,Lin Weiren is perpetrator and wife of Lin Yang,Lin Weiren is wife and guest of Lin Yang,,a
c,a,What is the relationship between Su Yang and Gu Qing?,Gu Qing is acquaintance and secret admirer of Su Yang,Su Yang is disliked by x and creditor of Gu Qing,Su Yang is creditor and adoptive son of Gu Qing,Su Yang is adoptive son and grandmother of Gu Qing,,a
c,a,What is the relationship between Su Yang and Lin Xi?,Lin Xi is fiancee of Su Yang,Su Yang is jealous of Lin Xi,Su Yang is patient of Lin Xi,Su Yang is elder sister of Lin Xi,,a
c,a,What is the relationship between Su Yang and Lin Weiren?,Lin Weiren is teacher of Su Yang,Su Yang is sister of Lin Weiren,Su Yang is future daughter in law of Lin Weiren,Su Yang is service provider of Lin Weiren,,a
c,a,What is the relationship between Gu Minghe and Gu Yu?,Gu Yu is subordinate and son of Gu Minghe,Gu Minghe is schoolmate and neighbour of Gu Yu,Gu Minghe is neighbour and sworn brother of Gu Yu,Gu Minghe is sworn brother and suspicious of Gu Yu,,a
c,a,What is the relationship between Gu Minghe and Shen Cheng?,Shen Cheng is hate of Gu Minghe,Gu Minghe is grandfather of Shen Cheng,Gu Minghe is husband of Shen Cheng,Gu Minghe is student of Shen Cheng,,a
c,a,What is the relationship between Gu Minghe and Gu Qing?,Gu Qing is daughter of Gu Minghe,Gu Minghe is perpetrator of Gu Qing's family,Gu Minghe is in the lawsuit against Gu Qing,Gu Minghe is service provider of Gu Qing,,a
