value,type,question,a,b,c,d,e,truth
c,a,【于氏】和【甜愁】不存在的关系是什么？,甜愁 is friend of 于氏,甜愁 is helped by 于氏,甜愁 is betrayed by 于氏,于氏 is mother of 甜愁,,d
c,a,【于氏】和【汪昔容】的关系是什么？,汪昔容 is master and helper of 于氏,于氏 is jealous by x and adoptive father of 汪昔容,于氏 is adoptive father and future son in law of 汪昔容,于氏 is future son in law and adversary of 汪昔容,,a
c,a,【于氏】和【汪昔颜】的关系是什么？,汪昔颜 is master and bully of 于氏,于氏 is schoolmate and grandchild of 汪昔颜,于氏 is grandchild and father in law of 汪昔颜,于氏 is father in law and future mother in law of 汪昔颜,,a
c,a,【周蒙当】和【崔寿亨】不存在的关系是什么？,崔寿亨 is helper of 周蒙当,崔寿亨 is master of 周蒙当,崔寿亨 is employer of 周蒙当,周蒙当 is step-mother of 崔寿亨,,d
c,a,【周蒙当】和【汪昔颜】不存在的关系是什么？,汪昔颜 is friend of 周蒙当,汪昔颜 is ex-romantic relationships with 周蒙当,汪昔颜 is extramarital affair with 周蒙当,周蒙当 is younger sister of 汪昔颜,,d
c,a,【周蒙当】和【宝柳】的关系是什么？,宝柳 is wife of 周蒙当,周蒙当 is future son in law of 宝柳,周蒙当 is perpetrator of 宝柳's family,周蒙当 is betrayed by 宝柳,,a
c,a,【太太】和【宝柳】的关系是什么？,宝柳 is helped by x and servant of 太太,太太 is suspect to x and fiancee of 宝柳,太太 is fiancee and grandson of 宝柳,太太 is grandson and grandparent of 宝柳,,a
c,a,【太太】和【汪昔颜】的关系是什么？,汪昔颜 is sister and co-wives of 太太,太太 is bully and creditor of 汪昔颜,太太 is creditor and rebellion against x of 汪昔颜,太太 is rebellion against x and schoolmate of 汪昔颜,,a
c,a,【太太】和【汪舜明】的关系是什么？,汪舜明 is father of 太太,太太 is romantic relationships with 汪舜明,太太 is ex-husband of 汪舜明,太太 is deceived by 汪舜明,,a
c,a,【崔寿亨】和【周蒙当】不存在的关系是什么？,周蒙当 is minion of 崔寿亨,周蒙当 is servant of 崔寿亨,周蒙当 is employee of 崔寿亨,崔寿亨 is son in law of 周蒙当,,d
c,a,【崔寿亨】和【周持同】不存在的关系是什么？,周持同 is helped by 崔寿亨,周持同 is thief of 崔寿亨,周持同 is business partner of 崔寿亨,崔寿亨 is grandson of 周持同,,d
c,a,【崔寿亨】和【汪昔颜】的关系是什么？,汪昔颜 is sister in law and wife of 崔寿亨,崔寿亨 is superior and master of 汪昔颜,崔寿亨 is master and spy of 汪昔颜,崔寿亨 is spy and perpetrator 's family of 汪昔颜,,a
