value,type,question,a,b,c,d,e,truth
a,a,Who killed Zhao Cishan?,Zhang Villager,Chief Wang,Officer Li,,,b
b,a,How did Zhao Cishan die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Killed with a gun,,c
b,a,What was the motive behind the killer killing Zhao Cishan?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,The perpetrator is the victim Zhao Cishan. Who is it?,Son,father,lawyer,Enemies,,d
b,a,Where was Zhao Cishan killed?,In his own home,ashore ,On deck,Riverside,,a
b,a,When was Zhao Cishan killed?,"May 14th, 2032, after 9pm","May 1st, 2032 daytime","Early morning on May 14, 2032","May 14, 2032 daytime",,a
b,b,Please select the two people you most suspect of killing Zhao Cishan,Zhang Villager,Chief Wang,Officer Li,commit suicide,,b
b,a,Who is a killer?,Zhang Villager,Chief Wang,Officer Li,,,a
c,a,What is the relationship between Chief Wang and Hu Investigate?,Hu Investigate is dislike and acquaintance of Chief Wang,Chief Wang is future relative and biological mother of Hu Investigate,Chief Wang is biological mother and elder brother of Hu Investigate,Chief Wang is elder brother and brother of Hu Investigate,,a
c,a,What is the relationship between Chief Wang and Zhao Cishan?,Zhao Cishan is victim and hate of Chief Wang,Chief Wang is girlfriend and step-son of Zhao Cishan,Chief Wang is step-son and tour guide of Zhao Cishan,Chief Wang is tour guide and twin sister of Zhao Cishan,,a
c,a,What is the relationship between Chief Wang and Zhang Villager?,Zhang Villager is acquaintance of Chief Wang,Chief Wang is rebellion against Zhang Villager,Chief Wang is mother of Zhang Villager,Chief Wang is killed by Zhang Villager,,a
c,a,What is the relationship between Zhao Cishan and Officer Li?,Officer Li is attempted murderer and dislike of Zhao Cishan,Zhao Cishan is step-daughter and lawyer of Officer Li,Zhao Cishan is lawyer and acquaintance of Officer Li,Zhao Cishan is acquaintance and lover of Officer Li,,a
c,a,What is the relationship between Zhao Cishan and Hu Investigate?,Hu Investigate is hate and dislike of Zhao Cishan,Zhao Cishan is step-father and seller of Hu Investigate,Zhao Cishan is seller and son in law of Hu Investigate,Zhao Cishan is son in law and possibly family of Hu Investigate,,a
c,a,What is the relationship between Zhao Cishan and Chief Wang?,Chief Wang is hate and murderer of Zhao Cishan,Zhao Cishan is host and romantic relationships with x of Chief Wang,Zhao Cishan is romantic relationships with x and seeker of help from x of Chief Wang,Zhao Cishan is seeker of help from x and mother of Chief Wang,,a
