value,type,question,a,b,c,d,e,truth
a,a,李国富被谁杀死的？,何老六,张洁,王邻居,自杀,,b
b,a,李国富是怎么死的？,被拳头打死的,被毒药毒死的,被水淹死的,用刀杀死的,,d
b,a,李国富的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人李国富什么人？,律师,亲戚,儿子,同伙（下级）,,d
b,a,你知道震惊全城的连环碎尸强奸案的凶手是谁吗,何老六,张洁,王邻居,不是已有选项中的人,,a
b,b,请选出你最怀疑杀死李国富的两个人,何老六,张洁,王邻居,自杀,,b
b,a,李国富是在哪里被杀死的？,在喷泉边上,在警卫室,在小区门口,在清洁室,,a
b,a,李国富是什么时候被杀死的？,22:10左右,22点之前,凌晨0点,上午10点,,a
c,a,【李国富】和【张洁】不存在的关系是什么？,张洁 is subordinate of 李国富,张洁 is dislike of 李国富,张洁 is rival in love of 李国富,李国富 is admirer of 张洁,,d
c,a,【李国富】和【慕北】不存在的关系是什么？,慕北 is subordinate of 李国富,慕北 is suspicious of 李国富,慕北 is romantic relationships with 李国富,李国富 is adoptive sister of 慕北,,d
c,a,【李国富】和【何老六】的关系是什么？,何老六 is subordinate and crime partner of 李国富,李国富 is step-brother and future daughter in law of 何老六,李国富 is future daughter in law and fiance of 何老六,李国富 is fiance and relative of 何老六,,a
