value,type,question,a,b,c,d,e,truth
a,a,Who killed Liu Qi?,Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Singer Lin,Han Chengwu (Han the Attendant or Han the Crew Member),,a
b,a,How did Liu Qi die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Killed with a gun,,d
b,a,What is the motive behind the killer killing Liu Qi?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,The perpetrator is the victim Liu Qi. Who is it?,Son,father,lawyer,Superior,,d
b,a,Where was Liu Qi killed?,In the warehouse,ashore ,On deck,Riverside,,a
b,a,When was Liu Qi killed?,After the fireworks start at 20 o'clock,Before the fireworks start at 20:00,In the early morning,During the day,,a
b,b,Please select the two people you most suspect of killing Liu Qi,Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Singer Lin,Han Chengwu (Han the Attendant or Han the Crew Member),,c
c,a,What is the non-existent relationship between Liu Qi and Manager Xi?,Manager Xiu is murderer of Liu Qi,Manager Xiu is classmate of Liu Qi,Manager Xiu is colleague of Liu Qi,Liu Qi is granddaughter of Manager Xiu,,d
c,a,What is the non-existent relationship between Liu Qi and Zhang Erfu (Second Officer Zhang or Zhang the Second Mate)?,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is bully of Liu Qi,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is subordinate of Liu Qi,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is dislike of Liu Qi,Liu Qi is biological daughter of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),,d
c,a,What is the relationship between Liu Qi and Singer Lin?,Singer Lin is secret admirer and fondness of Liu Qi,Liu Qi is son in law and future father in law of Singer Lin,Liu Qi is future father in law and mentor of Singer Lin,Liu Qi is mentor and elder sister of Singer Lin,,a
c,a,What is the non-existent relationship between Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) and Liu Qi?,Liu Qi is acquaintance of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Liu Qi is dislike of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Liu Qi is superior of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is sibling of Liu Qi,,d
c,a,What is the relationship between Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) and Captain Hong?,Captain Hong is acquaintance and dislike of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is ex-husband and creditor of Captain Hong,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is creditor and service provider of Captain Hong,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is service provider and husband of Captain Hong,,a
c,a,What is the relationship between Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) and Manager Xi?,Manager Xiu is acquaintance of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is suspicious of Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is biological son of Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is authority over Manager Xiu,,a
