value,type,question,a,b,c,d,e,truth
a,a,Who killed Lv Mingran?,Shang Zhi,Mrs. Tan,Mrs. Wei,Cheng Ge,,a
b,a,How did Lv Mingran die?,Hanged under anesthesia,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What is the motive behind the killer killing Lv Mingran?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim, Lv Mingran. Who is that?",Cooperative relationship,father,uncle,lawyer,,a
b,a,Where was Lv Mingran killed?,Above the lobby on the first floor,On the rooftop,On the mountain,Riverside,,a
b,a,When was Lv Mingran killed?,Around 10 o'clock on September 28th,Around 9 o'clock on September 28th,September 25th,September 24th,,a
b,b,Please select the two people you most suspect of killing Lv Mingran,Shang Zhi,Mrs. Tan,Cheng Ge,Mrs. Wei,Liao Gongzi,a
a,a,Who killed A masked female corpse?,Shang Zhi,Mrs. Tan,Mrs. Wei,Cheng Ge,,a
a,a,Who is A masked female corpse?,Hong Er,servant,Dr. Zhan,Julie,,a
b,a,How did A masked female corpse die?,Killed with a gun,Beaten to death with a fist,Strangled with a rope,Drowned by water,,c
b,a,What is the motive behind the killer killing A masked female corpse?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,What person is the perpetrator a masked female corpse?,Childhood acquaintances,mother,lawyer,doctor,,a
b,a,Where was A masked female corpse killed?,Liao Gongzi Room,Storage room,Riverside,On the mountain,,a
b,a,When was A masked female corpse killed?,Around 9 o'clock on September 28th,September 25th,September 24th,October,,a
b,b,Please select the two people you most suspect of killing A masked female corpse,Shang Zhi,Liao Gongzi,Mrs. Wei,Mrs. Tan,Cheng Ge,a
a,a,Who killed Tan Renchang?,Liao Gongzi,Mrs. Tan,Mrs. Wei,Cheng Ge,,a
b,a,How did Tan Renchang die?,Killed with a gun,Beaten to death with a fist,Killed with stones,Drowned by water,,c
b,a,What was the motive behind the killer killing Tan Renchang?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim Tan Renchang. Who is that?,Enemies,mother,lawyer,doctor,,a
b,a,Where was Tan Renchang killed?,Southern courtyard,on board,Riverside,On the mountain,,a
b,a,When was Tan Renchang killed?,Southern courtyard,on board,Riverside,On the mountain,,a
b,b,Please select the two people you most suspect of killing Tan Renchang,Liao Gongzi,Cheng Ge,Mrs. Wei,Mrs. Tan,Shang Zhi,a
b,a,What is the true relationship between Shang Zhi and Zina?,Shang Zhi likes Zina and helps her repay her debts,Shang Zhi is utilizing Zina,Shang Zhi and Zina have nothing to do with each other,Shang Zhi and Zina are siblings,,a
b,b,Is Cheng Ge the son of Xinya?,"No, it's a fake",It's my biological son,,,b,
b,b,What is the truth about Lv Mingran's dismissal?,"Utilized by Liao Gongzi, the dock designed to seize the ""Far Hennessy"" was seized and a large amount of money was owed",Because Lv Mingran doesn't want to do it anymore,Because Lv Mingran is too old to retire,Because Lv Mingran died unexpectedly,,a
c,a,What is the non-existent relationship between Lv Mingran and Cheng Ge?,Cheng Ge is murderer of Lv Mingran,Cheng Ge is acquaintance of Lv Mingran,Cheng Ge is employee of Lv Mingran,Lv Mingran is half brother of Cheng Ge,,d
c,a,What is the relationship between Lv Mingran and Luo Hengli?,Luo Hengli is superior and acquaintance of Lv Mingran,Lv Mingran is ex-romantic relationships with x and spy of Luo Hengli,Lv Mingran is spy and possibly family of Luo Hengli,Lv Mingran is possibly family and bully of Luo Hengli,,a
c,a,What is the relationship between Lv Mingran and Tan Renchang?,Tan Renchang is employer and acquaintance of Lv Mingran,Lv Mingran is sister in law and father of Tan Renchang,Lv Mingran is father and daughter of Tan Renchang,Lv Mingran is daughter and secret admirer of Tan Renchang,,a
c,a,What is the relationship between Shang Zhi and Cheng Ge?,Cheng Ge is cousin and acquaintance of Shang Zhi,Shang Zhi is betrayed by x and jealous by x of Cheng Ge,Shang Zhi is jealous by x and spy of Cheng Ge,Shang Zhi is spy and wife of Cheng Ge,,a
c,a,What is the relationship between Shang Zhi and Tan Renchang?,Tan Renchang is uncle of Shang Zhi,Shang Zhi is secret crush of Tan Renchang,Shang Zhi is mentor of Tan Renchang,Shang Zhi is Tan Renchang's enemy's family,,a
c,a,What is the relationship between Shang Zhi and Mrs. Tan?,Mrs. Tan is aunt of Shang Zhi,Shang Zhi is killed by Mrs. Tan,Shang Zhi is teacher of Mrs. Tan,Shang Zhi is lawyer of Mrs. Tan,,a
c,a,What is the non-existent relationship between Hong Er and Liao Xuehan?,Liao Xuehan is manipulator of Hong Er,Liao Xuehan is creditor of Hong Er,Liao Xuehan is helper of Hong Er,Hong Er is nephew of Liao Xuehan,,d
c,a,What is the relationship between Hong Er and Cheng Ge?,Cheng Ge is murderer of Hong Er,Hong Er is messenger of Cheng Ge,Hong Er is grandfather of Cheng Ge,Hong Er is biological mother of Cheng Ge,,a
