value,type,question,a,b,c,d,e,truth
a,a,Who killed Meng Sanchun?,Cai Siniang,Zhang Jinyin,Hong Jiangshui,,,c
b,a,How did Meng Sanchun die?,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,Killed with a knife,,d
b,a,What is Meng Sanchun's motivation?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,The perpetrator is the victim Meng Sanchun. Who is it?,lawyer,relative,Son,boss,,d
b,a,Where was Meng Sanchun killed?,toilet,Inn Room,On the mountain,on board,,a
b,a,When was Meng Sanchun killed?,"October 25th, 1170 at 11pm","On October 25th, 1170 at 1 a.m","October 25th, 1170 at 10am","October 25th, 1170 at 8pm",,a
b,b,Please select the two people you most suspect of killing Meng Sanchun,Cai Siniang,Zhang Jinyin,Hong Jiangshui,,,c
c,a,What is the non-existent relationship between Meng Sanchun and Zhang Jinyin?,Zhang Jinyin is sworn brother of Meng Sanchun,Zhang Jinyin is deceived by Meng Sanchun,Zhang Jinyin is friend of Meng Sanchun,Meng Sanchun is brother in law of Zhang Jinyin,,d
c,a,What is the non-existent relationship between Meng Sanchun and Cai Sinang?,Cai Siniang is employee of Meng Sanchun,Cai Siniang is dislike of Meng Sanchun,Cai Siniang is enemy of Meng Sanchun,Meng Sanchun is grandchild of Cai Siniang,,d
c,a,What is the relationship between Meng Sanchun and Zhang Hongsheng?,Zhang Hongsheng is wife and enemy of Meng Sanchun,Meng Sanchun is superior and nephew of Zhang Hongsheng,Meng Sanchun is nephew and step-sister of Zhang Hongsheng,Meng Sanchun is step-sister and saved by x of Zhang Hongsheng,,a
c,a,What is the relationship between Hong Jiangshui and Zhang Hongsheng?,Zhang Hongsheng is employer and colleague of Hong Jiangshui,Hong Jiangshui is murderer and cousin of Zhang Hongsheng,Hong Jiangshui is cousin and crime partner of Zhang Hongsheng,Hong Jiangshui is crime partner and lover of Zhang Hongsheng,,a
c,a,What is the relationship between Hong Jiangshui and Cai Sinang?,Cai Siniang is admired by x and colleague of Hong Jiangshui,Hong Jiangshui is granddaughter and bully of Cai Siniang,Hong Jiangshui is bully and future relative of Cai Siniang,Hong Jiangshui is future relative and enemy of Cai Siniang,,a
c,a,What is the relationship between Hong Jiangshui and Meng Sanchun?,Meng Sanchun is employer and victim of Hong Jiangshui,Hong Jiangshui is extramarital affair with x and romantic relationships with x of Meng Sanchun,Hong Jiangshui is romantic relationships with x and step-brother of Meng Sanchun,Hong Jiangshui is step-brother and future father in law of Meng Sanchun,,a
