value,type,question,a,b,c,d,e,truth
a,a,【林惟仁】被谁杀死的？,林夕,沈城,苏阳,陈静雯,,c
b,a,【林惟仁】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【林惟仁】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【林惟仁】什么人？,儿子,父亲,律师,上级,,d
b,a,【林惟仁】是在哪里被杀死的？,书房,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【林惟仁】的两个人,林夕,沈城,苏阳,陈静雯,顾宇,c
a,a,【顾明和】被谁杀死的？,林夕,林夕,苏阳,陈静雯,,b
b,a,【顾明和】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【顾明和】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【顾明和】什么人？,儿子,父亲,律师,仇人,,d
b,a,【顾明和】是在哪里被杀死的？,办公大楼,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【顾明和】的两个人,林夕,沈城,苏阳,陈静雯,林夕,e
c,a,【林夕】和【顾晴】不存在的关系是什么？,顾晴 is rival in love of 林夕,顾晴 is dislike of 林夕,顾晴 is friend of 林夕,林夕 is mother in law of 顾晴,,d
c,a,【林夕】和【林阳】的关系是什么？,林阳 is adoptive brother and hate of 林夕,林夕 is crime partner and seller of 林阳,林夕 is seller and customer of 林阳,林夕 is customer and informant of 林阳,,a
c,a,【林夕】和【陈静雯】的关系是什么？,陈静雯 is acquaintance and rival in love of 林夕,林夕 is twin brother and adoptive brother of 陈静雯,林夕 is adoptive brother and doctor of 陈静雯,林夕 is doctor and ex-husband of 陈静雯,,a
c,a,【林惟仁】和【沈城】不存在的关系是什么？,沈城 is employee of 林惟仁,沈城 is hate of 林惟仁,沈城 is servant of 林惟仁,林惟仁 is helped by 沈城,,d
c,a,【林惟仁】和【苏阳】不存在的关系是什么？,苏阳 is student of 林惟仁,苏阳 is dislike of 林惟仁,苏阳 is hate of 林惟仁,林惟仁 is patient of 苏阳,,d
c,a,【林惟仁】和【林阳】的关系是什么？,林阳 is son and adoptive son of 林惟仁,林惟仁 is customer and romantic relationships with x of 林阳,林惟仁 is romantic relationships with x and bully of 林阳,林惟仁 is bully and secret crush of 林阳,,a
c,a,【顾明和】和【顾宇】的关系是什么？,顾宇 is subordinate and son of 顾明和,顾明和 is lover and deceiver of 顾宇,顾明和 is deceiver and helper of 顾宇,顾明和 is helper and admired by x of 顾宇,,a
c,a,【顾明和】和【沈城】的关系是什么？,沈城 is hate of 顾明和,顾明和 is fiance of 沈城,顾明和 is adoptive daughter of 沈城,顾明和 is elder brother of 沈城,,a
c,a,【顾明和】和【顾晴】的关系是什么？,顾晴 is daughter of 顾明和,顾明和 is boyfriend of 顾晴,顾明和 is seeker of help from 顾晴,顾明和 is deceived by 顾晴,,a
