value,type,question,a,b,c,d,e,truth
a,a,赵慈善被谁杀死的？,张村民,王村长,胡调研,,,b
b,a,赵慈善是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,用枪打死的,,c
b,a,凶手杀赵慈善的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人赵慈善什么人？,儿子,父亲,律师,仇人,,d
b,a,赵慈善是在哪里被杀死的？,在他自己家里,在岸上,甲板上,河边,,a
b,a,赵慈善是什么时候被杀死的？,2032年5月14日晚上九点多,2032年5月1日白天,2032年5月14日凌晨,2032年5月14日白天,,a
b,b,请选出你最怀疑杀死赵慈善的两个人,张村民,王村长,胡调研,自杀,,b
b,a,杀人狂是谁？,张村民,王村长,胡调研,,,a
c,a,【赵慈善】和【李警察】的关系是什么？,李警察 is attempted murderer and dislike of 赵慈善,赵慈善 is adoptive sister and twin sister of 李警察,赵慈善 is twin sister and admired by x of 李警察,赵慈善 is admired by x and informant of 李警察,,a
c,a,【赵慈善】和【胡调研】的关系是什么？,胡调研 is hate and dislike of 赵慈善,赵慈善 is romantic relationships with x and tour guide of 胡调研,赵慈善 is tour guide and guest of 胡调研,赵慈善 is guest and minion of 胡调研,,a
c,a,【赵慈善】和【王村长】的关系是什么？,王村长 is hate and murderer of 赵慈善,赵慈善 is daughter and lover of 王村长,赵慈善 is lover and adoptive son of 王村长,赵慈善 is adoptive son and step-mother of 王村长,,a
