value,type,question,a,b,c,d,e,truth
a,a,【夏伯龙】被谁杀死的？,夏三虎,夏仲鹏,李子材,段和君,,a
b,a,【夏伯龙】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀【夏伯龙】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【夏伯龙】什么人？,仇人,兄弟,朋友,情人,,b
b,a,【夏伯龙】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死【夏伯龙】的两个人,夏三虎,夏仲鹏,李子材,段和君,,a
a,a,【夏三虎】被谁杀死的？,宇祖成木,夏仲鹏,阿明,段约同,,b
b,a,【夏三虎】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀【夏三虎】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人【夏三虎】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,【夏三虎】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,【夏三虎】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死【夏三虎】的两个人,宇祖成木,夏仲鹏,阿明,段约同,,a
a,a,【吴百安】被谁杀死的？,宇祖成木,阿明,岳东汶,段约同,,b
b,a,【吴百安】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀【吴百安】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【吴百安】什么人？,仇人,同事,朋友,妻子,,a
b,a,【吴百安】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,吴百安家,,a
b,a,【吴百安】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死【吴百安】的两个人,宇祖成木,阿明,岳东汶,段约同,,a
b,a,【安琪】对自己【宇祖成木】是什么态度?, 她喜欢自己,她只是习惯性依赖年长的男性,她讨厌自己,她只是因为自己是阿明的朋友才把自己当朋友,,d
b,a,【岳东汶】在隐瞒什么？, 他的公司卖假药,吴百安卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是段约同的亲生父亲,,b
c,a,【安琪】(兰秦)和【宇祖成木】不存在的关系是什么？,宇祖成木 is customer of 兰秦,宇祖成木 is helped by 兰秦,宇祖成木 is debtor of 兰秦,兰秦 is step-father of 宇祖成木,,d
c,a,【安琪】(兰秦)和【易莲芝】的关系是什么？,易莲芝 is mother of 兰秦,兰秦 is dislike of 易莲芝,兰秦 is saved by 易莲芝,兰秦 is messenger of 易莲芝,,a
c,a,【安琪】(兰秦)和【阿安】的关系是什么？,阿安 is brother of 兰秦,兰秦 is helper of 阿安,兰秦 is co-wives of 阿安,兰秦 is manipulated by 阿安,,a
c,a,【夏三虎】和【阿明】(李骆明)不存在的关系是什么？,骆明 is student of 夏三虎,骆明 is subordinate of 夏三虎,骆明 is victim of 夏三虎,夏三虎 is secret admirer of 骆明,,d
c,a,【夏三虎】和【宇祖成木】不存在的关系是什么？,宇祖成木 is creditor of 夏三虎,宇祖成木 is deceiver of 夏三虎,宇祖成木 is victim of 夏三虎,夏三虎 is son in law of 宇祖成木,,d
c,a,【夏三虎】和【夏北归】的关系是什么？,夏北归 is father and mentor of 夏三虎,夏三虎 is rival in love and admirer of 夏北归,夏三虎 is admirer and ex-wife of 夏北归,夏三虎 is ex-wife and adversary of 夏北归,,a
c,a,【阿明】(李骆明)和【夏三虎】不存在的关系是什么？,夏三虎 is superior of 李骆明,夏三虎 is manipulated by 李骆明,夏三虎 is deceived by 李骆明,李骆明 is friend of 夏三虎,,d
c,a,【阿明】(李骆明)和【宇祖成木】不存在的关系是什么？,宇祖成木 is uncle of 李骆明,宇祖成木 is quest companion of 李骆明,宇祖成木 is business partner of 李骆明,李骆明 is hate of 宇祖成木,,d
c,a,【阿明】(李骆明)和【岳东汶】不存在的关系是什么？,岳东汶 is helper of 李骆明,岳东汶 is employer of 李骆明,岳东汶 is deceiver of 李骆明,李骆明 is younger sister of 岳东汶,,d
