value,type,question,a,b,c,d,e,truth
a,a,【夏伯龙】被谁杀死的？,夏三虎,夏仲鹏,李子材,段和君,,a
b,a,【夏伯龙】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀【夏伯龙】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【夏伯龙】什么人？,仇人,兄弟,朋友,情人,,b
b,a,【夏伯龙】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死【夏伯龙】的两个人,夏三虎,夏仲鹏,李子材,段和君,,a
a,a,【夏三虎】被谁杀死的？,宇祖成木,夏仲鹏,阿明【李骆明】,段约同,,b
b,a,【夏三虎】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀【夏三虎】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人【夏三虎】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,【夏三虎】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,【夏三虎】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死【夏三虎】的两个人,宇祖成木,夏仲鹏,阿明【李骆明】,段约同,,a
a,a,【吴百安】被谁杀死的？,宇祖成木,阿明,岳东汶,段约同,,b
b,a,【吴百安】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀【吴百安】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【吴百安】什么人？,仇人,同事,朋友,妻子,,a
b,a,【吴百安】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,吴百安家,,a
b,a,【吴百安】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死【吴百安】的两个人,宇祖成木,阿明,岳东汶,段约同,,a
b,a,【段约同】你的亲生父亲是谁？,【夏伯龙】,夏仲鹏,夏三虎,李子材,,a
b,a,【岳东汶】在隐瞒什么？, 他的公司卖假药,吴百安卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是段约同的亲生父亲,b
b,a,【宇祖成木】是什么人？, “嘉善堂”医馆的李子材的弟弟,田吉株式会社的创办人,夏三虎的日本人同学,【夏伯龙】的私生子,,a
b,a,【夏三虎】如何染上赌瘾？,被【宇祖成木】带去赌博,缺钱花,在日本读书的时候很流行赌博,应酬需要,,a
b,a,【李骆明】(阿明)和【宇祖成木】是什么关系？, 叔侄,陌生人,仇人,朋友,,a
b,a,【岳东汶】在隐瞒什么？, 他的公司卖假药,吴百安卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是段约同的亲生父亲,,b
b,a,【硬马铁拳】是谁？, 【李骆明】(阿明),岳客沙,夏三虎,夏叔娥,,a
b,a,【硬马铁拳】为什么打【白常恭】？, 【硬马铁拳】眼红【白常恭】存在码头仓库的货 所以要勒索他,【硬马铁拳】发现【白常恭】抢劫,【硬马铁拳】仗势欺人,【白常恭】凑不出租金就想把被扣押的货偷走,,a
b,a,【安琪】今晚为什么没让你送她回家？, 【安琪】是跑出来的,【安琪】还要去见【宇祖成木】,【安琪】要去销毁证据,【安琪】讨厌自己,,a
b,a,【安琪】和【宇祖成木】之间是什么关系？, 【宇祖成木】和【安琪】两情相悦,【宇祖成木】误会【安琪】喜欢自己,【安琪】误会【宇祖成木】喜欢自己,【宇祖成木】是【安琪】的救命恩人,,b
c,a,【兰秦】(安琪)和【宇祖成木】不存在的关系是什么？,宇祖成木 is customer of 兰秦,宇祖成木 is helped by 兰秦,宇祖成木 is debtor of 兰秦,兰秦 is rebellion against 宇祖成木,,d
c,a,【兰秦】(安琪)和【易莲芝】的关系是什么？,易莲芝 is mother of 兰秦,兰秦 is crime partner of 易莲芝,兰秦 is deceiver of 易莲芝,兰秦 is suspected by 易莲芝,,a
c,a,【兰秦】(安琪)和【阿安】的关系是什么？,阿安 is brother of 兰秦,兰秦 is suspect to 阿安,兰秦 is employer of 阿安,兰秦 is information receiver from 阿安,,a
c,a,【吴百安】和【李子材】的关系是什么？,李子材 is schoolmate and quest companion of 吴百安,吴百安 is killed by x and rival of 李子材,吴百安 is rival and suspect to x of 李子材,吴百安 is suspect to x and disliked by x of 李子材,,a
c,a,【吴百安】和【夏叔娥】的关系是什么？,夏叔娥 is colleague and information receiver from x of 吴百安,吴百安 is subject of investigation for x and niece of 夏叔娥,吴百安 is niece and mother in law of 夏叔娥,吴百安 is mother in law and aunt of 夏叔娥,,a
c,a,【吴百安】和【李骆明】(阿明)的关系是什么？,李骆明 is murderer of 吴百安,吴百安 is cousin of 李骆明,吴百安 is student of 李骆明,吴百安 is elder brother of 李骆明,,a
c,a,【李骆明】(阿明)和【夏三虎】不存在的关系是什么？,夏三虎 is superior of 李骆明,夏三虎 is manipulated by 李骆明,夏三虎 is deceived by 李骆明,李骆明 is husband of 夏三虎,,d
c,a,【李骆明】(阿明)和【宇祖成木】不存在的关系是什么？,宇祖成木 is uncle of 李骆明,宇祖成木 is quest companion of 李骆明,宇祖成木 is business partner of 李骆明,李骆明 is co-wives of 宇祖成木,,d
c,a,【李骆明】(阿明)和【岳东汶】不存在的关系是什么？,岳东汶 is helper of 李骆明,岳东汶 is employer of 李骆明,岳东汶 is deceiver of 李骆明,李骆明 is step-son of 岳东汶,,d
