value,type,question,a,b,c,d,e,truth
a,a,【夏伯龙】被谁杀死的？,夏三虎,夏仲鹏,李子材,段和君,,a
b,a,【夏伯龙】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀【夏伯龙】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【夏伯龙】什么人？,仇人,兄弟,朋友,情人,,b
b,a,【夏伯龙】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死【夏伯龙】的两个人,夏三虎,夏仲鹏,李子材,段和君,,a
a,a,【夏三虎】被谁杀死的？,宇祖成木,夏仲鹏,阿明【李骆明】,段约同,,b
b,a,【夏三虎】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀【夏三虎】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人【夏三虎】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,【夏三虎】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,【夏三虎】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死【夏三虎】的两个人,宇祖成木,夏仲鹏,阿明【李骆明】,段约同,,a
a,a,【吴百安】被谁杀死的？,宇祖成木,阿明,岳东汶,段约同,,b
b,a,【吴百安】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀【吴百安】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【吴百安】什么人？,仇人,同事,朋友,妻子,,a
b,a,【吴百安】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,吴百安家,,a
b,a,【吴百安】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死【吴百安】的两个人,宇祖成木,阿明,岳东汶,段约同,,a
b,a,【段约同】你的亲生父亲是谁？,【夏伯龙】,夏仲鹏,夏三虎,李子材,,a
b,a,【岳东汶】在隐瞒什么？, 他的公司卖假药,吴百安卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是段约同的亲生父亲,b,
b,a,【宇祖成木】是什么人？, “嘉善堂”医馆的李子材的弟弟,田吉株式会社的创办人,夏三虎的日本人同学,【夏伯龙】的私生子,,a
b,a,【夏三虎】如何染上赌瘾？,被【宇祖成木】带去赌博,缺钱花,在日本读书的时候很流行赌博,应酬需要,,a
b,a,【李骆明】(阿明)和【宇祖成木】是什么关系？, 叔侄,陌生人,仇人,朋友,,a
b,a,【岳东汶】在隐瞒什么？, 他的公司卖假药,吴百安卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是段约同的亲生父亲,,b
b,a,【硬马铁拳】是谁？, 【李骆明】(阿明),岳客沙,夏三虎,夏叔娥,,a
b,a,【硬马铁拳】为什么打【白常恭】？, 【硬马铁拳】眼红【白常恭】存在码头仓库的货 所以要勒索他,【硬马铁拳】发现【白常恭】抢劫,【硬马铁拳】仗势欺人,【白常恭】凑不出租金就想把被扣押的货偷走,,a
