value,type,question,a,b,c,d,e,truth
a,a,Zhao Cishan被谁杀死的？,Zhang Villager,Chief Wang,Officer Li,,,b
b,a,Zhao Cishan是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,用枪打死的,,c
b,a,凶手杀Zhao Cishan的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人Zhao Cishan什么人？,儿子,父亲,律师,仇人,,d
b,a,Zhao Cishan是在哪里被杀死的？,在他自己家里,在岸上,甲板上,河边,,a
b,a,Zhao Cishan是什么时候被杀死的？,2032年5月14日晚上九点多,2032年5月1日白天,2032年5月14日凌晨,2032年5月14日白天,,a
b,b,请选出你最怀疑杀死Zhao Cishan的两个人,Zhang Villager,Chief Wang,Officer Li,自杀,,b
b,a,杀人狂是谁？,Zhang Villager,Chief Wang,Officer Li,,,a
c,a,【Chief Wang】和【Hu Investigate】的关系是什么？,Hu Investigate is dislike and acquaintance of Chief Wang,Chief Wang is future relative and biological mother of Hu Investigate,Chief Wang is biological mother and elder brother of Hu Investigate,Chief Wang is elder brother and brother of Hu Investigate,,a
c,a,【Chief Wang】和【Zhao Cishan】的关系是什么？,Zhao Cishan is victim and hate of Chief Wang,Chief Wang is girlfriend and step-son of Zhao Cishan,Chief Wang is step-son and tour guide of Zhao Cishan,Chief Wang is tour guide and twin sister of Zhao Cishan,,a
c,a,【Chief Wang】和【Zhang Villager】的关系是什么？,Zhang Villager is acquaintance of Chief Wang,Chief Wang is rebellion against Zhang Villager,Chief Wang is mother of Zhang Villager,Chief Wang is killed by Zhang Villager,,a
c,a,【Zhao Cishan】和【Officer Li】的关系是什么？,Officer Li is attempted murderer and dislike of Zhao Cishan,Zhao Cishan is step-daughter and lawyer of Officer Li,Zhao Cishan is lawyer and acquaintance of Officer Li,Zhao Cishan is acquaintance and lover of Officer Li,,a
c,a,【Zhao Cishan】和【Hu Investigate】的关系是什么？,Hu Investigate is hate and dislike of Zhao Cishan,Zhao Cishan is step-father and seller of Hu Investigate,Zhao Cishan is seller and son in law of Hu Investigate,Zhao Cishan is son in law and possibly family of Hu Investigate,,a
c,a,【Zhao Cishan】和【Chief Wang】的关系是什么？,Chief Wang is hate and murderer of Zhao Cishan,Zhao Cishan is host and romantic relationships with x of Chief Wang,Zhao Cishan is romantic relationships with x and seeker of help from x of Chief Wang,Zhao Cishan is seeker of help from x and mother of Chief Wang,,a
