value,type,question,a,b,c,d,e,truth
a,a,【汉斯·里莫瑞特】被谁杀死的？,盖尔·里莫瑞特,护士长【西尔维娅·科斯塔】,德雷克·里莫瑞特,弗兰克·比杰利,,a
b,a,【汉斯·里莫瑞特】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【汉斯·里莫瑞特】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【汉斯·里莫瑞特】什么人？,仇人,同事,朋友,妻子,,d
b,a,【汉斯·里莫瑞特】是在哪里被杀死的？,急诊室,约翰逊家,实验室,更衣室,,c
b,a,【汉斯·里莫瑞特】是在何时被杀死的？,今天下午5:00到5:30,今天下午6:30到7:00,今天晚上7:00到7:30,今天早上6:30到7:00,,b
b,b,请选出你最怀疑杀死【汉斯·里莫瑞特】的两个人,盖尔·里莫瑞特,护士长【西尔维娅·科斯塔】,德雷克·里莫瑞特,弗兰克·比杰利,,a
b,a,实习生【依琳·卡特】的真实身份是什么?, 器官贩子,卧底警察 普通实习生,绑匪,,,b
b,a,【德雷克·里莫瑞特】的真实身份是什么?, 器官贩子,卧底警察,汉斯·里莫瑞特假扮的,绑匪,,c
b,a,哪件事不是【弗兰克·比杰利】做的?, 杀人,偷取文件,诈骗,当汤姆神父的托,,a
b,a,【托尼·比杰利】的真实身份是什么?, 绑匪,杀人凶手,卧底警察,病人,,a
b,a,哪件事不是【理查德·伯克利】做的?, 挪用医院资金作为津贴,雇人偷取文件,参与器官贩卖,雇人烧毁德雷克的房子,,c
b,a,【神父汤姆】的真实身份是什么?, 绑匪,杀人凶手,有着强烈欲望的大骗子,有特殊能力的人,,c
c,a,【依琳·卡特】和【帕洛斯基医生】不存在的关系是什么？,依琳·卡特 is mentor of 帕洛斯基医生,依琳·卡特 is colleague of 帕洛斯基医生,依琳·卡特 is subject of investigation for 帕洛斯基医生,依琳·卡特 is step-sister of 帕洛斯基医生,,d
c,a,【依琳·卡特】和【詹姆斯·莱利】的关系是什么？,依琳·卡特 is suspected by x and subject of investigation for x of 詹姆斯·莱利,依琳·卡特 is cousin and employer of 詹姆斯·莱利,依琳·卡特 is employer and student of 詹姆斯·莱利,依琳·卡特 is student and grandson of 詹姆斯·莱利,,a
c,a,【依琳·卡特】和【汉斯·里莫瑞提】的关系是什么？,依琳·卡特 is colleague and subject of investigation for x of 汉斯·里莫瑞提,依琳·卡特 is informant and ex-romantic relationships with x of 汉斯·里莫瑞提,依琳·卡特 is ex-romantic relationships with x and classmate of 汉斯·里莫瑞提,依琳·卡特 is classmate and brother of 汉斯·里莫瑞提,,a
c,a,【依琳·卡特】和【德雷克·里莫瑞特】的关系是什么？,依琳·卡特 is colleague and subject of investigation for x of 德雷克·里莫瑞特,依琳·卡特 is step-father and son of 德雷克·里莫瑞特,依琳·卡特 is son and future son in law of 德雷克·里莫瑞特,依琳·卡特 is future son in law and adoptive brother of 德雷克·里莫瑞特,,a
c,a,【依琳·卡特】和【西尔维娅·科斯塔】的关系是什么？,依琳·卡特 is colleague and subject of investigation for x of 西尔维娅·科斯塔,依琳·卡特 is co-wives and future son in law of 西尔维娅·科斯塔,依琳·卡特 is future son in law and future daughter in law of 西尔维娅·科斯塔,依琳·卡特 is future daughter in law and informant of 西尔维娅·科斯塔,,a
c,a,【托尼】和【弗兰克·比杰利】的关系是什么？,托尼 is brother of 弗兰克·比杰利,托尼 is buyer of 弗兰克·比杰利,托尼 is manipulator of 弗兰克·比杰利,托尼 is adversary of 弗兰克·比杰利,,a
c,a,【托尼】和【神父汤姆】的关系是什么？,托尼 is manipulator of 神父汤姆,托尼 is biological daughter of 神父汤姆,托尼 is adoptive sister of 神父汤姆,托尼 is sister in law of 神父汤姆,,a
c,a,【托尼】和【托尼·比杰利】的关系是什么？,托尼 is same person as 托尼·比杰利 (different reference),托尼 is helped by 托尼·比杰利,托尼 is daughter of 托尼·比杰利,托尼 is helper of 托尼·比杰利,,a
c,a,【汉斯·里莫瑞特】和【安德鲁·帕洛斯基】不存在的关系是什么？,汉斯·里莫瑞特 is colleague of 安德鲁·帕洛斯基,汉斯·里莫瑞特 is mentor of 安德鲁·帕洛斯基,汉斯·里莫瑞特 is jealous of 安德鲁·帕洛斯基,汉斯·里莫瑞特 is relative of 安德鲁·帕洛斯基,,d
c,a,【汉斯·里莫瑞特】和【西尔维娅·科斯塔】不存在的关系是什么？,汉斯·里莫瑞特 is colleague of 西尔维娅·科斯塔,汉斯·里莫瑞特 is manipulator of 西尔维娅·科斯塔,汉斯·里莫瑞特 is deceiver of 西尔维娅·科斯塔,汉斯·里莫瑞特 is co-wives of 西尔维娅·科斯塔,,d
c,a,【汉斯·里莫瑞特】和【盖尔·里莫瑞特】不存在的关系是什么？,汉斯·里莫瑞特 is wife of 盖尔·里莫瑞特,汉斯·里莫瑞特 is attempted murderer of 盖尔·里莫瑞特,汉斯·里莫瑞特 is betrayer of 盖尔·里莫瑞特,汉斯·里莫瑞特 is messenger of 盖尔·里莫瑞特,,d
c,a,【汉斯·里莫瑞特】和【德雷克·里莫瑞特】不存在的关系是什么？,汉斯·里莫瑞特 is colleague of 德雷克·里莫瑞特,汉斯·里莫瑞特 is brother of 德雷克·里莫瑞特,汉斯·里莫瑞特 is rival in love of 德雷克·里莫瑞特,汉斯·里莫瑞特 is guest of 德雷克·里莫瑞特,,d
c,a,【汉斯·里莫瑞特】和【吉姆梅森】不存在的关系是什么？,汉斯·里莫瑞特 is in the lawsuit against 吉姆梅森,汉斯·里莫瑞特 is victim of 吉姆梅森,汉斯·里莫瑞特 is patient of 吉姆梅森,汉斯·里莫瑞特 is half brother of 吉姆梅森,,d
a,a,【汉斯·里莫瑞特】被谁杀死的？,盖尔·里莫瑞特,护士长【西尔维娅·科斯塔】,德雷克·里莫瑞特,弗兰克·比杰利,,a
b,a,【汉斯·里莫瑞特】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【汉斯·里莫瑞特】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【汉斯·里莫瑞特】什么人？,仇人,同事,朋友,妻子,,d
b,a,【汉斯·里莫瑞特】是在哪里被杀死的？,急诊室,约翰逊家,实验室,更衣室,,c
b,a,【汉斯·里莫瑞特】是在何时被杀死的？,今天下午5:00到5:30,今天下午6:30到7:00,今天晚上7:00到7:30,今天早上6:30到7:00,,b
b,b,请选出你最怀疑杀死【汉斯·里莫瑞特】的两个人,盖尔·里莫瑞特,护士长【西尔维娅·科斯塔】,德雷克·里莫瑞特,弗兰克·比杰利,,a
a,a,医院里是谁在帮助器官贩子贩卖器官?, 德雷克·里莫瑞特,护士长 西尔维娅·科斯塔,没有人,安德鲁·帕洛斯基,,b
a,a,谁是器官贩子?, 托尼•比杰利,神父汤姆,院长【理查德·伯克利】,詹姆斯·莱利,,d
b,a,【德雷克·里莫瑞特】的真实身份是什么?, 器官贩子,卧底警察,汉斯·里莫瑞特假扮的,绑匪,,c
b,a,哪件事不是【弗兰克·比杰利】做的?, 杀人,偷取文件,诈骗,当汤姆神父的托,,a
b,a,【托尼·比杰利】的真实身份是什么?, 绑匪,杀人凶手,卧底警察,病人,,a
b,a,哪件事不是【理查德·伯克利】做的?, 挪用医院资金作为津贴,雇人偷取文件,参与器官贩卖,雇人烧毁德雷克的房子,,c
b,a,【神父汤姆】的真实身份是什么?, 绑匪,杀人凶手,有着强烈欲望的大骗子,有特殊能力的人,,c
c,a,【弗兰克·比杰利】和【托尼】的关系是什么？,弗兰克·比杰利 is brother of 托尼,弗兰克·比杰利 is student of 托尼,弗兰克·比杰利 is creditor of 托尼,弗兰克·比杰利 is host of 托尼,,a
c,a,【弗兰克·比杰利】和【神父汤姆】的关系是什么？,弗兰克·比杰利 is employer of 神父汤姆,弗兰克·比杰利 is sworn brother of 神父汤姆,弗兰克·比杰利 is subject of investigation for 神父汤姆,弗兰克·比杰利 is secret crush of 神父汤姆,,a
c,a,【弗兰克·比杰利】和【德雷克·里莫瑞特】的关系是什么？,弗兰克·比杰利 is doctor of 德雷克·里莫瑞特,弗兰克·比杰利 is niece of 德雷克·里莫瑞特,弗兰克·比杰利 is quest companion of 德雷克·里莫瑞特,弗兰克·比杰利 is hate of 德雷克·里莫瑞特,,a
c,a,【托尼】和【弗兰克·比杰利】的关系是什么？,托尼 is brother of 弗兰克·比杰利,托尼 is admirer of 弗兰克·比杰利,托尼 is informant of 弗兰克·比杰利,托尼 is secret lover of 弗兰克·比杰利,,a
c,a,【托尼】和【神父汤姆】的关系是什么？,托尼 is manipulator of 神父汤姆,托尼 is fiance of 神父汤姆,托尼 is adoptive daughter of 神父汤姆,托尼 is secret lover of 神父汤姆,,a
c,a,【托尼】和【托尼·比杰利】的关系是什么？,托尼 is same person as 托尼·比杰利 (different reference),托尼 is boyfriend of 托尼·比杰利,托尼 is murderer of 托尼·比杰利,托尼 is subject of investigation for 托尼·比杰利,,a
c,a,【护士长科斯塔】和【汉斯·里莫瑞特】不存在的关系是什么？,护士长科斯塔 is colleague of 汉斯·里莫瑞特,护士长科斯塔 is manipulated by 汉斯·里莫瑞特,护士长科斯塔 is deceived by 汉斯·里莫瑞特,护士长科斯塔 is information receiver from 汉斯·里莫瑞特,,d
c,a,【护士长科斯塔】和【詹姆斯·莱利】的关系是什么？,护士长科斯塔 is creditor and manipulator of 詹姆斯·莱利,护士长科斯塔 is younger sister and grandchild of 詹姆斯·莱利,护士长科斯塔 is grandchild and daughter of 詹姆斯·莱利,护士长科斯塔 is daughter and girlfriend of 詹姆斯·莱利,,a
c,a,【护士长科斯塔】和【盖尔·里莫瑞特】的关系是什么？,护士长科斯塔 is lawyer of 盖尔·里莫瑞特,护士长科斯塔 is grandparent of 盖尔·里莫瑞特,护士长科斯塔 is unsuccessful helper of 盖尔·里莫瑞特,护士长科斯塔 is concubine of 盖尔·里莫瑞特,,a
c,a,【理查德·伯克利】和【德雷克·里莫瑞特】的关系是什么？,理查德·伯克利 is subordinate and colleague of 德雷克·里莫瑞特,理查德·伯克利 is bully and rival of 德雷克·里莫瑞特,理查德·伯克利 is rival and bully of 德雷克·里莫瑞特,理查德·伯克利 is bully and brother of 德雷克·里莫瑞特,,a
c,a,【理查德·伯克利】和【汉斯·里莫瑞特】的关系是什么？,理查德·伯克利 is subordinate and colleague of 汉斯·里莫瑞特,理查德·伯克利 is information receiver from x and twin brother of 汉斯·里莫瑞特,理查德·伯克利 is twin brother and admired by x of 汉斯·里莫瑞特,理查德·伯克利 is admired by x and thief of 汉斯·里莫瑞特,,a
c,a,【理查德·伯克利】和【伊莱恩·卡特尔】的关系是什么？,理查德·伯克利 is quest companion of 伊莱恩·卡特尔,理查德·伯克利 is ex-romantic relationships with 伊莱恩·卡特尔,理查德·伯克利 is betrayed by 伊莱恩·卡特尔,理查德·伯克利 is future mother in law of 伊莱恩·卡特尔,,a
c,a,【盖尔·里莫瑞特】和【德雷克·里莫瑞特】不存在的关系是什么？,盖尔·里莫瑞特 is extramarital affair with 德雷克·里莫瑞特,盖尔·里莫瑞特 is brother in law of 德雷克·里莫瑞特,盖尔·里莫瑞特 is victim of 德雷克·里莫瑞特,盖尔·里莫瑞特 is mentor of 德雷克·里莫瑞特,,d
c,a,【盖尔·里莫瑞特】和【汉斯·里莫瑞特】的关系是什么？,盖尔·里莫瑞特 is husband and betrayed by x of 汉斯·里莫瑞特,盖尔·里莫瑞特 is future mother in law and adoptive mother of 汉斯·里莫瑞特,盖尔·里莫瑞特 is adoptive mother and elder sister of 汉斯·里莫瑞特,盖尔·里莫瑞特 is elder sister and granddaughter of 汉斯·里莫瑞特,,a
c,a,【盖尔·里莫瑞特】和【詹姆斯·莱利】的关系是什么？,盖尔·里莫瑞特 is helper and customer of 詹姆斯·莱利,盖尔·里莫瑞特 is future relative and admired by x of 詹姆斯·莱利,盖尔·里莫瑞特 is admired by x and step-brother of 詹姆斯·莱利,盖尔·里莫瑞特 is step-brother and daughter of 詹姆斯·莱利,,a
a,a,【汉斯·里莫瑞特】被谁杀死的？,盖尔·里莫瑞特,护士长【西尔维娅·科斯塔】,德雷克·里莫瑞特,弗兰克·比杰利,,a
b,a,【汉斯·里莫瑞特】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【汉斯·里莫瑞特】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【汉斯·里莫瑞特】什么人？,仇人,同事,朋友,妻子,,d
b,a,【汉斯·里莫瑞特】是在哪里被杀死的？,急诊室,约翰逊家,实验室,更衣室,,c
b,a,【汉斯·里莫瑞特】是在何时被杀死的？,今天下午5:00到5:30,今天下午6:30到7:00,今天晚上7:00到7:30,今天早上6:30到7:00,,b
b,b,请选出你最怀疑杀死【汉斯·里莫瑞特】的两个人,盖尔·里莫瑞特,护士长【西尔维娅·科斯塔】,德雷克·里莫瑞特,弗兰克·比杰利,,a
b,a,实习生【依琳·卡特】的真实身份是什么?, 器官贩子,卧底警察 普通实习生,绑匪,,,b
b,a,哪件事不是【弗兰克·比杰利】做的?, 杀人,偷取文件,诈骗,当汤姆神父的托,,a
b,a,【托尼·比杰利】的真实身份是什么?, 绑匪,杀人凶手,卧底警察,病人,,a
b,a,哪件事不是【理查德·伯克利】做的?, 挪用医院资金作为津贴,雇人偷取文件,参与器官贩卖,雇人烧毁德雷克的房子,,c
b,a,【神父汤姆】的真实身份是什么?, 绑匪,杀人凶手,有着强烈欲望的大骗子,有特殊能力的人,,c
b,a,护士长【西尔维娅·科斯塔】的真实身份是什么?, 贩卖器官的帮凶,杀人凶手,卧底警察,有特殊能力的人,,a
c,a,【汉斯·里莫瑞特】和【安德鲁·帕洛斯基】不存在的关系是什么？,汉斯·里莫瑞特 is colleague of 安德鲁·帕洛斯基,汉斯·里莫瑞特 is mentor of 安德鲁·帕洛斯基,汉斯·里莫瑞特 is jealous of 安德鲁·帕洛斯基,汉斯·里莫瑞特 is concubine of 安德鲁·帕洛斯基,,d
