value,type,question,a,b,c,d,e,truth
a,a,【周蒙当】被谁杀死的？,周持同,嫣楠,于宿年,甜愁,,d
b,a,【周蒙当】是怎么死的？,被弩枪射死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【周蒙当】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【周蒙当】什么人？,仇人,同事,朋友,上级,,a
b,a,【周蒙当】是在哪里被杀死的？,船上,南院,山上,河边,,a
b,b,请选出你最怀疑杀死【周蒙当】的两个人,周持同,嫣楠,甜愁,于宿年,周琏逸,c
a,a,【宝柳】被谁杀死的？,于宿年,嫣楠,嫣楠,甜愁,,d
b,a,【宝柳】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀【宝柳】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【宝柳】什么人？,仇人,母亲,律师,医生,,a
b,a,【宝柳】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死【宝柳】的两个人,甜愁,周持同,于宿年,嫣楠,周琏逸,a
a,a,【崔寿亨】被谁杀死的？,周持同,于宿年,嫣楠,甜愁,,b
b,a,【崔寿亨】是怎么死的？,被弩枪射死的,被毒药毒死的,用机关杀死的,被水淹死的,,c
b,a,凶手杀【崔寿亨】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【崔寿亨】什么人？,仇人,同事,朋友,上级,,a
b,a,【崔寿亨】是在哪里被杀死的？,家主房,南院,船上,河边,,a
b,b,请选出你最怀疑杀死【崔寿亨】的两个人,周持同,嫣楠,甜愁,于宿年,周琏逸,d
a,a,姐姐【汪昔容】被谁杀死的？,于宿年,嫣楠,周持同,甜愁,,a
b,a,姐姐【汪昔容】是怎么死的？,被毒药毒死的,被拳头打死的,用石头砸死的,被水淹死的,,a
b,a,凶手杀姐姐【汪昔容】的动机是什么？,情杀,仇杀,利益,误杀,,d
b,a,凶手是被害人姐姐【汪昔容】什么人？,下属,母亲,律师,医生,,a
b,a,姐姐【汪昔容】是在哪里被杀死的？,屋子里,山上,船上,河边,,a
b,b,请选出你最怀疑杀死姐姐【汪昔容】的两个人,甜愁,周持同,于宿年,嫣楠,周琏逸,c
b,a,【于宿年】和【周琏逸】真实关系是什么？,师生关系,恋人关系,没有关系,兄妹关系,,b
b,a,【周持同】和【甜愁】真实关系是什么？,没有关系,恋人关系,甜愁在利用周持同,兄妹关系,,c
c,a,【宝柳】和【甜愁】不存在的关系是什么？,甜愁 is friend of 宝柳,甜愁 is helped by 宝柳,甜愁 is betrayed by 宝柳,宝柳 is ex-wife of 甜愁,,d
c,a,【宝柳】和【汪昔容】的关系是什么？,汪昔容 is master and helper of 宝柳,宝柳 is daughter in law and step-father of 汪昔容,宝柳 is step-father and x's victim's family of 汪昔容,宝柳 is x's victim's family and younger sister of 汪昔容,,a
c,a,【宝柳】和【汪昔颜】的关系是什么？,汪昔颜 is master and bully of 宝柳,宝柳 is brother and neighbour of 汪昔颜,宝柳 is neighbour and ex-boyfriend of 汪昔颜,宝柳 is ex-boyfriend and step-brother of 汪昔颜,,a
c,a,【周蒙当】和【崔寿亨】不存在的关系是什么？,崔寿亨 is helper of 周蒙当,崔寿亨 is master of 周蒙当,崔寿亨 is employer of 周蒙当,周蒙当 is thief of 崔寿亨,,d
c,a,【周蒙当】和【汪昔颜】不存在的关系是什么？,汪昔颜 is friend of 周蒙当,汪昔颜 is ex-romantic relationships with 周蒙当,汪昔颜 is extramarital affair with 周蒙当,周蒙当 is adoptive sister of 汪昔颜,,d
c,a,【周蒙当】和【宝柳】的关系是什么？,宝柳 is wife of 周蒙当,周蒙当 is jealous of 宝柳,周蒙当 is mother in law of 宝柳,周蒙当 is murderer of 宝柳,,a
c,a,姐姐【汪昔容】和【宝柳】的关系是什么？,宝柳 is helped by x and servant of 姐姐【汪昔容】,姐姐【汪昔容】 is co-wives and adversary of 宝柳,姐姐【汪昔容】 is adversary and younger brother of 宝柳,姐姐【汪昔容】 is younger brother and rival of 宝柳,,a
c,a,姐姐【汪昔容】和【汪昔颜】的关系是什么？,汪昔颜 is sister and co-wives of 姐姐【汪昔容】,姐姐【汪昔容】 is teacher and patient of 汪昔颜,姐姐【汪昔容】 is patient and manipulated by x of 汪昔颜,姐姐【汪昔容】 is manipulated by x and jealous by x of 汪昔颜,,a
c,a,姐姐【汪昔容】和【汪舜明】的关系是什么？,汪舜明 is father of 姐姐【汪昔容】,姐姐【汪昔容】 is secret crush of 汪舜明,姐姐【汪昔容】 is neighbour of 汪舜明,姐姐【汪昔容】 is dislike of 汪舜明,,a
c,a,【崔寿亨】和【周蒙当】不存在的关系是什么？,周蒙当 is minion of 崔寿亨,周蒙当 is servant of 崔寿亨,周蒙当 is employee of 崔寿亨,崔寿亨 is possibly family of 周蒙当,,d
c,a,【崔寿亨】和【周持同】不存在的关系是什么？,周持同 is helped by 崔寿亨,周持同 is thief of 崔寿亨,周持同 is business partner of 崔寿亨,崔寿亨 is future father in law of 周持同,,d
c,a,【崔寿亨】和【汪昔颜】的关系是什么？,汪昔颜 is sister in law and wife of 崔寿亨,崔寿亨 is rebellion against x and perpetrator of 汪昔颜,崔寿亨 is perpetrator and service provider of 汪昔颜,崔寿亨 is service provider and guest of 汪昔颜,,a
