value,type,question,a,b,c,d,e,truth
a,a,Who killed Zhang Eba?,Hao Guimi,Lin Xiaohua,Li Xiaodi,Wang Xuexi,,b
b,a,How did Zhang Eba die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Killed with a gun,,c
b,a,What was the motive behind the killer killing Zhang Eba?,Love killing,Vendetta,interest,Accidental killing,,a
b,a,"The perpetrator is the victim, Zhang Eba. Who is that?",fiancee,father,lawyer,Enemies,,a
b,a,Where was Zhang Eba killed?,On campus,Old teaching building,Inside the dormitory,His own family,,a
b,a,When was Zhang Eba killed?,11:33 PM,0pm,8am,3pm,,a
b,b,Please select the two people you most suspect of killing Zhang Eba,Hao Guimi,Lin Xiaohua,Li Xiaodi,Wang Xuexi,,b
c,a,What is the relationship between Zhang Eba and Lin Xiaohua?,Lin Xiaohua is fiance and victim of Zhang Eba,Zhang Eba is daughter in law and grandchild of Lin Xiaohua,Zhang Eba is grandchild and niece of Lin Xiaohua,Zhang Eba is niece and mentor of Lin Xiaohua,,a
c,a,What is the relationship between Zhang Eba and Cousin Sister?,Cousin Sister is schoolmate and murderer of Zhang Eba,Zhang Eba is grandchild and niece of Cousin Sister,Zhang Eba is niece and grandson of Cousin Sister,Zhang Eba is grandson and ex-romantic relationships with x of Cousin Sister,,a
c,a,What is the relationship between Zhang Eba and Li Dage?,Li Dage is schoolmate and bully of Zhang Eba,Zhang Eba is ex-husband and ex-romantic relationships with x of Li Dage,Zhang Eba is ex-romantic relationships with x and step-son of Li Dage,Zhang Eba is step-son and service provider of Li Dage,,a
a,a,Who killed Zhang Eba?,Hao Guimi,Lin Xiaohua,Li Xiaodi,Zhao Shuaige,,b
b,a,How did Zhang Eba die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Killed with a gun,,c
b,a,What was the motive behind the killer killing Zhang Eba?,Love killing,Vendetta,interest,Accidental killing,,a
b,a,"The perpetrator is the victim, Zhang Eba. Who is that?",fiancee,father,lawyer,Enemies,,a
b,a,Where was Zhang Eba killed?,On campus,Old teaching building,Inside the dormitory,His own family,,a
b,a,When was Zhang Eba killed?,11:33 PM,0pm,8am,3pm,,a
b,b,Please select the two people you most suspect of killing Zhang Eba,Hao Guimi,Lin Xiaohua,Li Xiaodi,Zhao Shuaige,,b
c,a,What is the relationship between Zhang Eba and Lin Xiaohua?,Lin Xiaohua is fiance and victim of Zhang Eba,Zhang Eba is child and information receiver from x of Lin Xiaohua,Zhang Eba is information receiver from x and elder sister of Lin Xiaohua,Zhang Eba is elder sister and sworn brother of Lin Xiaohua,,a
c,a,What is the relationship between Zhang Eba and Cousin Sister?,Cousin Sister is schoolmate and murderer of Zhang Eba,Zhang Eba is elder sister and future mother in law of Cousin Sister,Zhang Eba is future mother in law and messenger of Cousin Sister,Zhang Eba is messenger and subordinate of Cousin Sister,,a
c,a,What is the relationship between Zhang Eba and Li Dage?,Li Dage is schoolmate and bully of Zhang Eba,Zhang Eba is brother in law and tenant of Li Dage,Zhang Eba is tenant and superior of Li Dage,Zhang Eba is superior and future daughter in law of Li Dage,,a
a,a,Who killed Zhang Eba?,Hao Guimi,Lin Xiaohua,Wang Xuexi,Zhao Shuaige,,b
b,a,How did Zhang Eba die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Killed with a gun,,c
b,a,What was the motive behind the killer killing Zhang Eba?,Love killing,Vendetta,interest,Accidental killing,,a
b,a,"The perpetrator is the victim, Zhang Eba. Who is that?",fiancee,father,lawyer,Enemies,,a
b,a,Where was Zhang Eba killed?,On campus,Old teaching building,Inside the dormitory,His own family,,a
b,a,When was Zhang Eba killed?,11:33 PM,0pm,8am,3pm,,a
b,b,Please select the two people you most suspect of killing Zhang Eba,Hao Guimi,Lin Xiaohua,Wang Xuexi,Zhao Shuaige,,b
c,a,What is the relationship between Zhang Eba and Lin Xiaohua?,Lin Xiaohua is fiance and victim of Zhang Eba,Zhang Eba is half sister and grandchild of Lin Xiaohua,Zhang Eba is grandchild and niece of Lin Xiaohua,Zhang Eba is niece and younger sister of Lin Xiaohua,,a
c,a,What is the relationship between Zhang Eba and Cousin Sister?,Cousin Sister is schoolmate and murderer of Zhang Eba,Zhang Eba is master and boyfriend of Cousin Sister,Zhang Eba is boyfriend and ex-husband of Cousin Sister,Zhang Eba is ex-husband and admired by x of Cousin Sister,,a
c,a,What is the relationship between Zhang Eba and Li Dage?,Li Dage is schoolmate and bully of Zhang Eba,Zhang Eba is sibling and liked by x of Li Dage,Zhang Eba is liked by x and younger sister of Li Dage,Zhang Eba is younger sister and tour guide of Li Dage,,a
c,a,What is the relationship between Zhang Eba and Lin Xiaohua?,Lin Xiaohua is fiance and victim of Zhang Eba,Zhang Eba is saved by x and customer of Lin Xiaohua,Zhang Eba is customer and teacher of Lin Xiaohua,Zhang Eba is teacher and adoptive daughter of Lin Xiaohua,,a
c,a,What is the relationship between Zhang Eba and Cousin Sister?,Cousin Sister is schoolmate and murderer of Zhang Eba,Zhang Eba is uncle and colleague of Cousin Sister,Zhang Eba is colleague and possibly family of Cousin Sister,Zhang Eba is possibly family and sibling of Cousin Sister,,a
c,a,What is the relationship between Zhang Eba and Li Dage?,Li Dage is schoolmate and bully of Zhang Eba,Zhang Eba is future relative and step-father of Li Dage,Zhang Eba is step-father and minion of Li Dage,Zhang Eba is minion and patient of Li Dage,,a
a,a,Who killed Zhang Eba?,Zhao Shuaige,Lin Xiaohua,Li Xiaodi,Wang Xuexi,,b
b,a,How did Zhang Eba die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Killed with a gun,,c
b,a,What was the motive behind the killer killing Zhang Eba?,Love killing,Vendetta,interest,Accidental killing,,a
b,a,"The perpetrator is the victim, Zhang Eba. Who is that?",fiancee,father,lawyer,Enemies,,a
b,a,Where was Zhang Eba killed?,On campus,Old teaching building,Inside the dormitory,His own family,,a
b,a,When was Zhang Eba killed?,11:33 PM,0pm,8am,3pm,,a
b,b,Please select the two people you most suspect of killing Zhang Eba,Zhao Shuaige,Lin Xiaohua,Li Xiaodi,Wang Xuexi,,b
c,a,What is the relationship between Zhang Eba and Lin Xiaohua?,Lin Xiaohua is fiance and victim of Zhang Eba,Zhang Eba is classmate and relative of Lin Xiaohua,Zhang Eba is relative and nephew of Lin Xiaohua,Zhang Eba is nephew and subordinate of Lin Xiaohua,,a
c,a,What is the relationship between Zhang Eba and Cousin Sister?,Cousin Sister is schoolmate and murderer of Zhang Eba,Zhang Eba is admirer and brother in law of Cousin Sister,Zhang Eba is brother in law and extramarital affair with x of Cousin Sister,Zhang Eba is extramarital affair with x and lover of Cousin Sister,,a
c,a,What is the relationship between Zhang Eba and Li Dage?,Li Dage is schoolmate and bully of Zhang Eba,Zhang Eba is minion and son in law of Li Dage,Zhang Eba is son in law and granddaughter of Li Dage,Zhang Eba is granddaughter and guard of Li Dage,,a
