value,type,question,a,b,c,d,e,truth
c,a,【吴百安】和【李子材】的关系是什么？,李子材 is schoolmate and quest companion of 吴百安,吴百安 is half brother and child of 李子材,吴百安 is child and colleague of 李子材,吴百安 is colleague and elder sister of 李子材,,a
c,a,【吴百安】和【夏叔娥】的关系是什么？,夏叔娥 is colleague and information receiver from x of 吴百安,吴百安 is x's victim's family and murderer of 夏叔娥,吴百安 is murderer and suspicious of 夏叔娥,吴百安 is suspicious and x's enemy's family of 夏叔娥,,a
c,a,【吴百安】和【李骆明】的关系是什么？,李骆明 is murderer of 吴百安,吴百安 is future son in law of 李骆明,吴百安 is adoptive mother of 李骆明,吴百安 is schoolmate of 李骆明,,a
c,a,【夏三虎】和【骆明】不存在的关系是什么？,骆明 is student of 夏三虎,骆明 is subordinate of 夏三虎,骆明 is victim of 夏三虎,夏三虎 is granddaughter of 骆明,,d
c,a,【夏三虎】和【宇祖成木】不存在的关系是什么？,宇祖成木 is creditor of 夏三虎,宇祖成木 is deceiver of 夏三虎,宇祖成木 is victim of 夏三虎,夏三虎 is adoptive son of 宇祖成木,,d
c,a,【夏三虎】和【夏北归】的关系是什么？,夏北归 is father and mentor of 夏三虎,夏三虎 is x's enemy's family and manipulated by x of 夏北归,夏三虎 is manipulated by x and ex-boyfriend of 夏北归,夏三虎 is ex-boyfriend and host of 夏北归,,a
c,a,【岳客沙】和【夏叔娥】不存在的关系是什么？,夏叔娥 is mentor of 岳客沙,夏叔娥 is helped by 岳客沙,夏叔娥 is perpetrator of 岳客沙,岳客沙 is child of 夏叔娥,,d
c,a,【岳客沙】和【段约同】的关系是什么？,段约同 is friend and helped by x of 岳客沙,岳客沙 is step-mother and guard of 段约同,岳客沙 is guard and perpetrator 's family of 段约同,岳客沙 is perpetrator 's family and brother of 段约同,,a
c,a,【岳客沙】和【夏仲鹏】的关系是什么？,夏仲鹏 is mentor and superior of 岳客沙,岳客沙 is jealous by x and son of 夏仲鹏,岳客沙 is son and grandchild of 夏仲鹏,岳客沙 is grandchild and hate of 夏仲鹏,,a
c,a,【李骆明】和【夏三虎】不存在的关系是什么？,夏三虎 is superior of 李骆明,夏三虎 is manipulated by 李骆明,夏三虎 is deceived by 李骆明,李骆明 is helper of 夏三虎,,d
c,a,【李骆明】和【宇祖成木】不存在的关系是什么？,宇祖成木 is uncle of 李骆明,宇祖成木 is quest companion of 李骆明,宇祖成木 is business partner of 李骆明,李骆明 is unsuccessful helper of 宇祖成木,,d
c,a,【李骆明】和【岳东汶】不存在的关系是什么？,岳东汶 is helper of 李骆明,岳东汶 is employer of 李骆明,岳东汶 is deceiver of 李骆明,李骆明 is daughter in law of 岳东汶,,d
