value,type,question,a,b,c,d,e,truth
a,a,父亲【周蒙当】被谁杀死的？,周持同,昔颜,于宿年,甜愁,,d
b,a,父亲【周蒙当】是怎么死的？,被弩枪射死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀父亲【周蒙当】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人父亲【周蒙当】什么人？,仇人,同事,朋友,上级,,a
b,a,父亲【周蒙当】是在哪里被杀死的？,船上,南院,山上,河边,,a
b,b,请选出你最怀疑杀死父亲【周蒙当】的两个人,周持同,昔颜,甜愁,于宿年,嫣楠,c
a,a,母亲【于氏】被谁杀死的？,于宿年,昔颜,昔颜,甜愁,,d
b,a,母亲【于氏】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀母亲【于氏】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人母亲【于氏】什么人？,仇人,母亲,律师,医生,,a
b,a,母亲【于氏】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死母亲【于氏】的两个人,甜愁,周持同,于宿年,昔颜,嫣楠,a
a,a,【崔寿亨】被谁杀死的？,周持同,于宿年,昔颜,甜愁,,b
b,a,【崔寿亨】是怎么死的？,被弩枪射死的,被毒药毒死的,用机关杀死的,被水淹死的,,c
b,a,凶手杀【崔寿亨】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【崔寿亨】什么人？,仇人,同事,朋友,上级,,a
b,a,【崔寿亨】是在哪里被杀死的？,家主房,南院,船上,河边,,a
b,b,请选出你最怀疑杀死【崔寿亨】的两个人,周持同,昔颜,甜愁,于宿年,嫣楠,d
a,a,太太【汪昔容】被谁杀死的？,于宿年,昔颜,周持同,甜愁,,a
b,a,太太【汪昔容】是怎么死的？,被毒药毒死的,被拳头打死的,用石头砸死的,被水淹死的,,a
b,a,凶手杀太太【汪昔容】的动机是什么？,情杀,仇杀,利益,误杀,,d
b,a,凶手是被害人太太【汪昔容】什么人？,下属,母亲,律师,医生,,a
b,a,太太【汪昔容】是在哪里被杀死的？,屋子里,山上,船上,河边,,a
b,b,请选出你最怀疑杀死太太【汪昔容】的两个人,甜愁,周持同,于宿年,昔颜,嫣楠,c
b,a,【于宿年】和【嫣楠】真实关系是什么？,师生关系,恋人关系,没有关系,兄妹关系,,b
b,a,【周持同】和【甜愁】真实关系是什么？,没有关系,恋人关系,甜愁在利用周持同,兄妹关系,,c
c,a,母亲【于氏】和【甜愁】不存在的关系是什么？,甜愁 is friend of 于氏,甜愁 is helped by 于氏,甜愁 is betrayed by 于氏,于氏 is mother of 甜愁,,d
c,a,母亲【于氏】和【汪昔容】的关系是什么？,汪昔容 is master and helper of 于氏,于氏 is jealous by x and adoptive father of 汪昔容,于氏 is adoptive father and future son in law of 汪昔容,于氏 is future son in law and adversary of 汪昔容,,a
c,a,母亲【于氏】和【汪昔颜】的关系是什么？,汪昔颜 is master and bully of 于氏,于氏 is schoolmate and grandchild of 汪昔颜,于氏 is grandchild and father in law of 汪昔颜,于氏 is father in law and future mother in law of 汪昔颜,,a
c,a,父亲【周蒙当】和【崔寿亨】不存在的关系是什么？,崔寿亨 is helper of 周蒙当,崔寿亨 is master of 周蒙当,崔寿亨 is employer of 周蒙当,周蒙当 is step-mother of 崔寿亨,,d
c,a,父亲【周蒙当】和【汪昔颜】不存在的关系是什么？,汪昔颜 is friend of 周蒙当,汪昔颜 is ex-romantic relationships with 周蒙当,汪昔颜 is extramarital affair with 周蒙当,周蒙当 is younger sister of 汪昔颜,,d
c,a,父亲【周蒙当】和【宝柳】的关系是什么？,宝柳 is wife of 周蒙当,周蒙当 is future son in law of 宝柳,周蒙当 is perpetrator of 宝柳's family,周蒙当 is betrayed by 宝柳,,a
c,a,太太【汪昔容】和【宝柳】的关系是什么？,宝柳 is helped by x and servant of 太太,太太 is suspect to x and fiancee of 宝柳,太太 is fiancee and grandson of 宝柳,太太 is grandson and grandparent of 宝柳,,a
c,a,太太【汪昔容】和【汪昔颜】的关系是什么？,汪昔颜 is sister and co-wives of 太太,太太 is bully and creditor of 汪昔颜,太太 is creditor and rebellion against x of 汪昔颜,太太 is rebellion against x and schoolmate of 汪昔颜,,a
c,a,太太【汪昔容】和【汪舜明】的关系是什么？,汪舜明 is father of 太太,太太 is romantic relationships with 汪舜明,太太 is ex-husband of 汪舜明,太太 is deceived by 汪舜明,,a
c,a,【崔寿亨】和【周蒙当】不存在的关系是什么？,周蒙当 is minion of 崔寿亨,周蒙当 is servant of 崔寿亨,周蒙当 is employee of 崔寿亨,崔寿亨 is son in law of 周蒙当,,d
c,a,【崔寿亨】和【周持同】不存在的关系是什么？,周持同 is helped by 崔寿亨,周持同 is thief of 崔寿亨,周持同 is business partner of 崔寿亨,崔寿亨 is grandson of 周持同,,d
c,a,【崔寿亨】和【汪昔颜】的关系是什么？,汪昔颜 is sister in law and wife of 崔寿亨,崔寿亨 is superior and master of 汪昔颜,崔寿亨 is master and spy of 汪昔颜,崔寿亨 is spy and perpetrator 's family of 汪昔颜,,a
