value,type,question,a,b,c,d,e,truth
a,a,【Zhou Mengdang】被谁杀死的？,Zhou Chitong,Yannan,Yu Sunian,Tian Chou,,d
b,a,【Zhou Mengdang】是怎么死的？,被弩枪射死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Zhou Mengdang】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Zhou Mengdang】什么人？,仇人,同事,朋友,上级,,a
b,a,【Zhou Mengdang】是在哪里被杀死的？,船上,南院,山上,河边,,a
b,b,请选出你最怀疑杀死【Zhou Mengdang】的两个人,Zhou Chitong,Yannan,Tian Chou,Yu Sunian,Zhou Lianyi,c
a,a,【Bao Liu】被谁杀死的？,Yu Sunian,Yannan,Yannan,Tian Chou,,d
b,a,【Bao Liu】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀【Bao Liu】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Bao Liu】什么人？,仇人,母亲,律师,医生,,a
b,a,【Bao Liu】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死【Bao Liu】的两个人,Tian Chou,Zhou Chitong,Yu Sunian,Yannan,Zhou Lianyi,a
a,a,【Cui Shouheng】被谁杀死的？,Zhou Chitong,Yu Sunian,Yannan,Tian Chou,,b
b,a,【Cui Shouheng】是怎么死的？,被弩枪射死的,被毒药毒死的,用机关杀死的,被水淹死的,,c
b,a,凶手杀【Cui Shouheng】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Cui Shouheng】什么人？,仇人,同事,朋友,上级,,a
b,a,【Cui Shouheng】是在哪里被杀死的？,家主房,南院,船上,河边,,a
b,b,请选出你最怀疑杀死【Cui Shouheng】的两个人,Zhou Chitong,Yannan,Tian Chou,Yu Sunian,Zhou Lianyi,d
a,a,Sister Wang Xi Rong被谁杀死的？,Yu Sunian,Yannan,Zhou Chitong,Tian Chou,,a
b,a,Sister Wang Xi Rong是怎么死的？,被毒药毒死的,被拳头打死的,用石头砸死的,被水淹死的,,a
b,a,凶手杀Sister Wang Xi Rong的动机是什么？,情杀,仇杀,利益,误杀,,d
b,a,凶手是被害人Sister Wang Xi Rong什么人？,下属,母亲,律师,医生,,a
b,a,Sister Wang Xi Rong是在哪里被杀死的？,屋子里,山上,船上,河边,,a
b,b,请选出你最怀疑杀死Sister Wang Xi Rong的两个人,Tian Chou,Zhou Chitong,Yu Sunian,Yannan,Zhou Lianyi,c
b,a,【Yu Sunian】和【Zhou Lianyi】真实关系是什么？,师生关系,恋人关系,没有关系,兄妹关系,,b
b,a,【Zhou Chitong】和【Tian Chou】真实关系是什么？,没有关系,恋人关系,Tian Chou在利用Zhou Chitong,兄妹关系,,c
c,a,【Bao Liu】和【Tian Chou】不存在的关系是什么？,Tian Chou is friend of Bao Liu,Tian Chou is helped by Bao Liu,Tian Chou is betrayed by Bao Liu,Bao Liu is ex-wife of Tian Chou,,d
c,a,【Bao Liu】和【Wang Xi Rong】的关系是什么？,Wang Xi Rong is master and helper of Bao Liu,Bao Liu is daughter in law and step-father of Wang Xi Rong,Bao Liu is step-father and x's victim's family of Wang Xi Rong,Bao Liu is x's victim's family and younger sister of Wang Xi Rong,,a
c,a,【Bao Liu】和【Wang Xi Yan】的关系是什么？,Wang Xi Yan is master and bully of Bao Liu,Bao Liu is brother and neighbour of Wang Xi Yan,Bao Liu is neighbour and ex-boyfriend of Wang Xi Yan,Bao Liu is ex-boyfriend and step-brother of Wang Xi Yan,,a
c,a,【Zhou Mengdang】和【Cui Shouheng】不存在的关系是什么？,Cui Shouheng is helper of Zhou Mengdang,Cui Shouheng is master of Zhou Mengdang,Cui Shouheng is employer of Zhou Mengdang,Zhou Mengdang is thief of Cui Shouheng,,d
c,a,【Zhou Mengdang】和【Wang Xi Yan】不存在的关系是什么？,Wang Xi Yan is friend of Zhou Mengdang,Wang Xi Yan is ex-romantic relationships with Zhou Mengdang,Wang Xi Yan is extramarital affair with Zhou Mengdang,Zhou Mengdang is adoptive sister of Wang Xi Yan,,d
