value,type,question,a,b,c,d,e,truth
a,a,Who killed Hans Li Morette?,Gale Li Morette,Nurse head [Sylvia Costa],Drake Li Morette,Frank Bijeli,,a
b,a,How did Hans Li Morette die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What was the motive behind the killer killing Hans Li Morette?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim, Hans Li Morette. Who is that?",Enemies,colleague,friend,wife,,d
b,a,Where was Hans Li Morette killed?,emergency room,Johnson Family,laboratory,dressing room,,c
b,a,When was Hans Li Morette killed?,This afternoon from 5:00 to 5:30,This afternoon from 6:30 to 7:00,Tonight from 7:00 to 7:30,This morning from 6:30 to 7:00,,b
b,b,Please select the two people you most suspect of killing Hans Li Morette,Gale Li Morette,Nurse head [Sylvia Costa],Drake Li Morette,Frank Bijeli,,a
b,a,What is the true identity of the intern Elaine Carter?,Organ traffickers,Undercover Police Regular Intern,Kidnappers,,b,
b,a,What was not done by Frank Bijeli?,murder,Stealing files,Fraud,When Father Tom's request,,a
b,a,What is Frank Bijeli's true identity?,Killer,Undercover Cop ,patient,Father Tom's request,,d
b,a,What was not done by Richard Berkeley?,Appropriating hospital funds as allowances,Hiring someone to steal documents,Participate in organ trafficking,Hiring someone to burn down Drake's house,,c
b,a,What is Father Tom's true identity?,Kidnappers,Killer,A big scammer with a strong desire,People with special abilities,,c
b,a,What is the true identity of head nurse Sylvia Costa?,An accomplice in organ trafficking,Killer,Undercover Cop ,People with special abilities,,a
c,a,What is the relationship between Frank Bijeli and Tony?,Tony is brother of Frank Bijeli,Frank Bijeli is spy of Tony,Frank Bijeli is murderer of Tony,Frank Bijeli is customer of Tony,,a
c,a,What is the relationship between Frank Bijeli and Father Tom?,Father Tom is employer of Frank Bijeli,Frank Bijeli is perpetrator of Father Tom,Frank Bijeli is suspicious of Father Tom,Frank Bijeli is fiance of Father Tom,,a
c,a,What is the relationship between Frank Bijeli and Drake Li Morette?,Drake Li Morette is doctor of Frank Bijeli,Frank Bijeli is adversary of Drake Li Morette,Frank Bijeli is seeker of help from Drake Li Morette,Frank Bijeli is future relative of Drake Li Morette,,a
c,a,What is the relationship between Father Tom and Tony?,Tony is manipulated by x and deceived by x of Father Tom,Father Tom is authority over x and student of Tony,Father Tom is student and ex-girlfriend of Tony,Father Tom is ex-girlfriend and admired by x of Tony,,a
c,a,What is the relationship between Father Tom and Frank Bijeli?,Frank Bijeli is employee of Father Tom,Father Tom is father in law of Frank Bijeli,Father Tom is bully of Frank Bijeli,Father Tom is adoptive daughter of Frank Bijeli,,a
c,a,What is the relationship between Father Tom and Drake Li Morette?,Drake Li Morette is doctor of Father Tom,Father Tom is helped by Drake Li Morette,Father Tom is step-brother of Drake Li Morette,Father Tom is hate of Drake Li Morette,,a
