value,type,question,a,b,c,d,e,truth
a,a,【顾明和】被谁杀死的？,林夕,林夕,沈城,陈静雯,,b
b,a,【顾明和】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【顾明和】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【顾明和】什么人？,儿子,父亲,律师,仇人,,d
b,a,【顾明和】是在哪里被杀死的？,办公大楼,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【顾明和】的两个人,林夕,林阳,沈城,陈静雯,林夕,e
c,a,【林夕】和【顾晴】不存在的关系是什么？,顾晴 is rival in love of 林夕,顾晴 is dislike of 林夕,顾晴 is friend of 林夕,林夕 is step-daughter of 顾晴,,d
c,a,【林夕】和【林阳】的关系是什么？,林阳 is adoptive brother and hate of 林夕,林夕 is subordinate and tenant of 林阳,林夕 is tenant and concubine of 林阳,林夕 is concubine and ex-wife of 林阳,,a
c,a,【林夕】和【陈静雯】的关系是什么？,陈静雯 is acquaintance and rival in love of 林夕,林夕 is nephew and relative of 陈静雯,林夕 is relative and future daughter in law of 陈静雯,林夕 is future daughter in law and son in law of 陈静雯,,a
c,a,【林彤】和【沈城】的关系是什么？,沈城 is father of 林彤,林彤 is informant of 沈城,林彤 is manipulator of 沈城,林彤 is rival of 沈城,,a
c,a,【林彤】和【秦思琴】的关系是什么？,秦思琴 is mother of 林彤,林彤 is seller of 秦思琴,林彤 is girlfriend of 秦思琴,林彤 is co-wives of 秦思琴,,a
c,a,【林彤】和【苏阳】的关系是什么？,苏阳 is ex-boyfriend of 林彤,林彤 is subject of investigation for 苏阳,林彤 is brother of 苏阳,林彤 is minion of 苏阳,,a
c,a,【林惟仁】和【沈城】不存在的关系是什么？,沈城 is employee of 林惟仁,沈城 is hate of 林惟仁,沈城 is servant of 林惟仁,林惟仁 is biological father of 沈城,,d
c,a,【林惟仁】和【苏阳】不存在的关系是什么？,苏阳 is student of 林惟仁,苏阳 is dislike of 林惟仁,苏阳 is hate of 林惟仁,林惟仁 is admirer of 苏阳,,d
c,a,【林惟仁】和【林阳】的关系是什么？,林阳 is son and adoptive son of 林惟仁,林惟仁 is suspicious and rival of 林阳,林惟仁 is rival and informant of 林阳,林惟仁 is informant and murderer of 林阳,,a
c,a,【顾宇】和【林夕】不存在的关系是什么？,林夕 is ex-girlfriend of 顾宇,林夕 is fondness of 顾宇,林夕 is friend of 顾宇,顾宇 is step-mother of 林夕,,d
c,a,【顾宇】和【陈静雯】的关系是什么？,陈静雯 is romantic relationships with x and hate of 顾宇,顾宇 is mentor and landlord of 陈静雯,顾宇 is landlord and neighbour of 陈静雯,顾宇 is neighbour and informant of 陈静雯,,a
c,a,【顾宇】和【顾明和】的关系是什么？,顾明和 is father and superior of 顾宇,顾宇 is secret admirer and x's victim's family of 顾明和,顾宇 is x's victim's family and betrayer of 顾明和,顾宇 is betrayer and jealous by x of 顾明和,,a
c,a,【顾明和】和【顾宇】的关系是什么？,顾宇 is subordinate and son of 顾明和,顾明和 is betrayer and in the lawsuit against x of 顾宇,顾明和 is in the lawsuit against x and rival of 顾宇,顾明和 is rival and host of 顾宇,,a
c,a,【顾明和】和【沈城】的关系是什么？,沈城 is hate of 顾明和,顾明和 is step-mother of 沈城,顾明和 is cousin of 沈城,顾明和 is biological daughter of 沈城,,a
c,a,【顾明和】和【顾晴】的关系是什么？,顾晴 is daughter of 顾明和,顾明和 is tenant of 顾晴,顾明和 is bully of 顾晴,顾明和 is debtor of 顾晴,,a

