value,type,question,a,b,c,d,e,truth
a,a,李家小姐【李郁】(太太)被谁杀死的？,任师父,赵万雷,李郁,【郭忘山】指使【齐岳】,,d
b,a,李家小姐【李郁】(太太)是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被腰带勒死的,,c
b,a,凶手杀李家小姐【李郁】(太太)的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人李家小姐【李郁】(太太)什么人？,仇人,徒弟,朋友,陌生人,,d
b,a,李家小姐【李郁】(太太)是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城自家的绸缎铺里,汉阳的兵工厂,赵万雷的卧室里,,b
b,a,李家小姐【李郁】(太太)是在何时被杀死的？,光绪二十六年（1900年）冬初,光绪二十一年（1895年）农历二月二十四,宣统三年（1911年）,今天,,a
b,b,请选出你最怀疑杀死李家小姐【李郁】(太太)的两个人,任师父,赵万雷,李郁,【郭忘山】指使【齐岳】,,d
a,a,你的妻子是被谁杀死的？,任师父,赵万雷,李郁,【郭忘山】指使【齐岳】,,d
b,a,你的妻子是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被腰带勒死的,,c
b,a,凶手杀你的妻子的动机是什么？,情杀,仇杀,利益,误杀,,d
b,a,凶手是被害人（你的妻子）的什么人？,仇人,徒弟,朋友,陌生人,,d
b,a,你的妻子是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城自家的绸缎铺里,汉阳的兵工厂,赵万雷的卧室里,,b
b,a,你的妻子是在何时被杀死的？,光绪二十六年（1900年）冬初,光绪二十一年（1895年）农历二月二十四,宣统三年（1911年）,今天,,a
b,b,请选出你最怀疑杀死你的妻子的两个人,任师父,赵万雷,李郁,【郭忘山】指使【齐岳】,,d
b,a,【尹少鸣】是什么人？,黑狼会的人,"误以为赵洛意被绑架了，不放心而跟过来的热心人",自己的表外甥,赵万雷的下属,,c
b,a,【尹少鸣】和【冯双骥】(你)是什么关系？,尹少鸣是冯双骥的女婿,尹少鸣和冯双骥是陌生人,尹少鸣的外公是冯双骥的师父,尹少鸣和冯双骥都是黑狼会的人,,c
b,a,小姐【赵洛意】是怎么落入黑狼会手里的？,"黑狼会的人绑架赵洛意，以此来威胁赵万雷",赵洛意因为宣传男女平权被警方逮捕了,赵洛意因在宣传男女平权时误入杀人犯的别墅被警方误捕了,赵洛意是黑狼会的一员,,c
b,a,【赵秋儿】和【齐岳】实际上是什么关系？,兄妹,仇人,徒弟,父女,,a
b,a,【赵秋儿】和【赵万雷】实际上是什么关系？,【赵秋儿】单方面喜欢【赵万雷】,【赵万雷】单方面喜欢【赵秋儿】,【赵万雷】只是开玩笑要娶【赵秋儿】,【赵万雷】和【赵秋儿】两情相悦,,d
b,a,【双面虎】是谁？,齐岳,赵万雷,郭忘山,廖老板,,c
b,a,【郭忘山】来丹水山庄有什么目的？,毁掉赵家,和赵万雷谈生意,向赵万雷提亲,找出当年爆炸案的真相,,a
c,a,【尹少鸣】和小姐【赵洛意】的关系是什么？,赵洛意 is seeker of help from x and secret admirer of 尹少鸣,尹少鸣 is x's enemy's family and aunt of 赵洛意,尹少鸣 is aunt and adoptive daughter of 赵洛意,尹少鸣 is adoptive daughter and subject of investigation for x of 赵洛意,,a
c,a,【尹少鸣】和【虞北辰】的关系是什么？,虞北辰 is father of 尹少鸣,尹少鸣 is servant of 虞北辰,尹少鸣 is superior of 虞北辰,尹少鸣 is unsuccessful helper of 虞北辰,,a
c,a,【尹少鸣】和【任】的关系是什么？,任 is mother of 尹少鸣,尹少鸣 is boyfriend of 任,尹少鸣 is quest companion of 任,尹少鸣 is deceived by 任,,a
c,a,【赵万雷】和【冯双骥】(你)不存在的关系是什么？,冯双骥 is schoolmate of 赵万雷,冯双骥 is servant of 赵万雷,冯双骥 is employee of 赵万雷,赵万雷 is child of 冯双骥,,d
c,a,【赵万雷】和【郭望山】不存在的关系是什么？,郭望山 is Business Partner of X,郭望山 is Attempted Murderer of X,郭望山 is Perpetrator of X's family,赵万雷 is cousin of 郭望山,,d
c,a,【赵万雷】和【齐岳】不存在的关系是什么？,齐岳 is employee of 赵万雷,齐岳 is servant of 赵万雷,齐岳 is Perpetrator of X's family,赵万雷 is grandchild of 齐岳,,d
c,a,小姐【赵洛意】和【赵万雷】的关系是什么？,冯双骥 is father of 赵洛意,赵洛意 is thief of 冯双骥,赵洛意 is spy of 冯双骥,赵洛意 is ex-romantic relationships with 冯双骥,,a
c,a,小姐【赵洛意】和【冯双骥】(你)的关系是什么？,冯双骥 is father of 赵洛意,赵洛意 is thief of 冯双骥,赵洛意 is spy of 冯双骥,赵洛意 is ex-romantic relationships with 冯双骥,,a
c,a,小姐【赵洛意】和李家小姐【李郁】(太太)的关系是什么？,李郁 is mother of 赵洛意,赵洛意 is spy of 李郁,赵洛意 is hate of 李郁,赵洛意 is service provider of 李郁,,a
