value,type,question,a,b,c,d,e,truth
a,a,【夏伯龙】被谁杀死的？,夏三虎,夏仲鹏,李子材,段和君,,a
b,a,【夏伯龙】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀【夏伯龙】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【夏伯龙】什么人？,仇人,兄弟,朋友,情人,,b
b,a,【夏伯龙】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死【夏伯龙】的两个人,夏三虎,夏仲鹏,李子材,段和君,,a
a,a,【夏三虎】被谁杀死的？,宇祖成木,夏仲鹏,李大哥,段约同,,b
b,a,【夏三虎】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀【夏三虎】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人【夏三虎】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,【夏三虎】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,【夏三虎】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死【夏三虎】的两个人,宇祖成木,夏仲鹏,李大哥,段约同,,a
a,a,【吴百安】被谁杀死的？,宇祖成木,李大哥【阿明】,岳东汶,段约同,,b
b,a,【吴百安】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀【吴百安】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【吴百安】什么人？,仇人,同事,朋友,妻子,,a
b,a,【吴百安】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,吴百安家,,a
b,a,【吴百安】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死【吴百安】的两个人,宇祖成木,李大哥【阿明】,岳东汶,段约同,,a
b,a,【宇祖成木】先生是什么人？, “嘉善堂”医馆的李子材的弟弟,日本商人,警察,【李大哥】的朋友,,a
b,a,【李大哥】和【宇祖成木】先生是什么关系？, 叔侄,陌生人,仇人,朋友,,a
b,a,【岳东汶】在隐瞒什么？, 他的公司卖假药,吴百安卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是段约同的亲生父亲,,b
c,a,【宇祖成木】先生和【夏三虎】不存在的关系是什么？,夏三虎 is schoolmate of 宇祖成木,夏三虎 is friend of 宇祖成木,夏三虎 is deceived by 宇祖成木,宇祖成木 is doctor of 夏三虎,,d
c,a,【宇祖成木】先生和【李大哥】(阿明)不存在的关系是什么？,李骆明 is nephew of 宇祖成木,李骆明 is manipulator of 宇祖成木,李骆明 is quest companion of 宇祖成木,宇祖成木 is messenger of 李骆明,,d
c,a,【宇祖成木】和【安琪】(你)不存在的关系是什么？,安琪 is helper of 宇祖成木,安琪 is product provider of 宇祖成木,安琪 is creditor of 宇祖成木,宇祖成木 is boyfriend of 安琪,,d
c,a,【李大哥】(阿明)和【夏三虎】不存在的关系是什么？,夏三虎 is superior of 李骆明,夏三虎 is manipulated by 李骆明,夏三虎 is deceived by 李骆明,李骆明 is co-wives of 夏三虎,,d
c,a,【李大哥】(阿明)和【宇祖成木】不存在的关系是什么？,宇祖成木 is uncle of 李骆明,宇祖成木 is quest companion of 李骆明,宇祖成木 is business partner of 李骆明,李骆明 is ex-romantic relationships with 宇祖成木,,d
c,a,【李大哥】(阿明)和【岳东汶】不存在的关系是什么？,岳东汶 is helper of 李骆明,岳东汶 is employer of 李骆明,岳东汶 is deceiver of 李骆明,李骆明 is twin brother of 岳东汶,,d
c,a,【段约同】和【岳客沙】不存在的关系是什么？,岳客沙 is friend of 段约同,岳客沙 is helper of 段约同,岳客沙 is informant of 段约同,段约同 is grandfather of 岳客沙,,d
c,a,【段约同】和【白常恭】的关系是什么？,白常恭 is step-father and informant of 段约同,段约同 is dislike and superior of 白常恭,段约同 is superior and enemy of 白常恭,段约同 is enemy and victim of 白常恭,,a
c,a,【段约同】和【夏三虎】的关系是什么？,夏三虎 is subject of investigation for x and acquaintance of 段约同,段约同 is secret crush and son of 夏三虎,段约同 is son and fiancee of 夏三虎,段约同 is fiancee and brother in law of 夏三虎,,a
