value,type,question,a,b,c,d,e,truth
a,a,【Hans Li Morette】被谁杀死的？,Gale Li Morette,护士长【Sylvia Costa】,Drake Li Morette,Frank Bijeli,,a
b,a,【Hans Li Morette】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Hans Li Morette】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Hans Li Morette】什么人？,仇人,同事,朋友,妻子,,d
b,a,【Hans Li Morette】是在哪里被杀死的？,急诊室,约翰逊家,实验室,更衣室,,c
b,a,【Hans Li Morette】是在何时被杀死的？,今天下午5:00到5:30,今天下午6:30到7:00,今天晚上7:00到7:30,今天早上6:30到7:00,,b
b,b,请选出你最怀疑杀死【Hans Li Morette】的两个人,Gale Li Morette,护士长【Sylvia Costa】,Drake Li Morette,Frank Bijeli,,a
a,a,医院里是谁在帮助器官贩子贩卖器官?, Drake Li Morette,护士长 Sylvia Costa,没有人,Andrew Paloski,,b
a,a,谁是器官贩子?, Tony•比杰利,Father Tom,院长【Richard Berkeley】,James Lai Li,,d
b,a,【Drake Li Morette】的真实身份是什么?, 器官贩子,卧底警察,Hans Li Morette假扮的,绑匪,,c
b,a,哪件事不是【Frank Bijeli】做的?, 杀人,偷取文件,诈骗,当汤姆神父的托,,a
b,a,【Tony Bijeli】的真实身份是什么?, 绑匪,杀人凶手,卧底警察,病人,,a
b,a,哪件事不是【Richard Berkeley】做的?, 挪用医院资金作为津贴,雇人偷取文件,参与器官贩卖,雇人烧毁德雷克的房子,,c
b,a,【Father Tom】的真实身份是什么?, 绑匪,杀人凶手,有着强烈欲望的大骗子,有特殊能力的人,,c
c,a,【Frank Bijeli】和【Tony】的关系是什么？,Tony is brother of Frank Bijeli,Frank Bijeli is perpetrator of Tony,Frank Bijeli is perpetrator of Tony,Frank Bijeli is student of Tony,,a
c,a,【Frank Bijeli】和【Father Tom】的关系是什么？,Father Tom is employer of Frank Bijeli,Frank Bijeli is step-son of Father Tom,Frank Bijeli is admired by Father Tom,Frank Bijeli is subject of investigation for Father Tom,,a
c,a,【Frank Bijeli】和【Drake Li Morette】的关系是什么？,Drake Li Morette is doctor of Frank Bijeli,Frank Bijeli is rival in love of Drake Li Morette,Frank Bijeli is jealous by Drake Li Morette,Frank Bijeli is rebellion against Drake Li Morette,,a
c,a,【Tony】和【Frank Bijeli】的关系是什么？,Frank Bijeli is brother of Tony,Tony is helped by Frank Bijeli,Tony is business partner of Frank Bijeli,Tony is ex-romantic relationships with Frank Bijeli,,a
c,a,【Tony】和【Father Tom】的关系是什么？,Father Tom is manipulator of Tony,Tony is fondness of Father Tom,Tony is adoptive son of Father Tom,Tony is admired by Father Tom,,a
c,a,【Tony】和【Tony Bijeli】的关系是什么？,Tony Bijeli is same person as Tony (different reference),Tony is adversary of Tony Bijeli,Tony is landlord of Tony Bijeli,Tony is superior of Tony Bijeli,,a
c,a,【Head Nurse Costa】和【Hans Li Morette】不存在的关系是什么？,Hans Li Morette is colleague of Head Nurse Costa,Hans Li Morette is manipulated by Head Nurse Costa,Hans Li Morette is deceived by Head Nurse Costa,Head Nurse Costa is helped by Hans Li Morette,,d
c,a,【Head Nurse Costa】和【Richard Berkeley】的关系是什么？,Richard Berkeley is superior and colleague of Head Nurse Costa,Head Nurse Costa is seeker of help from x and manipulated by x of Richard Berkeley,Head Nurse Costa is manipulated by x and dislike of Richard Berkeley,Head Nurse Costa is dislike and classmate of Richard Berkeley,,a
c,a,【Head Nurse Costa】和【James Lai Li】的关系是什么？,James Lai Li is creditor and manipulator of Head Nurse Costa,Head Nurse Costa is younger brother and adoptive father of James Lai Li,Head Nurse Costa is adoptive father and helped by x of James Lai Li,Head Nurse Costa is helped by x and son of James Lai Li,,a
c,a,【Richard Berkeley】和【Andrew Paloski】的关系是什么？,Andrew Paloski is subordinate and colleague of Richard Berkeley,Richard Berkeley is co-wives and murderer of Andrew Paloski,Richard Berkeley is murderer and sister of Andrew Paloski,Richard Berkeley is sister and fiancee of Andrew Paloski,,a
c,a,【Richard Berkeley】和【Sylvia Costa】的关系是什么？,Sylvia Costa is subordinate and colleague of Richard Berkeley,Richard Berkeley is niece and husband of Sylvia Costa,Richard Berkeley is husband and father of Sylvia Costa,Richard Berkeley is father and hated by x of Sylvia Costa,,a
c,a,【Richard Berkeley】和【Drake Li Morette】的关系是什么？,Drake Li Morette is subordinate and colleague of Richard Berkeley,Richard Berkeley is suspicious and daughter of Drake Li Morette,Richard Berkeley is daughter and manipulator of Drake Li Morette,Richard Berkeley is manipulator and grandchild of Drake Li Morette,,a
c,a,【Gale Li Morette】和【Drake Li Morette】不存在的关系是什么？,Drake Li Morette is extramarital affair with Gale Li Morette,Drake Li Morette is brother in law of Gale Li Morette,Drake Li Morette is victim of Gale Li Morette,Gale Li Morette is classmate of Drake Li Morette,,d
c,a,【Gale Li Morette】和【Hans Li Morette】的关系是什么？,Hans Li Morette is husband and betrayed by x of Gale Li Morette,Gale Li Morette is possibly family and crime partner of Hans Li Morette,Gale Li Morette is crime partner and host of Hans Li Morette,Gale Li Morette is host and sister of Hans Li Morette,,a
c,a,【Gale Li Morette】和【James Lai Li】的关系是什么？,James Lai Li is helper and customer of Gale Li Morette,Gale Li Morette is fiance and son of James Lai Li,Gale Li Morette is son and suspected by x of James Lai Li,Gale Li Morette is suspected by x and younger sister of James Lai Li,,a
