value,type,question,a,b,c,d,e,truth
a,a,【夏伯龙】被谁杀死的？,夏三虎,夏仲鹏,李子材,段和君,,a
b,a,【夏伯龙】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀【夏伯龙】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【夏伯龙】什么人？,仇人,兄弟,朋友,情人,,b
b,a,【夏伯龙】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死【夏伯龙】的两个人,夏三虎,夏仲鹏,李子材,段和君,,a
a,a,【夏三虎】被谁杀死的？,宇祖成木,夏仲鹏,阿明,段约同,,b
b,a,【夏三虎】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀【夏三虎】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人【夏三虎】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,【夏三虎】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,【夏三虎】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死【夏三虎】的两个人,宇祖成木,夏仲鹏,阿明,段约同,,a
b,a,【岳东汶】在隐瞒什么？, 他的公司卖假药,【吴百安】(白发阿伯)卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是段约同的亲生父亲,,b
b,a,【段约同】的亲生父亲是谁？,【夏伯龙】,夏仲鹏,夏三虎,李子材,,a
b,a,【宇祖成木】（李子俊）为什么去日本？, 赌博,工作,骗钱,读书,,d
b,a,【安琪】为什么来拳馆？, 阻止【夏三虎】强迫【夏叔娥】嫁给【宇祖成木】(李子俊)先生,寻找哥哥,想见自己,想见【段约同】,,ac
c,a,【夏三虎】和【骆明】不存在的关系是什么？,骆明 is student of 夏三虎,骆明 is subordinate of 夏三虎,骆明 is victim of 夏三虎,夏三虎 is father of 骆明,,d
c,a,【夏三虎】和【宇祖成木】(李子俊)不存在的关系是什么？,宇祖成木 is creditor of 夏三虎,宇祖成木 is deceiver of 夏三虎,宇祖成木 is victim of 夏三虎,夏三虎 is helped by 宇祖成木,,d
c,a,【夏三虎】和【夏北归】的关系是什么？,夏北归 is father and mentor of 夏三虎,夏三虎 is authority over x and rival of 夏北归,夏三虎 is rival and attempted perpetrator of 夏北归,夏三虎 is attempted perpetrator and boyfriend of 夏北归,,a
c,a,【宇祖成木】(李子俊)和【夏三虎】不存在的关系是什么？,夏三虎 is schoolmate of 宇祖成木,夏三虎 is friend of 宇祖成木,夏三虎 is deceived by 宇祖成木,宇祖成木 is fiance of 夏三虎,,d
c,a,【宇祖成木】(李子俊)和【李骆明】不存在的关系是什么？,李骆明 is nephew of 宇祖成木,李骆明 is manipulator of 宇祖成木,李骆明 is quest companion of 宇祖成木,宇祖成木 is wife of 李骆明,,d
c,a,【宇祖成木】(李子俊)和【安琪】不存在的关系是什么？,安琪 is helper of 宇祖成木,安琪 is product provider of 宇祖成木,安琪 is creditor of 宇祖成木,宇祖成木 is future daughter in law of 安琪,,d
c,a,【白常恭】和【岳东汶】不存在的关系是什么？,岳东汶 is acquaintance of 白常恭,岳东汶 is product provider of 白常恭,岳东汶 is creditor of 白常恭,白常恭 is ex-wife of 岳东汶,,d
c,a,【白常恭】和【李骆明】的关系是什么？,李骆明 is service provider and perpetrator of 白常恭,白常恭 is saviour and grandchild of 李骆明,白常恭 is grandchild and mother of 李骆明,白常恭 is mother and daughter in law of 李骆明,,a
c,a,【白常恭】和【段和君】的关系是什么？,段和君 is wife and superior of 白常恭,白常恭 is schoolmate and brother in law of 段和君,白常恭 is brother in law and adoptive sister of 段和君,白常恭 is adoptive sister and future relative of 段和君,,a
