value,type,question,a,b,c,d,e,truth
a,a,【林惟仁】被谁杀死的？,林夕,林阳,苏阳,沈城,,c
b,a,【林惟仁】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【林惟仁】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【林惟仁】什么人？,儿子,父亲,律师,上级,,d
b,a,【林惟仁】是在哪里被杀死的？,书房,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【林惟仁】的两个人,林夕,林阳,苏阳,沈城,顾宇,c
a,a,【顾明和】被谁杀死的？,林夕,林夕,苏阳,沈城,,b
b,a,【顾明和】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【顾明和】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【顾明和】什么人？,儿子,父亲,律师,仇人,,d
b,a,【顾明和】是在哪里被杀死的？,办公大楼,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【顾明和】的两个人,林夕,林阳,苏阳,沈城,林夕,e
c,a,【林惟仁】和【沈城】不存在的关系是什么？,沈城 is employee of 林惟仁,沈城 is hate of 林惟仁,沈城 is servant of 林惟仁,林惟仁 is concubine of 沈城,,d
c,a,【林惟仁】和【苏阳】不存在的关系是什么？,苏阳 is student of 林惟仁,苏阳 is dislike of 林惟仁,苏阳 is hate of 林惟仁,林惟仁 is son of 苏阳,,d
c,a,【林惟仁】和【林阳】的关系是什么？,林阳 is son and adoptive son of 林惟仁,林惟仁 is helped by x and superior of 林阳,林惟仁 is superior and killed by x of 林阳,林惟仁 is killed by x and employer of 林阳,,a
c,a,【陈静雯】和【林夕】的关系是什么？,林夕 is acquaintance and rival in love of 陈静雯,陈静雯 is sibling and child of 林夕,陈静雯 is child and grandson of 林夕,陈静雯 is grandson and master of 林夕,,a
c,a,【陈静雯】和【顾宇】的关系是什么？,顾宇 is romantic relationships with 陈静雯,陈静雯 is service provider of 顾宇,陈静雯 is attempted perpetrator of 顾宇,陈静雯 is future son in law of 顾宇,,a
c,a,【陈静雯】和【郑心媚】的关系是什么？,郑心媚 is mother of 陈静雯,陈静雯 is suspected by 郑心媚,陈静雯 is patient of 郑心媚,陈静雯 is ex-romantic relationships with 郑心媚,,a
c,a,【顾明和】和【顾宇】的关系是什么？,顾宇 is subordinate and son of 顾明和,顾明和 is extramarital affair with x and disliked by x of 顾宇,顾明和 is disliked by x and victim of 顾宇,顾明和 is victim and deceived by x of 顾宇,,a
c,a,【顾明和】和【沈城】的关系是什么？,沈城 is hate of 顾明和,顾明和 is crime partner of 沈城,顾明和 is saviour of 沈城,顾明和 is schoolmate of 沈城,,a
c,a,【顾明和】和【顾晴】的关系是什么？,顾晴 is daughter of 顾明和,顾明和 is betrayed by 顾晴,顾明和 is rebellion against 顾晴,顾明和 is tour guide of 顾晴,,a
