value,type,question,a,b,c,d,e,truth
a,a,Boss Yang被谁杀死的？,First Mate Zhang,Shipyard Worker Wang,Ship Doctor Ling,,,a
b,a,Boss Yang是怎么死的？,被拳头打死的,被毒药毒死的,被水淹死的,用刀杀死的,,b
b,a,凶手杀Boss Yang的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人Boss Yang什么人？,律师,亲戚,儿子,商业合作伙伴,,d
b,a,Boss Yang是在哪里被杀死的？,甲板上,岸边,酒吧,自己的房间,,d
b,a,Boss Yang是什么时候被杀死的？,22:10左右,凌晨1点,上午10点,晚上8点,,a
b,b,请选出你最怀疑杀死Boss Yang的两个人,First Mate Zhang,Shipyard Worker Wang,Ship Doctor Ling,,,a
c,a,【Very Naive】和【Secretary Wen】的关系是什么？,Secretary Wen is murderer and colleague of Very Naive,Very Naive is sister in law and helped by x of Secretary Wen,Very Naive is helped by x and grandchild of Secretary Wen,Very Naive is grandchild and father of Secretary Wen,,a
c,a,【Very Naive】和【First Mate Zhang】的关系是什么？,First Mate Zhang is brother of Very Naive,Very Naive is perpetrator of First Mate Zhang,Very Naive is master of First Mate Zhang,Very Naive is schoolmate of First Mate Zhang,,a
c,a,【Very Naive】和【Boss Yang】的关系是什么？,Boss Yang is employer of Very Naive,Very Naive is son in law of Boss Yang,Very Naive is ex-boyfriend of Boss Yang,Very Naive is sworn brother of Boss Yang,,a
c,a,【Boss Yang】和【Ship Doctor Ling】不存在的关系是什么？,Ship Doctor Ling is business partner of Boss Yang,Ship Doctor Ling is debtor of Boss Yang,Ship Doctor Ling is informant of Boss Yang,Boss Yang is girlfriend of Ship Doctor Ling,,d
c,a,【Boss Yang】和【First Mate Zhang】的关系是什么？,First Mate Zhang is business partner and murderer of Boss Yang,Boss Yang is crime partner and uncle of First Mate Zhang,Boss Yang is uncle and step-sister of First Mate Zhang,Boss Yang is step-sister and younger brother of First Mate Zhang,,a
c,a,【Boss Yang】和【Very Naive】的关系是什么？,Very Naive is employee of Boss Yang,Boss Yang is father in law of Very Naive,Boss Yang is future relative of Very Naive,Boss Yang is girlfriend of Very Naive,,a
c,a,【Worker Wang】和【Ship Doctor Ling】的关系是什么？,Ship Doctor Ling is romantic relationships with Worker Wang,Worker Wang is future daughter in law of Ship Doctor Ling,Worker Wang is perpetrator of Ship Doctor Ling,Worker Wang is sister in law of Ship Doctor Ling,,a
c,a,【Worker Wang】和【Shipyard Worker Wang】的关系是什么？,Shipyard Worker Wang is father of Worker Wang,Worker Wang is quest companion of Shipyard Worker Wang,Worker Wang is romantic relationships with Shipyard Worker Wang,Worker Wang is ex-boyfriend of Shipyard Worker Wang,,a
c,a,【Worker Wang】和【First Mate Zhang】的关系是什么？,First Mate Zhang is suspicious of Worker Wang,Worker Wang is future father in law of First Mate Zhang,Worker Wang is liked by First Mate Zhang,Worker Wang is adoptive mother of First Mate Zhang,,a
