value,type,question,a,b,c,d,e,truth
a,a,姐夫【Zhou Mengdang】被谁杀死的？,Zhou Lianyi,Xi Yan,Zhou Chitong,Tian Chou,,d
b,a,姐夫【Zhou Mengdang】是怎么死的？,被弩枪射死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀姐夫【Zhou Mengdang】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人姐夫【Zhou Mengdang】什么人？,仇人,同事,朋友,上级,,a
b,a,姐夫【Zhou Mengdang】是在哪里被杀死的？,船上,南院,山上,河边,,a
b,b,请选出你最怀疑杀死姐夫【Zhou Mengdang】的两个人,Zhou Lianyi,Xi Yan,Tian Chou,Zhou Chitong,Yannan,c
a,a,姐姐【Yu Shi】被谁杀死的？,Zhou Lianyi,Xi Yan,Zhou Chitong,Tian Chou,,d
b,a,姐姐【Yu Shi】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀姐姐【Yu Shi】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人姐姐【Yu Shi】什么人？,仇人,母亲,律师,医生,,a
b,a,姐姐【Yu Shi】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死姐姐【Yu Shi】的两个人,Tian Chou,Zhou Lianyi,Zhou Chitong,Xi Yan,Yannan,a
b,a,【Zhou Chitong】和【Tian Chou】真实关系是什么？,没有关系,恋人关系,Tian Chou在利用Zhou Chitong,兄妹关系,,c
c,a,姐姐【Yu Shi】和【Tian Chou】不存在的关系是什么？,Tian Chou is friend of Yu Shi,Tian Chou is helped by Yu Shi,Tian Chou is betrayed by Yu Shi,Yu Shi is future relative of Tian Chou,,d
c,a,姐姐【Yu Shi】和【Wang Xi Rong】的关系是什么？,Wang Xi Rong is master and helper of Yu Shi,Yu Shi is sister and x's enemy's family of Wang Xi Rong,Yu Shi is x's enemy's family and rebellion against x of Wang Xi Rong,Yu Shi is rebellion against x and grandmother of Wang Xi Rong,,a
c,a,姐姐【Yu Shi】和【Wang Xi Yan】的关系是什么？,Wang Xi Yan is master and bully of Yu Shi,Yu Shi is father and wife of Wang Xi Yan,Yu Shi is wife and grandfather of Wang Xi Yan,Yu Shi is grandfather and step-daughter of Wang Xi Yan,,a
c,a,姐夫【Zhou Mengdang】和【Cui Shouheng】不存在的关系是什么？,Cui Shouheng is helper of Zhou Mengdang,Cui Shouheng is master of Zhou Mengdang,Cui Shouheng is employer of Zhou Mengdang,Zhou Mengdang is admirer of Cui Shouheng,,d
c,a,姐夫【Zhou Mengdang】和【Wang Xi Yan】不存在的关系是什么？,Wang Xi Yan is friend of Zhou Mengdang,Wang Xi Yan is ex-romantic relationships with Zhou Mengdang,Wang Xi Yan is extramarital affair with Zhou Mengdang,Zhou Mengdang is employee of Wang Xi Yan,,d
c,a,姐夫【Zhou Mengdang】和【Bao Liu】的关系是什么？,Bao Liu is wife of Zhou Mengdang,Zhou Mengdang is Bao Liu's victim's family,Zhou Mengdang is child of Bao Liu,Zhou Mengdang is future son in law of Bao Liu,,a
c,a,【Cui Yannan】和【Yu Sunian】不存在的关系是什么？,Yu Sunian is friend of Cui Yannan,Yu Sunian is lover of Cui Yannan,Yu Sunian is teacher of Cui Yannan,Cui Yannan is Yu Sunian's enemy's family,,d
c,a,【Cui Yannan】和【Wang Xi Yan】的关系是什么？,Wang Xi Yan is aunt and step-mother of Cui Yannan,Cui Yannan is mentor and quest companion of Wang Xi Yan,Cui Yannan is quest companion and employer of Wang Xi Yan,Cui Yannan is employer and guard of Wang Xi Yan,,a
c,a,【Cui Yannan】和【Bao Gan】的关系是什么？,Bao Gan is servant and friend of Cui Yannan,Cui Yannan is granddaughter and grandchild of Bao Gan,Cui Yannan is grandchild and fiance of Bao Gan,Cui Yannan is fiance and lover of Bao Gan,,a
