value,type,question,a,b,c,d,e,truth
a,a,Liu Qi被谁杀死的？,Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Singer Lin,Captain Hong,,a
b,a,Liu Qi是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,用枪打死的,,d
b,a,凶手杀Liu Qi的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人Liu Qi什么人？,儿子,父亲,律师,上级,,d
b,a,Liu Qi是在哪里被杀死的？,仓库里,在岸上,甲板上,河边,,a
b,a,Liu Qi是什么时候被杀死的？,20 点烟花开始之后,20 点烟花开始之前,在凌晨,在白天,,a
b,b,请选出你最怀疑杀死Liu Qi的两个人,Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Singer Lin,Captain Hong,,c
c,a,【Manager Xiu】和【Liu Qi】不存在的关系是什么？,Liu Qi is victim of Manager Xiu,Liu Qi is classmate of Manager Xiu,Liu Qi is colleague of Manager Xiu,Manager Xiu is step-daughter of Liu Qi,,d
c,a,【Manager Xiu】和【Han Chengwu (Han the Attendant or Han the Crew Member)】的关系是什么？,Han Chengwu (Han the Attendant or Han the Crew Member) is friend and fondness of Manager Xiu,Manager Xiu is brother and minion of Han Chengwu (Han the Attendant or Han the Crew Member),Manager Xiu is minion and disliked by x of Han Chengwu (Han the Attendant or Han the Crew Member),Manager Xiu is disliked by x and nephew of Han Chengwu (Han the Attendant or Han the Crew Member),,a
c,a,【Manager Xiu】和【Captain Hong】的关系是什么？,Captain Hong is acquaintance of Manager Xiu,Manager Xiu is ex-husband of Captain Hong,Manager Xiu is liked by Captain Hong,Manager Xiu is betrayed by Captain Hong,,a
c,a,【Liu Qi】和【Manager Xiu】不存在的关系是什么？,Manager Xiu is murderer of Liu Qi,Manager Xiu is classmate of Liu Qi,Manager Xiu is colleague of Liu Qi,Liu Qi is secret crush of Manager Xiu,,d
c,a,【Liu Qi】和【Zhang Erfu (Second Officer Zhang or Zhang the Second Mate)】不存在的关系是什么？,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is bully of Liu Qi,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is subordinate of Liu Qi,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is dislike of Liu Qi,Liu Qi is mother in law of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),,d
c,a,【Liu Qi】和【Singer Lin】的关系是什么？,Singer Lin is secret admirer and fondness of Liu Qi,Liu Qi is in the lawsuit against x and twin sister of Singer Lin,Liu Qi is twin sister and half sister of Singer Lin,Liu Qi is half sister and aunt of Singer Lin,,a
c,a,【Zhang Erfu (Second Officer Zhang or Zhang the Second Mate)】和【Liu Qi】不存在的关系是什么？,Liu Qi is acquaintance of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Liu Qi is dislike of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Liu Qi is superior of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is mother of Liu Qi,,d
c,a,【Zhang Erfu (Second Officer Zhang or Zhang the Second Mate)】和【Captain Hong】的关系是什么？,Captain Hong is acquaintance and dislike of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is nephew and sister in law of Captain Hong,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is sister in law and adoptive son of Captain Hong,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is adoptive son and cousin of Captain Hong,,a
c,a,【Zhang Erfu (Second Officer Zhang or Zhang the Second Mate)】和【Manager Xiu】的关系是什么？,Manager Xiu is acquaintance of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is future father in law of Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is possibly family of Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is adoptive mother of Manager Xiu,,a
c,a,【Singer Lin】和【Liu Qi】的关系是什么？,Liu Qi is helper and fondness of Singer Lin,Singer Lin is business partner and daughter of Liu Qi,Singer Lin is daughter and relative of Liu Qi,Singer Lin is relative and unsuccessful helper of Liu Qi,,a
c,a,【Singer Lin】和【Manager Xiu】的关系是什么？,Manager Xiu is superior of Singer Lin,Singer Lin is perpetrator of Manager Xiu,Singer Lin is possibly family of Manager Xiu,Singer Lin is boyfriend of Manager Xiu,,a
c,a,【Singer Lin】和【Zhang Erfu (Second Officer Zhang or Zhang the Second Mate)】的关系是什么？,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is acquaintance of Singer Lin,Singer Lin is future daughter in law of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Singer Lin is creditor of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Singer Lin is adoptive mother of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),,a
a,a,Liu Qi被谁杀死的？,Manager Xiu,Singer Lin,Captain Hong,Han Chengwu (Han the Attendant or Han the Crew Member),,a
b,a,Liu Qi是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,用枪打死的,,d
b,a,凶手杀Liu Qi的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人Liu Qi什么人？,儿子,父亲,律师,上级,,d
b,a,Liu Qi是在哪里被杀死的？,仓库里,在岸上,甲板上,河边,,a
b,a,Liu Qi是什么时候被杀死的？,20 点烟花开始之后,20 点烟花开始之前,在凌晨,在白天,,a
b,b,请选出你最怀疑杀死Liu Qi的两个人,Manager Xiu,Singer Lin,Captain Hong,Han Chengwu (Han the Attendant or Han the Crew Member),,c
