value,type,question,a,b,c,d,e,truth
a,a,赵老爷【Zhao Wanlei】被谁杀死的？,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,,a
b,a,赵老爷【Zhao Wanlei】是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被毒药毒死的,,d
b,a,凶手杀赵老爷【Zhao Wanlei】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人赵老爷【Zhao Wanlei】什么人？,仇人,徒弟,下属,陌生人,,c
b,a,赵老爷【Zhao Wanlei】是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城的绸缎铺里,汉阳的兵工厂,Zhao Wanlei的卧室里,,d
b,b,请选出你最怀疑杀死赵老爷【Zhao Wanlei】的两个人,Ren Shifu,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,a
b,a,谁是【Zhao Wei】的亲生父亲？,Zhao Wanlei,Guo Wangshan,Feng Shuangji,光绪皇帝,,a
b,a,谁是【Zhao Luoyi】的亲生父亲？,Zhao Wanlei,Guo Wangshan,Feng Shuangji,光绪皇帝,,c
b,a,谁在帮助黑狼会做一些隐秘的生意？,Zhao Wanlei,Guo Wangshan,Feng Shuangji,Zhao Wei,,c
b,a,年轻人【Yin Shaoming】是什么人？,黑狼会的人,误以为Zhao Luoyi被绑架了，不放心而跟过来的热心人,Feng Shuangji的表外甥,Zhao Wanlei的下属,,c
b,a,年轻人【Yin Shaoming】和冯总管【Feng Shuangji】是什么关系？,Yin Shaoming是Feng Shuangji的女婿,Yin Shaoming和Feng Shuangji是陌生人,Yin Shaoming的外公是Feng Shuangji的师父,Yin Shaoming和Feng Shuangji都是黑狼会的人,,c
b,a,【Zhao Qiuer】和护院总管【Qi Yue】实际上是什么关系？,兄妹,仇人,徒弟,朋友,,a
b,a,【Zhao Qiuer】和赵老爷【Zhao Wanlei】实际上是什么关系？,【Zhao Qiuer】单方面喜欢赵老爷【Zhao Wanlei】,赵老爷【Zhao Wanlei】单方面喜欢【Zhao Qiuer】,赵老爷【Zhao Wanlei】只是开玩笑要娶【Zhao Qiuer】,赵老爷【Zhao Wanlei】和【Zhao Qiuer】两情相悦,,d
c,a,年轻人【Yin Shaoming】和【Zhao Luoyi】的关系是什么？,Zhao Luoyi is seeker of help from x and secret admirer of Yin Shaoming,Yin Shaoming is rebellion against x and niece of Zhao Luoyi,Yin Shaoming is niece and rival of Zhao Luoyi,Yin Shaoming is rival and biological father of Zhao Luoyi,,a
c,a,年轻人【Yin Shaoming】和【Yu Beichen】的关系是什么？,Yu Beichen is father of Yin Shaoming,Yin Shaoming is crime partner of Yu Beichen,Yin Shaoming is manipulator of Yu Beichen,Yin Shaoming is victim of Yu Beichen,,a
c,a,年轻人【Yin Shaoming】和【Ren】的关系是什么？,Ren is mother of Yin Shaoming,Yin Shaoming is girlfriend of Ren,Yin Shaoming is betrayed by Ren,Yin Shaoming is murderer of Ren,,a
c,a,赵老爷【Zhao Wanlei】和冯总管【Feng Shuangji】不存在的关系是什么？,Feng Shuangji is schoolmate of Zhao Wanlei,Feng Shuangji is servant of Zhao Wanlei,Feng Shuangji is employee of Zhao Wanlei,Zhao Wanlei is daughter in law of Feng Shuangji,,d
c,a,赵老爷【Zhao Wanlei】和【Guo Wangshan】不存在的关系是什么？,Guo Wangshan is Business Partner of X,Guo Wangshan is Attempted Murderer of X,Guo Wangshan is Perpetrator of X's family,Zhao Wanlei is schoolmate of Guo Wangshan,,d
c,a,赵老爷【Zhao Wanlei】和护院总管【Qi Yue】不存在的关系是什么？,Qi Yue is employee of Zhao Wanlei,Qi Yue is servant of Zhao Wanlei,Qi Yue is Perpetrator of X's family,Zhao Wanlei is father of Qi Yue,,d
c,a,护院总管【Qi Yue】和【Shuang Mian Hu】不存在的关系是什么？,Shuang Mian Hu is manipulator of Qi Yue,Shuang Mian Hu is adversary of Qi Yue,Shuang Mian Hu is employer of Qi Yue,Qi Yue is step-father of Shuang Mian Hu,,d
c,a,护院总管【Qi Yue】和赵老爷【Zhao Wanlei】不存在的关系是什么？,Zhao Wanlei is employer of Qi Yue,Zhao Wanlei is master of Qi Yue,Zhao Wanlei is Qi Yue's victim's family,Qi Yue is twin sister of Zhao Wanlei,,d
c,a,护院总管【Qi Yue】和冯总管【Feng Shuangji】的关系是什么？,Feng Shuangji is colleague and x's victim's family of Qi Yue,Qi Yue is adoptive sister and admired by x of Feng Shuangji,Qi Yue is admired by x and son in law of Feng Shuangji,Qi Yue is son in law and friend of Feng Shuangji,,a
