value,type,question,a,b,c,d,e,truth
a,a,Who killed Hans Li Morette?,Gale Li Morette,Nurse head [Sylvia Costa],Drake Li Morette,Frank Bijeli,,a
b,a,How did Hans Li Morette die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What was the motive behind the killer killing Hans Li Morette?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim, Hans Li Morette. Who is that?",Enemies,colleague,friend,wife,,d
b,a,Where was Hans Li Morette killed?,emergency room,Johnson Family,laboratory,dressing room,,c
b,a,When was Hans Li Morette killed?,This afternoon from 5:00 to 5:30,This afternoon from 6:30 to 7:00,Tonight from 7:00 to 7:30,This morning from 6:30 to 7:00,,b
b,b,Please select the two people you most suspect of killing Hans Li Morette,Gale Li Morette,Nurse head [Sylvia Costa],Drake Li Morette,Frank Bijeli,,a
b,a,What is the true identity of the intern Elaine Carter?,Organ traffickers,Undercover Police Regular Intern,Kidnappers,,b,
b,a,What is the true identity of Drake Li Morette?,Organ traffickers,Undercover Cop ,Hans Li Morette disguised himself as,Kidnappers,,c
b,a,What was not done by Frank Bijeli?,murder,Stealing files,Fraud,When Father Tom's request,,a
b,a,What is Tony Bijeli's true identity?,Kidnappers,Killer,Undercover Cop ,patient,,a
b,a,What was not done by Richard Berkeley?,Appropriating hospital funds as allowances,Hiring someone to steal documents,Participate in organ trafficking,Hiring someone to burn down Drake's house,,c
b,a,What is Father Tom's true identity?,Kidnappers,Killer,A big scammer with a strong desire,People with special abilities,,c
c,a,What is the non-existent relationship between Elaine Carter and Dr. Paloski?,Elaine Carter is mentor of Dr. Paloski,Elaine Carter is colleague of Dr. Paloski,Elaine Carter is subject of investigation for Dr. Paloski,Elaine Carter is step-sister of Dr. Paloski,,d
c,a,What is the relationship between Elaine Carter and James Lai Li?,Elaine Carter is suspected by x and subject of investigation for x of James Lai Li,Elaine Carter is cousin and employer of James Lai Li,Elaine Carter is employer and student of James Lai Li,Elaine Carter is student and grandson of James Lai Li,,a
c,a,What is the relationship between Elaine Carter and Hans Li Morette?,Elaine Carter is colleague and subject of investigation for x of Hans Li Morette,Elaine Carter is informant and ex-romantic relationships with x of Hans Li Morette,Elaine Carter is ex-romantic relationships with x and classmate of Hans Li Morette,Elaine Carter is classmate and brother of Hans Li Morette,,a
c,a,What is the relationship between Elaine Carter and Drake Li Morette?,Elaine Carter is colleague and subject of investigation for x of Drake Li Morette,Elaine Carter is step-father and son of Drake Li Morette,Elaine Carter is son and future son in law of Drake Li Morette,Elaine Carter is future son in law and adoptive brother of Drake Li Morette,,a
c,a,What is the relationship between Elaine Carter and Sylvia Costa?,Elaine Carter is colleague and subject of investigation for x of Sylvia Costa,Elaine Carter is co-wives and future son in law of Sylvia Costa,Elaine Carter is future son in law and future daughter in law of Sylvia Costa,Elaine Carter is future daughter in law and informant of Sylvia Costa,,a
c,a,What is the relationship between Tony and Frank Bijeli?,Tony is brother of Frank Bijeli,Tony is buyer of Frank Bijeli,Tony is manipulator of Frank Bijeli,Tony is adversary of Frank Bijeli,,a
