value,type,question,a,b,c,d,e,truth
a,a,Who killed Li Yu?,Ren Shifu,Zhao Wanlei,Li Yu,Guo Wangshan instructed Qi Yue,,d
b,a,How did Li Yu die?,Shot to death,Beaten to death with a fist,Killed by explosives,Strangled by a belt,,c
b,a,What is the motive behind the killer killing Li Yu?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim, Li Yu. Who is that?",Enemies,Apprentice,friend,stranger,,d
b,a,Where was Li Yu killed?,In the manor of Jiaoshangfeng outside Zezhou Prefecture,In the silk shops of the county town,The Arsenal in Hanyang,In Zhao Wanlei's bedroom,,b
b,a,When was Li Yu killed?,In the early winter of the 26th year of Guangxu reign (1900),"In the 21st year of the Guangxu reign (1895), the 24th day of the second lunar month",In the third year of Xuantong (1911),today,,a
b,b,Please select the two people you most suspect of killing Li Yu,Ren Shifu,Zhao Wanlei,Li Yu,Guo Wangshan instructed Qi Yue,,d
a,a,Who killed Zhao Wanlei?,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,,a
b,a,How did Zhao Wanlei die?,Shot to death,Beaten to death with a fist,Killed by explosives,Poisoned to death by poison,,d
b,a,What is the motive behind the killer killing Zhao Wanlei?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,The perpetrator is the victim [Zhao Wanlei]. Who is it?,Enemies,Apprentice,subordinate,stranger,,c
b,a,Where was Zhao Wanlei killed?,In the manor of Jiaoshangfeng outside Zezhou Prefecture,In the silk shops of the county town,The Arsenal in Hanyang,In Zhao Wanlei's bedroom,,d
b,b,Please select the two people you most suspect of killing Zhao Wanlei,Ren Shifu,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,a
b,a,How did the woman Zhao Luoyi fall into the hands of the Black Wolf Society?,The members of the Black Wolf Society kidnapped Zhao Luoyi as a threat to Zhao Wanlei,Zhao Luoyi was arrested by the police for promoting gender equality,Zhao Luoyi was mistakenly arrested by the police for accidentally entering a murderer's villa while promoting gender equality,Zhao Luoyi is a member of the Black Wolf Society,,c
b,a,What is the truth about kidnapping Zhao Luoyi?,"Zhao Luoyi was not kidnapped, she took her subordinates on a trip by herself","""Zhao Luoyi was not kidnapped, it was Feng Shuangji who sent someone to pick him up and take him home.""",Zhao Luoyi pretended to be kidnapped in order to break free from Zhao Wanlei's control,Zhao Luoyi was kidnapped by members of the Black Wolf Society as a threat to Zhao Wanlei,,b
b,a,Who is the biological father of the woman Zhao Luoyi?,Zhao Wanlei,Guo Wangshan,Feng Shuangji,Emperor Guangxu,,c
b,a,Who is helping Black Wolf do some secretive business?,Zhao Wanlei,Guo Wangshan,Feng Shuangji,Zhao Wei,,c
b,a,"What is your relationship with Feng Shuangji, Yin Shaoming?",Yin Shaoming is Feng Shuangji's son-in-law,Yin Shaoming and Feng Shuangji are strangers,Yin Shaoming's grandfather is Feng Shuangji's master,Yin Shaoming and Feng Shuangji are both members of the Black Wolf Society,,c
b,a,What is the actual relationship between Zhao Qiu and Qi Yue?,Siblings,Enemies,Apprentice,Father and daughter,,a
b,a,What is the actual relationship between Zhao Qiu and Zhao Wanlei?,【 Zhao Qiu 】 Unilateral liking 【 Zhao Wanlei 】,【 Zhao Wanlei 】 Unilateral liking 【 Zhao Qiu 】,Zhao Wanlei is just joking about marrying Zhao Qiu,Zhao Wanlei and Zhao Qiu fell in love with each other,,d
b,a,Who is Shuang Mian Hu?,Qi Yue,Zhao Wanlei,Guo Wangshan,Liao Laoban,,c
b,a,Have you ever seen Guo Wangshan?,I haven't seen it before,"Yes, I have seen him. He is my grandfather's disciple and works for the Liao family business",I have seen it. It was one of the people who kidnapped Zhao Luoyi,"Yes, it's from Danshui Villa",,b
b,a,What is the purpose of coming to Danshui Mountain Villa?,Destroy the Zhao family,Discussing business with Zhao Wanlei,Propose to Zhao Wanlei,Find out the truth about the bombing case back then,,a
c,a,What is the non-existent relationship between Feng Shuangji and Zhao Wanlei?,Zhao Wanlei is victim of Feng Shuangji,Zhao Wanlei is schoolmate of Feng Shuangji,Zhao Wanlei is employer of Feng Shuangji,Feng Shuangji is biological mother of Zhao Wanlei,,d
c,a,What is the relationship between Feng Shuangji and Ren Shifu?,Ren Shifu is mentor and adoptive father of Feng Shuangji,Feng Shuangji is deceiver and suspicious of Ren Shifu,Feng Shuangji is suspicious and seller of Ren Shifu,Feng Shuangji is seller and co-wives of Ren Shifu,,a
c,a,What is the relationship between Feng Shuangji and Zhao Wei?,Zhao Wei is helped by x and master of Feng Shuangji,Feng Shuangji is brother and x's victim's family of Zhao Wei,Feng Shuangji is x's victim's family and ex-boyfriend of Zhao Wei,Feng Shuangji is ex-boyfriend and deceived by x of Zhao Wei,,a
c,a,What is the relationship between the woman Zhao Luoyi and Qi Yue?,Qi Yue is servant and x's victim's family of Zhao Luoyi,Zhao Luoyi is co-wives and brother in law of Qi Yue,Zhao Luoyi is brother in law and twin sister of Qi Yue,Zhao Luoyi is twin sister and ex-romantic relationships with x of Qi Yue,,a
c,a,What is the relationship between the woman Zhao Luoyi and Feng Shuangji?,Feng Shuangji is father of Zhao Luoyi,Zhao Luoyi is ex-wife of Feng Shuangji,Zhao Luoyi is sworn brother of Feng Shuangji,Zhao Luoyi is helper of Feng Shuangji,,a
c,a,What is the relationship between the woman Zhao Luoyi and Li Yu?,Li Yu is mother of Zhao Luoyi,Zhao Luoyi is messenger of Li Yu,Zhao Luoyi is secret lover of Li Yu,Zhao Luoyi is perpetrator of Li Yu,,a
