value,type,question,a,b,c,d,e,truth
a,a,【Lin Weiren】被谁杀死的？,Lin Xi,Lin Yang,Su Yang,Shen Cheng,,c
b,a,【Lin Weiren】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Lin Weiren】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Lin Weiren】什么人？,儿子,父亲,律师,上级,,d
b,a,【Lin Weiren】是在哪里被杀死的？,书房,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【Lin Weiren】的两个人,Lin Xi,Lin Yang,Su Yang,Shen Cheng,Gu Yu,c
a,a,【Gu Minghe】被谁杀死的？,Lin Xi,Lin Xi,Su Yang,Shen Cheng,,b
b,a,【Gu Minghe】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Gu Minghe】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Gu Minghe】什么人？,儿子,父亲,律师,仇人,,d
b,a,【Gu Minghe】是在哪里被杀死的？,办公大楼,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【Gu Minghe】的两个人,Lin Xi,Lin Yang,Su Yang,Shen Cheng,Lin Xi,e
c,a,【Lin Weiren】和【Shen Cheng】不存在的关系是什么？,Shen Cheng is employee of Lin Weiren,Shen Cheng is hate of Lin Weiren,Shen Cheng is servant of Lin Weiren,Lin Weiren is concubine of Shen Cheng,,d
c,a,【Lin Weiren】和【Su Yang】不存在的关系是什么？,Su Yang is student of Lin Weiren,Su Yang is dislike of Lin Weiren,Su Yang is hate of Lin Weiren,Lin Weiren is son of Su Yang,,d
c,a,【Lin Weiren】和【Lin Yang】的关系是什么？,Lin Yang is son and adoptive son of Lin Weiren,Lin Weiren is helped by x and superior of Lin Yang,Lin Weiren is superior and killed by x of Lin Yang,Lin Weiren is killed by x and employer of Lin Yang,,a
c,a,【Chen Jingwen】和【Lin Xi】的关系是什么？,Lin Xi is acquaintance and rival in love of Chen Jingwen,Chen Jingwen is sibling and child of Lin Xi,Chen Jingwen is child and grandson of Lin Xi,Chen Jingwen is grandson and master of Lin Xi,,a
c,a,【Chen Jingwen】和【Gu Yu】的关系是什么？,Gu Yu is romantic relationships with Chen Jingwen,Chen Jingwen is service provider of Gu Yu,Chen Jingwen is attempted perpetrator of Gu Yu,Chen Jingwen is future son in law of Gu Yu,,a
c,a,【Chen Jingwen】和【Zheng Xinmei】的关系是什么？,Zheng Xinmei is mother of Chen Jingwen,Chen Jingwen is suspected by Zheng Xinmei,Chen Jingwen is patient of Zheng Xinmei,Chen Jingwen is ex-romantic relationships with Zheng Xinmei,,a
c,a,【Gu Minghe】和【Gu Yu】的关系是什么？,Gu Yu is subordinate and son of Gu Minghe,Gu Minghe is extramarital affair with x and disliked by x of Gu Yu,Gu Minghe is disliked by x and victim of Gu Yu,Gu Minghe is victim and deceived by x of Gu Yu,,a
c,a,【Gu Minghe】和【Shen Cheng】的关系是什么？,Shen Cheng is hate of Gu Minghe,Gu Minghe is crime partner of Shen Cheng,Gu Minghe is saviour of Shen Cheng,Gu Minghe is schoolmate of Shen Cheng,,a
c,a,【Gu Minghe】和【Gu Qing】的关系是什么？,Gu Qing is daughter of Gu Minghe,Gu Minghe is betrayed by Gu Qing,Gu Minghe is rebellion against Gu Qing,Gu Minghe is tour guide of Gu Qing,,a
