value,type,question,a,b,c,d,e,truth
a,a,Who killed Lv Mingran?,Shang Zhi,Hai You,Mrs. Wei,Cheng Ge,,a
b,a,How did Lv Mingran die?,Hanged under anesthesia,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What is the motive behind the killer killing Lv Mingran?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim, Lv Mingran. Who is that?",Cooperative relationship,father,uncle,lawyer,,a
b,a,Where was Lv Mingran killed?,Above the lobby on the first floor,On the rooftop,On the mountain,Riverside,,a
b,a,When was Lv Mingran killed?,Around 10 o'clock on September 28th,Around 9 o'clock on September 28th,September 25th,September 24th,,a
b,b,Please select the two people you most suspect of killing Lv Mingran,Shang Zhi,Hai You,Cheng Ge,Mrs. Wei,Liao Gongzi,a
a,a,Who killed A masked female corpse?,Shang Zhi,Hai You,Mrs. Wei,Cheng Ge,,a
a,a,Who is A masked female corpse?,Hong Er,servant,Dr. Zhan,Julie,,a
b,a,How did A masked female corpse die?,Killed with a gun,Beaten to death with a fist,Strangled with a rope,Drowned by water,,c
b,a,What is the motive behind the killer killing A masked female corpse?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,What person is the perpetrator a masked female corpse?,Childhood acquaintances,mother,lawyer,doctor,,a
b,a,Where was A masked female corpse killed?,Liao Gongzi Room,Storage room,Riverside,On the mountain,,a
b,a,When was A masked female corpse killed?,Around 9 o'clock on September 28th,September 25th,September 24th,October,,a
b,b,Please select the two people you most suspect of killing A masked female corpse,Shang Zhi,Liao Gongzi,Mrs. Wei,Hai You,Cheng Ge,a
a,a,Who killed Tan Renchang?,Liao Gongzi,Hai You,Mrs. Wei,Cheng Ge,,a
b,a,How did Tan Renchang die?,Killed with a gun,Beaten to death with a fist,Killed with stones,Drowned by water,,c
b,a,What was the motive behind the killer killing Tan Renchang?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim Tan Renchang. Who is that?,Enemies,mother,lawyer,doctor,,a
b,a,Where was Tan Renchang killed?,Southern courtyard,on board,Riverside,On the mountain,,a
b,a,When was Tan Renchang killed?,Southern courtyard,on board,Riverside,On the mountain,,a
b,b,Please select the two people you most suspect of killing Tan Renchang,Liao Gongzi,Cheng Ge,Mrs. Wei,Hai You,Shang Zhi,a
b,b,Is Cheng Ge the son of Xinya?,"No, it's a fake",It's my biological son,,,b,
b,a,What is the true relationship between Shang Zhi and Zina?,Shang Zhi likes Zina and helps her repay her debts,Shang Zhi is utilizing Zina,Shang Zhi and Zina have nothing to do with each other,Shang Zhi and Zina are siblings,,a
b,b,What is the truth about Lv Mingran's dismissal?,"Utilized by Liao Gongzi, the dock designed to seize the ""Far Hennessy"" was seized and a large amount of money was owed",Because Lv Mingran doesn't want to do it anymore,Because Lv Mingran is too old to retire,Because Lv Mingran died unexpectedly,,a
