value,type,question,a,b,c,d,e,truth
a,a,【吕名然】被谁杀死的？,承格,谭太太,韦太太,海悠,,a
b,a,【吕名然】是怎么死的？,用麻醉药麻醉后吊死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【吕名然】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【吕名然】什么人？,合作关系,父亲,舅舅,律师,,a
b,a,【吕名然】是在哪里被杀死的？,一层大厅上方,在楼顶,山上,河边,,a
b,a,【吕名然】是什么时候被杀死的？,9.28号10点左右,9.28号9点左右,9.25号,9.24号,,a
b,b,请选出你最怀疑杀死【吕名然】的两个人,承格,谭太太,海悠,韦太太,廖公子,a
a,a,【戴面具的女尸】被谁杀死的？,承格,谭太太,韦太太,海悠,,a
a,a,【戴面具的女尸】是谁？,红儿,仆人,张医师,茱丽,,a
b,a,【戴面具的女尸】是怎么死的？,用枪杀死的,被拳头打死的,用绳子勒死的,被水淹死的,,c
b,a,凶手杀【戴面具的女尸】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【戴面具的女尸】什么人？,小时候熟人,母亲,律师,医生,,a
b,a,【戴面具的女尸】是在哪里被杀死的？,廖公子房,储物室,河边,山上,,a
b,a,【戴面具的女尸】是什么时候被杀死的？,9.28号9点左右,9.25号,9.24号,10月,,a
b,b,请选出你最怀疑杀死【戴面具的女尸】的两个人,承格,廖公子,韦太太,谭太太,海悠,a
a,a,【谭仁昌】被谁杀死的？,廖公子,谭太太,韦太太,海悠,,a
b,a,【谭仁昌】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀【谭仁昌】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【谭仁昌】什么人？,仇人,母亲,律师,医生,,a
b,a,【谭仁昌】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,a,【谭仁昌】是什么时候被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死【谭仁昌】的两个人,廖公子,海悠,韦太太,谭太太,承格,a
b,b,【吕名然】被撤职的真相是什么？,被【廖公子】利用，被夺取了设计夺取“远亨罗氏”的码头并欠了一大笔钱,因为【吕名然】不想做了,因为【吕名然】岁数太大退休了,因为【吕名然】意外死亡,,a
b,b,【承格】是【欣雅】的儿子吗？,不是，是冒充的,是亲生儿子,,,b
c,a,【吕名然】和【承格】不存在的关系是什么？,承格 is murderer of 吕名然,承格 is acquaintance of 吕名然,承格 is employee of 吕名然,吕名然 is biological daughter of 承格,,d
c,a,【吕名然】和【罗亨理】的关系是什么？,罗亨理 is superior and acquaintance of 吕名然,吕名然 is victim and sister of 罗亨理,吕名然 is sister and biological son of 罗亨理,吕名然 is biological son and dislike of 罗亨理,,a
c,a,【吕名然】和【谭仁昌】的关系是什么？,谭仁昌 is employer and acquaintance of 吕名然,吕名然 is step-sister and adoptive sister of 谭仁昌,吕名然 is adoptive sister and aunt of 谭仁昌,吕名然 is aunt and step-mother of 谭仁昌,,a
c,a,【紫娜】和【谭尚致】的关系是什么？,谭尚致 is romantic relationships with 紫娜,紫娜 is sister of 谭尚致,紫娜 is informant of 谭尚致,紫娜 is colleague of 谭尚致,,a
c,a,【红儿】和【廖雪寒】不存在的关系是什么？,廖雪寒 is manipulator of 红儿,廖雪寒 is creditor of 红儿,廖雪寒 is helper of 红儿,红儿 is ex-wife of 廖雪寒,,d
c,a,【红儿】和【承格】的关系是什么？,承格 is murderer of 红儿,红儿 is helper of 承格,红儿 is friend of 承格,红儿 is tour guide of 承格,,a
c,a,【红儿】和【欣雅】的关系是什么？,欣雅 is mother of 红儿,红儿 is co-wives of 欣雅,红儿 is sworn brother of 欣雅,红儿 is attempted murderer of 欣雅,,a
c,a,【谭仁昌】和【谭尚致】的关系是什么？,谭尚致 is deceived by x and nephew of 谭仁昌,谭仁昌 is seeker of help from x and ex-girlfriend of 谭尚致,谭仁昌 is ex-girlfriend and friend of 谭尚致,谭仁昌 is friend and helper of 谭尚致,,a
c,a,【谭仁昌】和【吕名然】的关系是什么？,吕名然 is acquaintance and employee of 谭仁昌,谭仁昌 is mother and admirer of 吕名然,谭仁昌 is admirer and adoptive sister of 吕名然,谭仁昌 is adoptive sister and spy of 吕名然,,a
c,a,【谭仁昌】和【承格】的关系是什么？,承格 is adoptive son and deceiver of 谭仁昌,谭仁昌 is teacher and ex-boyfriend of 承格,谭仁昌 is ex-boyfriend and crime partner of 承格,谭仁昌 is crime partner and ex-husband of 承格,,a

