value,type,question,a,b,c,d,e,truth
a,a,父亲【夏伯龙】被谁杀死的？,夏三虎,夏仲鹏,李子材,段和君,,a
b,a,父亲【夏伯龙】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀父亲【夏伯龙】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人父亲【夏伯龙】什么人？,仇人,兄弟,朋友,情人,,b
b,a,父亲【夏伯龙】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死父亲【夏伯龙】的两个人,夏三虎,夏仲鹏,李子材,段和君,,a
a,a,三叔【夏三虎】被谁杀死的？,宇祖成木,夏仲鹏,阿明,段约同,,b
b,a,三叔【夏三虎】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀三叔【夏三虎】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人三叔【夏三虎】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,三叔【夏三虎】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,三叔【夏三虎】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死三叔【夏三虎】的两个人,宇祖成木,夏仲鹏,阿明,段约同,,a
a,a,吴伯伯【吴百安】被谁杀死的？,宇祖成木,阿明,岳东汶,段约同,,b
b,a,吴伯伯【吴百安】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀吴伯伯【吴百安】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人吴伯伯【吴百安】什么人？,仇人,同事,朋友,妻子,,a
b,a,吴伯伯【吴百安】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,吴百安家,,a
b,a,吴伯伯【吴百安】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死吴伯伯【吴百安】的两个人,宇祖成木,阿明,岳东汶,段约同,,a
b,a,哪件事不是父亲【夏伯龙】做的?, 有外遇,常去水轩酒楼买醉,云建打擂击败设擂的数名洋武师,有一个外遇的私生子,,c
b,a,【段约同】的亲生父亲是谁？, 父亲【夏伯龙】,夏仲鹏,夏三虎,李子材,,a
