value,type,question,a,b,c,d,e,truth
a,a,Who killed Boss Yang?,First Mate Zhang,Shipyard Worker Wang,Secretary Wen,,,a
b,a,How did Boss Yang die?,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,Killed with a knife,,b
b,a,What is the motive behind the killer killing Boss Yang?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,"The killer is the victim, Boss Yang. Who is it?",lawyer,relative,Son,Business partners,,d
b,a,Where was Boss Yang killed?,On deck,On the shore,Bar,My own room,,d
b,a,When was Boss Yang killed?,Around 22:10,1:00 AM,10am,8pm,,a
b,b,Please select the two people you most suspect of killing Boss Yang,First Mate Zhang,Shipyard Worker Wang,Secretary Wen,,,a
c,a,What is the relationship between Boss Yang and Ship Doctor Ling that does not exist?,Ship Doctor Ling is business partner of Boss Yang,Ship Doctor Ling is debtor of Boss Yang,Ship Doctor Ling is informant of Boss Yang,Boss Yang is secret lover of Ship Doctor Ling,,d
c,a,What is the relationship between Boss Yang and First Mate Zhang?,First Mate Zhang is business partner and murderer of Boss Yang,Boss Yang is grandson and future mother in law of First Mate Zhang,Boss Yang is future mother in law and step-mother of First Mate Zhang,Boss Yang is step-mother and romantic relationships with x of First Mate Zhang,,a
c,a,What is the relationship between Boss Yang and Very Naive?,Very Naive is employee of Boss Yang,Boss Yang is mother in law of Very Naive,Boss Yang is cousin of Very Naive,Boss Yang is possibly family of Very Naive,,a
c,a,What is the relationship between Shipyard Worker Wang and Ship Doctor Ling?,Ship Doctor Ling is acquaintance and child of Shipyard Worker Wang,Shipyard Worker Wang is ex-boyfriend and enemy of Ship Doctor Ling,Shipyard Worker Wang is enemy and lawyer of Ship Doctor Ling,Shipyard Worker Wang is lawyer and deceiver of Ship Doctor Ling,,a
c,a,What is the relationship between Shipyard Worker Wang and Boss Yang?,Boss Yang is hate and acquaintance of Shipyard Worker Wang,Shipyard Worker Wang is future son in law and possibly family of Boss Yang,Shipyard Worker Wang is possibly family and granddaughter of Boss Yang,Shipyard Worker Wang is granddaughter and admirer of Boss Yang,,a
c,a,What is the relationship between Shipyard Worker Wang and First Mate Zhang?,First Mate Zhang is superior of Shipyard Worker Wang,Shipyard Worker Wang is future mother in law of First Mate Zhang,Shipyard Worker Wang is informant of First Mate Zhang,Shipyard Worker Wang is seeker of help from First Mate Zhang,,a
c,a,What is the relationship between Secret Wen and First Mate Zhang?,First Mate Zhang is acquaintance and business partner of Secretary Wen,Secretary Wen is adoptive son and future son in law of First Mate Zhang,Secretary Wen is future son in law and deceived by x of First Mate Zhang,Secretary Wen is deceived by x and sibling of First Mate Zhang,,a
c,a,What is the relationship between Secret Wen and Ship Doctor Ling?,Ship Doctor Ling is informant and information receiver from x of Secretary Wen,Secretary Wen is son in law and adoptive sister of Ship Doctor Ling,Secretary Wen is adoptive sister and creditor of Ship Doctor Ling,Secretary Wen is creditor and co-wives of Ship Doctor Ling,,a
c,a,What is the relationship between Secret Wen and Very Naive?,Very Naive is victim and colleague of Secretary Wen,Secretary Wen is fiancee and grandfather of Very Naive,Secretary Wen is grandfather and informant of Very Naive,Secretary Wen is informant and seeker of help from x of Very Naive,,a
