value,type,question,a,b,c,d,e,truth
a,a,【汉斯·里莫瑞特】被谁杀死的？,盖尔·里莫瑞特,护士长【西尔维娅·科斯塔】,德雷克·里莫瑞特,弗兰克·比杰利,,a
b,a,【汉斯·里莫瑞特】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【汉斯·里莫瑞特】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【汉斯·里莫瑞特】什么人？,仇人,同事,朋友,妻子,,d
b,a,【汉斯·里莫瑞特】是在哪里被杀死的？,急诊室,约翰逊家,实验室,更衣室,,c
b,a,【汉斯·里莫瑞特】是在何时被杀死的？,今天下午5:00到5:30,今天下午6:30到7:00,今天晚上7:00到7:30,今天早上6:30到7:00,,b
b,b,请选出你最怀疑杀死【汉斯·里莫瑞特】的两个人,盖尔·里莫瑞特,护士长【西尔维娅·科斯塔】,德雷克·里莫瑞特,弗兰克·比杰利,,a
b,a,实习生【依琳·卡特】的真实身份是什么?, 器官贩子,卧底警察 普通实习生,绑匪,,b
b,a,哪件事不是【弗兰克·比杰利】做的?, 杀人,偷取文件,诈骗,当汤姆神父的托,,a
b,a,【弗兰克·比杰利】的真实身份是什么?, 杀人凶手,卧底警察,病人,汤姆神父的托,,d
b,a,哪件事不是【理查德·伯克利】做的?, 挪用医院资金作为津贴,雇人偷取文件,参与器官贩卖,雇人烧毁德雷克的房子,,c
b,a,【神父汤姆】的真实身份是什么?, 绑匪,杀人凶手,有着强烈欲望的大骗子,有特殊能力的人,,c
b,a,护士长【西尔维娅·科斯塔】的真实身份是什么?, 贩卖器官的帮凶,杀人凶手,卧底警察,有特殊能力的人,,a
c,a,【弗兰克·比杰利】和【托尼】的关系是什么？,托尼 is brother of 弗兰克·比杰利,弗兰克·比杰利 is spy of 托尼,弗兰克·比杰利 is murderer of 托尼,弗兰克·比杰利 is customer of 托尼,,a
c,a,【弗兰克·比杰利】和【神父汤姆】的关系是什么？,神父汤姆 is employer of 弗兰克·比杰利,弗兰克·比杰利 is perpetrator of 神父汤姆,弗兰克·比杰利 is suspicious of 神父汤姆,弗兰克·比杰利 is fiance of 神父汤姆,,a
c,a,【弗兰克·比杰利】和【德雷克·里莫瑞特】的关系是什么？,德雷克·里莫瑞特 is doctor of 弗兰克·比杰利,弗兰克·比杰利 is adversary of 德雷克·里莫瑞特,弗兰克·比杰利 is seeker of help from 德雷克·里莫瑞特,弗兰克·比杰利 is future relative of 德雷克·里莫瑞特,,a
c,a,【神父汤姆】和【托尼】的关系是什么？,托尼 is manipulated by x and deceived by x of 神父汤姆,神父汤姆 is authority over x and student of 托尼,神父汤姆 is student and ex-girlfriend of 托尼,神父汤姆 is ex-girlfriend and admired by x of 托尼,,a
c,a,【神父汤姆】和【弗兰克·比杰利】的关系是什么？,弗兰克·比杰利 is employee of 神父汤姆,神父汤姆 is father in law of 弗兰克·比杰利,神父汤姆 is bully of 弗兰克·比杰利,神父汤姆 is adoptive daughter of 弗兰克·比杰利,,a
c,a,【神父汤姆】和【德雷克·里莫瑞特】的关系是什么？,德雷克·里莫瑞特 is doctor of 神父汤姆,神父汤姆 is helped by 德雷克·里莫瑞特,神父汤姆 is step-brother of 德雷克·里莫瑞特,神父汤姆 is hate of 德雷克·里莫瑞特,,a
