value,type,question,a,b,c,d,e,truth
a,a,【Hans Li Morette】被谁杀死的？,Gale Li Morette,护士长【Sylvia Costa】,Drake Li Morette,Frank Bijeli,,a
b,a,【Hans Li Morette】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Hans Li Morette】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Hans Li Morette】什么人？,仇人,同事,朋友,妻子,,d
b,a,【Hans Li Morette】是在哪里被杀死的？,急诊室,约翰逊家,实验室,更衣室,,c
b,a,【Hans Li Morette】是在何时被杀死的？,今天下午5:00到5:30,今天下午6:30到7:00,今天晚上7:00到7:30,今天早上6:30到7:00,,b
b,b,请选出你最怀疑杀死【Hans Li Morette】的两个人,Gale Li Morette,护士长【Sylvia Costa】,Drake Li Morette,Frank Bijeli,,a
b,a,实习生【Elaine Carter】的真实身份是什么?, 器官贩子,卧底警察 普通实习生,绑匪,,b,
b,a,【Drake Li Morette】的真实身份是什么?, 器官贩子,卧底警察,Hans Li Morette假扮的,绑匪,,c
b,a,哪件事不是【Frank Bijeli】做的?, 杀人,偷取文件,诈骗,当汤姆神父的托,,a
b,a,【Tony Bijeli】的真实身份是什么?, 绑匪,杀人凶手,卧底警察,病人,,a
b,a,哪件事不是【Richard Berkeley】做的?, 挪用医院资金作为津贴,雇人偷取文件,参与器官贩卖,雇人烧毁德雷克的房子,,c
b,a,【Father Tom】的真实身份是什么?, 绑匪,杀人凶手,有着强烈欲望的大骗子,有特殊能力的人,,c
c,a,【Elaine Carter】和【Dr. Paloski】不存在的关系是什么？,Elaine Carter is mentor of Dr. Paloski,Elaine Carter is colleague of Dr. Paloski,Elaine Carter is subject of investigation for Dr. Paloski,Elaine Carter is step-sister of Dr. Paloski,,d
c,a,【Elaine Carter】和【James Lai Li】的关系是什么？,Elaine Carter is suspected by x and subject of investigation for x of James Lai Li,Elaine Carter is cousin and employer of James Lai Li,Elaine Carter is employer and student of James Lai Li,Elaine Carter is student and grandson of James Lai Li,,a
c,a,【Elaine Carter】和【Hans Li Morette】的关系是什么？,Elaine Carter is colleague and subject of investigation for x of Hans Li Morette,Elaine Carter is informant and ex-romantic relationships with x of Hans Li Morette,Elaine Carter is ex-romantic relationships with x and classmate of Hans Li Morette,Elaine Carter is classmate and brother of Hans Li Morette,,a
c,a,【Elaine Carter】和【Drake Li Morette】的关系是什么？,Elaine Carter is colleague and subject of investigation for x of Drake Li Morette,Elaine Carter is step-father and son of Drake Li Morette,Elaine Carter is son and future son in law of Drake Li Morette,Elaine Carter is future son in law and adoptive brother of Drake Li Morette,,a
c,a,【Elaine Carter】和【Sylvia Costa】的关系是什么？,Elaine Carter is colleague and subject of investigation for x of Sylvia Costa,Elaine Carter is co-wives and future son in law of Sylvia Costa,Elaine Carter is future son in law and future daughter in law of Sylvia Costa,Elaine Carter is future daughter in law and informant of Sylvia Costa,,a
c,a,【Tony】和【Frank Bijeli】的关系是什么？,Tony is brother of Frank Bijeli,Tony is buyer of Frank Bijeli,Tony is manipulator of Frank Bijeli,Tony is adversary of Frank Bijeli,,a
c,a,【Tony】和【Father Tom】的关系是什么？,Tony is manipulator of Father Tom,Tony is biological daughter of Father Tom,Tony is adoptive sister of Father Tom,Tony is sister in law of Father Tom,,a
c,a,【Tony】和【Tony Bijeli】的关系是什么？,Tony is same person as Tony Bijeli (different reference),Tony is helped by Tony Bijeli,Tony is daughter of Tony Bijeli,Tony is helper of Tony Bijeli,,a
c,a,【Hans Li Morette】和【Andrew Paloski】不存在的关系是什么？,Hans Li Morette is colleague of Andrew Paloski,Hans Li Morette is mentor of Andrew Paloski,Hans Li Morette is jealous of Andrew Paloski,Hans Li Morette is relative of Andrew Paloski,,d
c,a,【Hans Li Morette】和【Sylvia Costa】不存在的关系是什么？,Hans Li Morette is colleague of Sylvia Costa,Hans Li Morette is manipulator of Sylvia Costa,Hans Li Morette is deceiver of Sylvia Costa,Hans Li Morette is co-wives of Sylvia Costa,,d
c,a,【Hans Li Morette】和【Gale Li Morette】不存在的关系是什么？,Hans Li Morette is wife of Gale Li Morette,Hans Li Morette is attempted murderer of Gale Li Morette,Hans Li Morette is betrayer of Gale Li Morette,Hans Li Morette is messenger of Gale Li Morette,,d
