value,type,question,a,b,c,d,e,truth
a,a,Who killed Xia Bolong?,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
b,a,How did Xia Bolong die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,c
b,a,What was the motive behind the killer killing Xia Bolong?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,The perpetrator is the victim Xia Bolong. Who is that?,Enemies,brothers,friend,lover,,b
b,a,Where was Xia Bolong killed?,"Tianji Co., Ltd",My own room,On the arena,Jiashantang Medical Hall,,b
b,b,Please select the two people you most suspect of killing Xia Bolong,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
a,a,Who killed Xia Sanhu?,Yu Zu Chengmu,Xia Zhongpeng,Brother Li,Duan Yuetong,,b
b,a,How did Xia Sanhu die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Strangled by a belt,,d
b,a,What was the motive behind the killer killing Xia Sanhu?,Love killing,Vendetta,interest,To annihilate one's family with great righteousness,,d
b,a,The perpetrator is the victim Xia Sanhu. Who is that?,Enemies,Apprentice,friend,brothers,,d
b,a,Where was Xia Sanhu killed?,"Tianji Co., Ltd",In my own room,On the arena,Jiashantang Medical Hall,,b
b,a,When was Xia Sanhu killed?,Today (August 3rd) from 18:00 to 18:10,Today (August 3rd) from 20:00 to 20:10,July 30th 18:00-18:10,July 20th 20:00-20:10,,a
b,b,Please select the two people you most suspect of killing Xia Sanhu,Yu Zu Chengmu,Xia Zhongpeng,Brother Li,Duan Yuetong,,a
a,a,Who killed Wu Baian?,Yu Zu Chengmu,Brother Li【Aming】,Yue Dongwen,Duan Yuetong,,b
b,a,How did Wu Baian die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,b
b,a,What was the motive behind the killer killing Wu Baian?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,"The perpetrator is the victim, Wu Baian. Who is that?",Enemies,colleague,friend,wife,,a
b,a,Where was Wu Baian killed?,Outside the warehouse,Franci Cake Shop,Quan Guan,Wu Baian's home,,a
b,a,When was Wu Baian killed?,On the evening of July 28th,On the morning of July 29th,On the evening of July 29th,On the morning of July 30th,,c
b,b,Please select the two people you most suspect of killing Wu Baian,Yu Zu Chengmu,Brother Li【Aming】,Yue Dongwen,Duan Yuetong,,a
b,a,What is Mr. Yu Zhu Chengmu?,"Li Zicai's younger brother from the ""Jiashantang"" medical clinic",Japanese businessmen,police,Brother Li's friend,,a
b,a,What is the relationship between Brother Li and Mr. Yu Zu Chengmu?,uncles and nephews,stranger,Enemies,friend,,a
b,a,What is Yue Dongwen hiding?,His company sells fake drugs,"Wu Baian has sold the ""insect killing spirit"" that can cause human death",He is a murderer,He is Duan Yuetong's biological father,,b
c,a,What is the non-existent relationship between Mr. Yu Zhu Chengmu and Xia Sanhu?,Xia Sanhu is schoolmate of Yu Zu Chengmu,Xia Sanhu is friend of Yu Zu Chengmu,Xia Sanhu is deceived by Yu Zu Chengmu,Yu Zu Chengmu is doctor of Xia Sanhu,,d
c,a,What is the non-existent relationship between Mr. Yu Zu Chengmu and Brother Li (Aming)?,Li Luoming is nephew of Yu Zu Chengmu,Li Luoming is manipulator of Yu Zu Chengmu,Li Luoming is quest companion of Yu Zu Chengmu,Yu Zu Chengmu is messenger of Li Luoming,,d
c,a,What is the non-existent relationship between Yu Zu Chengmu and Anqi (you)?,Anqi is helper of Yu Zu Chengmu,Anqi is product provider of Yu Zu Chengmu,Anqi is creditor of Yu Zu Chengmu,Yu Zu Chengmu is boyfriend of Anqi,,d
c,a,What is the non-existent relationship between Brother Li (Aming) and Xia Sanhu?,Xia Sanhu is superior of Li Luoming,Xia Sanhu is manipulated by Li Luoming,Xia Sanhu is deceived by Li Luoming,Li Luoming is co-wives of Xia Sanhu,,d
c,a,What is the non-existent relationship between Brother Li (Aming) and Yu Zu Chengmu?,Yu Zu Chengmu is uncle of Li Luoming,Yu Zu Chengmu is quest companion of Li Luoming,Yu Zu Chengmu is business partner of Li Luoming,Li Luoming is ex-romantic relationships with Yu Zu Chengmu,,d
c,a,What is the non-existent relationship between Brother Li (Aming) and Yue Dongwen?,Yue Dongwen is helper of Li Luoming,Yue Dongwen is employer of Li Luoming,Yue Dongwen is deceiver of Li Luoming,Li Luoming is twin brother of Yue Dongwen,,d
c,a,What is the non-existent relationship between Duan Yuetong and Yue Kesa?,Yue Kesa is friend of Duan Yuetong,Yue Kesa is helper of Duan Yuetong,Yue Kesa is informant of Duan Yuetong,Duan Yuetong is grandfather of Yue Kesa,,d
c,a,What is the relationship between Duan Yuetong and Bai Changgong?,Bai Changgong is step-father and informant of Duan Yuetong,Duan Yuetong is dislike and superior of Bai Changgong,Duan Yuetong is superior and enemy of Bai Changgong,Duan Yuetong is enemy and victim of Bai Changgong,,a
c,a,What is the relationship between Duan Yuetong and Xia Sanhu?,Xia Sanhu is subject of investigation for x and acquaintance of Duan Yuetong,Duan Yuetong is secret crush and son of Xia Sanhu,Duan Yuetong is son and fiancee of Xia Sanhu,Duan Yuetong is fiancee and brother in law of Xia Sanhu,,a
