value,type,question,a,b,c,d,e,truth
a,a,Who killed Hans Li Morette?,Gale Li Morette,Nurse head [Sylvia Costa],Drake Li Morette,Frank Bijeli,,a
b,a,How did Hans Li Morette die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What was the motive behind the killer killing Hans Li Morette?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim, Hans Li Morette. Who is that?",Enemies,colleague,friend,wife,,d
b,a,Where was Hans Li Morette killed?,emergency room,Johnson Family,laboratory,dressing room,,c
b,a,When was Hans Li Morette killed?,This afternoon from 5:00 to 5:30,This afternoon from 6:30 to 7:00,Tonight from 7:00 to 7:30,This morning from 6:30 to 7:00,,b
b,b,Please select the two people you most suspect of killing Hans Li Morette,Gale Li Morette,Nurse head [Sylvia Costa],Drake Li Morette,Frank Bijeli,,a
b,a,What is the true identity of the intern Elaine Carter?,Organ traffickers,Undercover Police Regular Intern,Kidnappers,,,b
b,a,What is the true identity of Drake Li Morette?,Organ traffickers,Undercover Cop ,Hans Li Morette disguised himself as,Kidnappers,,c
b,a,What was not done by Richard Berkeley?,Appropriating hospital funds as allowances,Hiring someone to steal documents,Participate in organ trafficking,Hiring someone to burn down Drake's house,,c
b,a,What is Father Tom's true identity?,Kidnappers,Killer,A big scammer with a strong desire,People with special abilities,,c
b,a,What is the true identity of head nurse Sylvia Costa?,An accomplice in organ trafficking,Killer,Undercover Cop ,People with special abilities,,a
c,a,What is the relationship between Tony and Frank Bijeli?,Frank Bijeli is brother of Tony,Tony is secret admirer of Frank Bijeli,Tony is guest of Frank Bijeli,Tony is saviour of Frank Bijeli,,a
c,a,What is the relationship between Tony and Father Tom?,Father Tom is manipulator of Tony,Tony is seeker of help from Father Tom,Tony is grandmother of Father Tom,Tony is ex-wife of Father Tom,,a
c,a,What is the relationship between Tony and Tony Bijeli?,Tony Bijeli is same person as Tony (different reference),Tony is perpetrator of Tony Bijeli's family,Tony is subordinate of Tony Bijeli,Tony is adoptive sister of Tony Bijeli,,a
c,a,What is the relationship between Richard Berkeley and Andrew Paloski?,Andrew Paloski is subordinate and colleague of Richard Berkeley,Richard Berkeley is nephew and secret crush of Andrew Paloski,Richard Berkeley is secret crush and bully of Andrew Paloski,Richard Berkeley is bully and information receiver from x of Andrew Paloski,,a
c,a,What is the relationship between Richard Berkeley and Sylvia Costa?,Sylvia Costa is subordinate and colleague of Richard Berkeley,Richard Berkeley is guest and classmate of Sylvia Costa,Richard Berkeley is classmate and step-sister of Sylvia Costa,Richard Berkeley is step-sister and hate of Sylvia Costa,,a
c,a,What is the relationship between Richard Berkeley and Drake Li Morette?,Drake Li Morette is subordinate and colleague of Richard Berkeley,Richard Berkeley is bully and admired by x of Drake Li Morette,Richard Berkeley is admired by x and seeker of help from x of Drake Li Morette,Richard Berkeley is seeker of help from x and son in law of Drake Li Morette,,a
