value,type,question,a,b,c,d,e,truth
a,a,【Hans Li Morette】被谁杀死的？,Gale Li Morette,护士长【Sylvia Costa】,Drake Li Morette,Frank Bijeli,,a
b,a,【Hans Li Morette】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Hans Li Morette】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Hans Li Morette】什么人？,仇人,同事,朋友,妻子,,d
b,a,【Hans Li Morette】是在哪里被杀死的？,急诊室,约翰逊家,实验室,更衣室,,c
b,a,【Hans Li Morette】是在何时被杀死的？,今天下午5:00到5:30,今天下午6:30到7:00,今天晚上7:00到7:30,今天早上6:30到7:00,,b
b,b,请选出你最怀疑杀死【Hans Li Morette】的两个人,Gale Li Morette,护士长【Sylvia Costa】,Drake Li Morette,Frank Bijeli,,a
b,a,实习生【Elaine Carter】的真实身份是什么?, 器官贩子,卧底警察 普通实习生,绑匪,,b,
b,a,【Drake Li Morette】的真实身份是什么?, 器官贩子,卧底警察,Hans Li Morette假扮的,绑匪,,c
b,a,哪件事不是【Frank Bijeli】做的?, 杀人,偷取文件,诈骗,当汤姆神父的托,,a
b,a,【Tony Bijeli】的真实身份是什么?, 绑匪,杀人凶手,卧底警察,病人,,a
b,a,哪件事不是【Richard Berkeley】做的?, 挪用医院资金作为津贴,雇人偷取文件,参与器官贩卖,雇人烧毁德雷克的房子,,c
b,a,【Father Tom】的真实身份是什么?, 绑匪,杀人凶手,有着强烈欲望的大骗子,有特殊能力的人,,c
c,a,【Elaine Carter】和【Dr. Paloski】不存在的关系是什么？,Dr. Paloski is mentor of Elaine Carter,Dr. Paloski is colleague of Elaine Carter,Dr. Paloski is subject of investigation for Elaine Carter,Elaine Carter is daughter of Dr. Paloski,,d
c,a,【Elaine Carter】和【James Lai Li】的关系是什么？,James Lai Li is suspected by x and subject of investigation for x of Elaine Carter,Elaine Carter is future father in law and step-father of James Lai Li,Elaine Carter is step-father and master of James Lai Li,Elaine Carter is master and biological father of James Lai Li,,a
c,a,【Elaine Carter】和【Hans Li Morette】的关系是什么？,Hans Li Morette is colleague and subject of investigation for x of Elaine Carter,Elaine Carter is secret admirer and son of Hans Li Morette,Elaine Carter is son and host of Hans Li Morette,Elaine Carter is host and student of Hans Li Morette,,a
c,a,【Tony】和【Frank Bijeli】的关系是什么？,Frank Bijeli is brother of Tony,Tony is doctor of Frank Bijeli,Tony is thief of Frank Bijeli,Tony is disliked by Frank Bijeli,,a
c,a,【Tony】和【Father Tom】的关系是什么？,Father Tom is manipulator of Tony,Tony is employer of Father Tom,Tony is lover of Father Tom,Tony is son in law of Father Tom,,a
c,a,【Tony】和【Tony Bijeli】的关系是什么？,Tony Bijeli is same person as Tony (different reference),Tony is deceived by Tony Bijeli,Tony is disliked by Tony Bijeli,Tony is guest of Tony Bijeli,,a
c,a,【Hans Li Morette】和【Andrew Paloski】不存在的关系是什么？,Andrew Paloski is colleague of Hans Li Morette,Andrew Paloski is mentor of Hans Li Morette,Andrew Paloski is jealous of Hans Li Morette,Hans Li Morette is cousin of Andrew Paloski,,d
c,a,【Hans Li Morette】和【Sylvia Costa】不存在的关系是什么？,Sylvia Costa is colleague of Hans Li Morette,Sylvia Costa is manipulator of Hans Li Morette,Sylvia Costa is deceiver of Hans Li Morette,Hans Li Morette is niece of Sylvia Costa,,d
c,a,【Hans Li Morette】和【Gale Li Morette】不存在的关系是什么？,Gale Li Morette is wife of Hans Li Morette,Gale Li Morette is attempted murderer of Hans Li Morette,Gale Li Morette is betrayer of Hans Li Morette,Hans Li Morette is younger brother of Gale Li Morette,,d
