value,type,question,a,b,c,d,e,truth
a,a,Who killed Zhang Eba?,Hao Guimi,Lin Xiaohua,Li Xiaodi,Wang Xuexi,,b
b,a,How did Zhang Eba die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Killed with a gun,,c
b,a,What was the motive behind the killer killing Zhang Eba?,Love killing,Vendetta,interest,Accidental killing,,a
b,a,"The perpetrator is the victim, Zhang Eba. Who is that?",fiancee,father,lawyer,Enemies,,a
b,a,Where was Zhang Eba killed?,On campus,Old teaching building,Inside the dormitory,His own family,,a
b,a,When was Zhang Eba killed?,11:33 PM,0pm,8am,3pm,,a
b,b,Please select the two people you most suspect of killing Zhang Eba,Hao Guimi,Lin Xiaohua,Li Xiaodi,Wang Xuexi,,b
c,a,What is the relationship between Zhang Eba and Lin Xiaohua?,Lin Xiaohua is fiance and victim of Zhang Eba,Zhang Eba is daughter in law and grandchild of Lin Xiaohua,Zhang Eba is grandchild and niece of Lin Xiaohua,Zhang Eba is niece and mentor of Lin Xiaohua,,a
c,a,What is the relationship between Zhang Eba and Cousin Sister?,Cousin Sister is schoolmate and murderer of Zhang Eba,Zhang Eba is grandchild and niece of Cousin Sister,Zhang Eba is niece and grandson of Cousin Sister,Zhang Eba is grandson and ex-romantic relationships with x of Cousin Sister,,a
c,a,What is the relationship between Zhang Eba and Li Dage?,Li Dage is schoolmate and bully of Zhang Eba,Zhang Eba is ex-husband and ex-romantic relationships with x of Li Dage,Zhang Eba is ex-romantic relationships with x and step-son of Li Dage,Zhang Eba is step-son and service provider of Li Dage,,a
