value,type,question,a,b,c,d,e,truth
a,a,【Lin Weiren】被谁杀死的？,Lin Xi,Lin Yang,Su Yang,Chen Jingwen,,c
b,a,【Lin Weiren】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Lin Weiren】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Lin Weiren】什么人？,儿子,父亲,律师,上级,,d
b,a,【Lin Weiren】是在哪里被杀死的？,书房,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【Lin Weiren】的两个人,Lin Xi,Lin Yang,Su Yang,Chen Jingwen,Gu Yu,c
a,a,【Gu Minghe】被谁杀死的？,Lin Xi,Lin Xi,Su Yang,Chen Jingwen,,b
b,a,【Gu Minghe】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Gu Minghe】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Gu Minghe】什么人？,儿子,父亲,律师,仇人,,d
b,a,【Gu Minghe】是在哪里被杀死的？,办公大楼,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【Gu Minghe】的两个人,Lin Xi,Lin Yang,Su Yang,Chen Jingwen,Lin Xi,e
b,a,你是否信任【Lin Xi】？,信任,不信任,,,,a
c,a,【Lin Xi】和【Gu Qing】不存在的关系是什么？,Gu Qing is rival in love of Lin Xi,Gu Qing is dislike of Lin Xi,Gu Qing is friend of Lin Xi,Lin Xi is younger sister of Gu Qing,,d
c,a,【Lin Xi】和【Lin Yang】的关系是什么？,Lin Yang is adoptive brother and hate of Lin Xi,Lin Xi is fiance and saviour of Lin Yang,Lin Xi is saviour and teacher of Lin Yang,Lin Xi is teacher and debtor of Lin Yang,,a
c,a,【Lin Xi】和【Chen Jingwen】的关系是什么？,Chen Jingwen is acquaintance and rival in love of Lin Xi,Lin Xi is ex-romantic relationships with x and wife of Chen Jingwen,Lin Xi is wife and service provider of Chen Jingwen,Lin Xi is service provider and sister of Chen Jingwen,,a
c,a,【Lin Weiren】和【Shen Cheng】不存在的关系是什么？,Shen Cheng is employee of Lin Weiren,Shen Cheng is hate of Lin Weiren,Shen Cheng is servant of Lin Weiren,Lin Weiren is seeker of help from Shen Cheng,,d
c,a,【Lin Weiren】和【Su Yang】不存在的关系是什么？,Su Yang is student of Lin Weiren,Su Yang is dislike of Lin Weiren,Su Yang is hate of Lin Weiren,Lin Weiren is patient of Su Yang,,d
c,a,【Lin Weiren】和【Lin Yang】的关系是什么？,Lin Yang is son and adoptive son of Lin Weiren,Lin Weiren is ex-wife and perpetrator of Lin Yang,Lin Weiren is perpetrator and wife of Lin Yang,Lin Weiren is wife and guest of Lin Yang,,a
c,a,【Su Yang】和【Gu Qing】的关系是什么？,Gu Qing is acquaintance and secret admirer of Su Yang,Su Yang is disliked by x and creditor of Gu Qing,Su Yang is creditor and adoptive son of Gu Qing,Su Yang is adoptive son and grandmother of Gu Qing,,a
c,a,【Su Yang】和【Lin Xi】的关系是什么？,Lin Xi is fiancee of Su Yang,Su Yang is jealous of Lin Xi,Su Yang is patient of Lin Xi,Su Yang is elder sister of Lin Xi,,a
c,a,【Su Yang】和【Lin Weiren】的关系是什么？,Lin Weiren is teacher of Su Yang,Su Yang is sister of Lin Weiren,Su Yang is future daughter in law of Lin Weiren,Su Yang is service provider of Lin Weiren,,a
c,a,【Gu Minghe】和【Gu Yu】的关系是什么？,Gu Yu is subordinate and son of Gu Minghe,Gu Minghe is schoolmate and neighbour of Gu Yu,Gu Minghe is neighbour and sworn brother of Gu Yu,Gu Minghe is sworn brother and suspicious of Gu Yu,,a
c,a,【Gu Minghe】和【Shen Cheng】的关系是什么？,Shen Cheng is hate of Gu Minghe,Gu Minghe is grandfather of Shen Cheng,Gu Minghe is husband of Shen Cheng,Gu Minghe is student of Shen Cheng,,a
c,a,【Gu Minghe】和【Gu Qing】的关系是什么？,Gu Qing is daughter of Gu Minghe,Gu Minghe is perpetrator of Gu Qing's family,Gu Minghe is in the lawsuit against Gu Qing,Gu Minghe is service provider of Gu Qing,,a
