value,type,question,a,b,c,d,e,truth
a,a,【吕名然】被谁杀死的？,尚致,海悠,韦太太,承格,,a
b,a,【吕名然】是怎么死的？,用麻醉药麻醉后吊死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【吕名然】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【吕名然】什么人？,合作关系,父亲,舅舅,律师,,a
b,a,【吕名然】是在哪里被杀死的？,一层大厅上方,在楼顶,山上,河边,,a
b,a,【吕名然】是什么时候被杀死的？,9.28号10点左右,9.28号9点左右,9.25号,9.24号,,a
b,b,请选出你最怀疑杀死【吕名然】的两个人,尚致,海悠,承格,韦太太,廖公子,a
a,a,【戴面具的女尸】被谁杀死的？,尚致,海悠,韦太太,承格,,a
a,a,【戴面具的女尸】是谁？,红儿,仆人,张医师,茱丽,,a
b,a,【戴面具的女尸】是怎么死的？,用枪杀死的,被拳头打死的,用绳子勒死的,被水淹死的,,c
b,a,凶手杀【戴面具的女尸】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【戴面具的女尸】什么人？,小时候熟人,母亲,律师,医生,,a
b,a,【戴面具的女尸】是在哪里被杀死的？,廖公子房,储物室,河边,山上,,a
b,a,【戴面具的女尸】是什么时候被杀死的？,9.28号9点左右,9.25号,9.24号,10月,,a
b,b,请选出你最怀疑杀死【戴面具的女尸】的两个人,尚致,廖公子,韦太太,海悠,承格,a
a,a,【谭仁昌】被谁杀死的？,廖公子,海悠,韦太太,承格,,a
b,a,【谭仁昌】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀【谭仁昌】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【谭仁昌】什么人？,仇人,母亲,律师,医生,,a
b,a,【谭仁昌】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,a,【谭仁昌】是什么时候被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死【谭仁昌】的两个人,廖公子,承格,韦太太,海悠,尚致,a
