value,type,question,a,b,c,d,e,truth
a,a,Who killed Zhao Cishan?,Zhang Villager,Chief Wang,Hu Investigate,,,b
b,a,How did Zhao Cishan die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Killed with a gun,,c
b,a,What was the motive behind the killer killing Zhao Cishan?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,The perpetrator is the victim Zhao Cishan. Who is it?,Son,father,lawyer,Enemies,,d
b,a,Where was Zhao Cishan killed?,In his own home,ashore ,On deck,Riverside,,a
b,a,When was Zhao Cishan killed?,"May 14th, 2032, after 9pm","May 1st, 2032 daytime","Early morning on May 14, 2032","May 14, 2032 daytime",,a
b,b,Please select the two people you most suspect of killing Zhao Cishan,Zhang Villager,Chief Wang,Hu Investigate,commit suicide,,b
b,a,Who is a killer?,Zhang Villager,Chief Wang,Hu Investigate,,,a
c,a,What is the relationship between Zhao Cishan and Officer Li?,Officer Li is attempted murderer and dislike of Zhao Cishan,Zhao Cishan is adoptive sister and twin sister of Officer Li,Zhao Cishan is twin sister and admired by x of Officer Li,Zhao Cishan is admired by x and informant of Officer Li,,a
c,a,What is the relationship between Zhao Cishan and Hu Investigate?,Hu Investigate is hate and dislike of Zhao Cishan,Zhao Cishan is romantic relationships with x and tour guide of Hu Investigate,Zhao Cishan is tour guide and guest of Hu Investigate,Zhao Cishan is guest and minion of Hu Investigate,,a
c,a,What is the relationship between Zhao Cishan and Chief Wang?,Chief Wang is hate and murderer of Zhao Cishan,Zhao Cishan is daughter and lover of Chief Wang,Zhao Cishan is lover and adoptive son of Chief Wang,Zhao Cishan is adoptive son and step-mother of Chief Wang,,a
a,a,Who killed Zhao Cishan?,Officer Li,Chief Wang,Hu Investigate,,,b
b,a,How did Zhao Cishan die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Killed with a gun,,c
b,a,What was the motive behind the killer killing Zhao Cishan?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,The perpetrator is the victim Zhao Cishan. Who is it?,Son,father,lawyer,Enemies,,d
b,a,Where was Zhao Cishan killed?,In his own home,ashore ,On deck,Riverside,,a
b,a,When was Zhao Cishan killed?,"May 14th, 2032, after 9pm","May 1st, 2032 daytime","Early morning on May 14, 2032","May 14, 2032 daytime",,a
b,b,Please select the two people you most suspect of killing Zhao Cishan,Officer Li,Chief Wang,Hu Investigate,commit suicide,,b
