value,type,question,a,b,c,d,e,truth
c,a,【尹少鸣】和【赵洛意】的关系是什么？,赵洛意 is seeker of help from x and secret admirer of 尹少鸣,尹少鸣 is twin sister and killed by x of 赵洛意,尹少鸣 is killed by x and brother of 赵洛意,尹少鸣 is brother and grandfather of 赵洛意,,a
c,a,【尹少鸣】和【虞北辰】的关系是什么？,虞北辰 is father of 尹少鸣,尹少鸣 is co-wives of 虞北辰,尹少鸣 is boyfriend of 虞北辰,尹少鸣 is suspect to 虞北辰,,a
c,a,【尹少鸣】和【任】的关系是什么？,任 is mother of 尹少鸣,尹少鸣 is neighbour of 任,尹少鸣 is classmate of 任,尹少鸣 is friend of 任,,a
c,a,【廖老板】和【任师父】不存在的关系是什么？,任师父 is master of 廖老板,任师父 is employee of 廖老板,任师父 is servant of 廖老板,廖老板 is saviour of 任师父,,d
c,a,【廖老板】和【郭望山】的关系是什么？,郭望山 is employee of 廖老板,廖老板 is suspect to 郭望山,廖老板 is liked by 郭望山,廖老板 is deceiver of 郭望山,,a
c,a,【廖老板】和【赵万雷】的关系是什么？,赵万雷 is rival of 廖老板,廖老板 is father of 赵万雷,廖老板 is liked by 赵万雷,廖老板 is nephew of 赵万雷,,a
c,a,【赵万雷】和【冯双骥】不存在的关系是什么？,冯双骥 is schoolmate of 赵万雷,冯双骥 is servant of 赵万雷,冯双骥 is employee of 赵万雷,赵万雷 is 冯双骥's enemy's family,,d
c,a,【赵万雷】和【郭望山】不存在的关系是什么？,郭望山 is Business Partner of X,郭望山 is Attempted Murderer of X,郭望山 is Perpetrator of X's family,赵万雷 is quest companion of 郭望山,,d
c,a,【赵万雷】和【齐岳】不存在的关系是什么？,齐岳 is employee of 赵万雷,齐岳 is servant of 赵万雷,齐岳 is Perpetrator of X's family,赵万雷 is fiancee of 齐岳,,d
c,a,【赵秋儿】和【赵洛意】不存在的关系是什么？,赵洛意 is master of 赵秋儿,赵洛意 is friend of 赵秋儿,赵洛意 is jealous by 赵秋儿,赵秋儿 is sister in law of 赵洛意,,d
c,a,【赵秋儿】和【齐岳】的关系是什么？,齐岳 is colleague and possibly family of 赵秋儿,赵秋儿 is betrayed by x and friend of 齐岳,赵秋儿 is friend and thief of 齐岳,赵秋儿 is thief and murderer of 齐岳,,a
c,a,【赵秋儿】和【赵万雷】的关系是什么？,赵万雷 is employer of 赵秋儿,赵秋儿 is adoptive mother of 赵万雷,赵秋儿 is elder brother of 赵万雷,赵秋儿 is secret admirer of 赵万雷,,a
