value,type,question,a,b,c,d,e,truth
a,a,Who killed Zhou Mengdang?,Zhou Chitong,Xi Yan,Yu Sunian,Tian Chou,,d
b,a,How did Zhou Mengdang die?,Killed by crossbow guns,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What was the motive behind the killer killing Zhou Mengdang?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,"The perpetrator is the victim, Zhou Mengdang. Who is that?",Enemies,colleague,friend,Superior,,a
b,a,Where was Zhou Mengdang killed?,on board,Southern courtyard,On the mountain,Riverside,,a
b,b,Please select the two people you most suspect of killing Zhou Mengdang,Zhou Chitong,Xi Yan,Tian Chou,Yu Sunian,Zhou Lianyi,c
a,a,Who killed Bao Liu (Yu Shi)?,Yu Sunian,Xi Yan,Xi Yan,Tian Chou,,d
b,a,How did Bao Liu (Yu Shi) die?,Killed with a gun,Beaten to death with a fist,Killed with stones,Drowned by water,,c
b,a,What is the motive behind the killer killing Bao Liu (Yu Shi)?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim Bao Liu (Yu Shi). Who is that?,Enemies,mother,lawyer,doctor,,a
b,a,Where was Bao Liu (Yu Shi) killed?,Southern courtyard,on board,Riverside,On the mountain,,a
b,b,Please select the two people you most suspect of killing Bao Liu (Yu Shi),Tian Chou,Zhou Chitong,Yu Sunian,Xi Yan,Zhou Lianyi,a
a,a,"Cui Shouheng, who killed him?",Zhou Chitong,Yu Sunian,Xi Yan,Tian Chou,,b
b,a,How did Cui Shouheng die?,Killed by crossbow guns,Poisoned to death by poison,Killed with a mechanism,Drowned by water,,c
b,a,What is the motive behind the killer killing Cui Shouheng?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim Cui Shouheng. Who is that?,Enemies,colleague,friend,Superior,,a
b,a,Where was Cui Shouheng killed?,Home owner's room,Southern courtyard,on board,Riverside,,a
b,b,Please select the two people you most suspect of killing Cui Shouheng,Zhou Chitong,Xi Yan,Tian Chou,Yu Sunian,Zhou Lianyi,d
a,a,Who killed Taitai (Wang Xi Rong)?,Yu Sunian,Xi Yan,Zhou Chitong,Tian Chou,,a
b,a,How did Taitai (Wang Xi Rong) die?,Poisoned to death by poison,Beaten to death with a fist,Killed with stones,Drowned by water,,a
b,a,What was the motive behind the killer killing Taitai (Wang Xi Rong)?,Love killing,Vendetta,interest,Accidental killing,,d
b,a,The perpetrator is the victim Taitai (Wang Xi Rong) who?,subordinate,mother,lawyer,doctor,,a
b,a,Where was Taitai (Wang Xi Rong) killed?,In the room,On the mountain,on board,Riverside,,a
b,b,Please select the two people you most suspect of killing Taitai (Wang Xi Rong),Tian Chou,Zhou Chitong,Yu Sunian,Xi Yan,Zhou Lianyi,c
b,a,What is the true relationship between Yu Sunian and Zhou Lianyi?,Teacher-student relationship,Romantic relationship,It doesn't matter.,Siblings,,b
b,a,What is the true relationship between Zhou Chitong and Tian Chou?,It doesn't matter.,Romantic relationship,Tian Chou is utilizing Zhou Chitong,Siblings,,c
