value,type,question,a,b,c,d,e,truth
a,a,Who killed Zhou Mengdang?,Zhou Chitong,Yannan,Yu Sunian,Tian Chou,,d
b,a,How did Zhou Mengdang die?,Killed by crossbow guns,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What was the motive behind the killer killing Zhou Mengdang?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,"The perpetrator is the victim, Zhou Mengdang. Who is that?",Enemies,colleague,friend,Superior,,a
b,a,Where was Zhou Mengdang killed?,on board,Southern courtyard,On the mountain,Riverside,,a
b,b,Please select the two people you most suspect of killing Zhou Mengdang,Zhou Chitong,Yannan,Tian Chou,Yu Sunian,Zhou Lianyi,c
a,a,Who killed Bao Liu?,Yu Sunian,Yannan,Yannan,Tian Chou,,d
b,a,How did Bao Liu die?,Killed with a gun,Beaten to death with a fist,Killed with stones,Drowned by water,,c
b,a,What is the motive behind the killer killing Bao Liu?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim Bao Liu. Who is that?,Enemies,mother,lawyer,doctor,,a
b,a,Where was Bao Liu killed?,Southern courtyard,on board,Riverside,On the mountain,,a
b,b,Please select the two people you most suspect of killing Bao Liu,Tian Chou,Zhou Chitong,Yu Sunian,Yannan,Zhou Lianyi,a
a,a,"Cui Shouheng, who killed him?",Zhou Chitong,Yu Sunian,Yannan,Tian Chou,,b
b,a,How did Cui Shouheng die?,Killed by crossbow guns,Poisoned to death by poison,Killed with a mechanism,Drowned by water,,c
b,a,What is the motive behind the killer killing Cui Shouheng?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim Cui Shouheng. Who is that?,Enemies,colleague,friend,Superior,,a
b,a,Where was Cui Shouheng killed?,Home owner's room,Southern courtyard,on board,Riverside,,a
b,b,Please select the two people you most suspect of killing Cui Shouheng,Zhou Chitong,Yannan,Tian Chou,Yu Sunian,Zhou Lianyi,d
