value,type,question,a,b,c,d,e,truth
c,a,【吕名然】和【承格】不存在的关系是什么？,承格 is murderer of 吕名然,承格 is acquaintance of 吕名然,承格 is employee of 吕名然,吕名然 is sibling of 承格,,d
c,a,【吕名然】和【罗亨理】的关系是什么？,罗亨理 is superior and acquaintance of 吕名然,吕名然 is son in law and daughter of 罗亨理,吕名然 is daughter and brother in law of 罗亨理,吕名然 is brother in law and fiancee of 罗亨理,,a
c,a,【吕名然】和【谭仁昌】的关系是什么？,谭仁昌 is employer and acquaintance of 吕名然,吕名然 is step-brother and step-son of 谭仁昌,吕名然 is step-son and biological son of 谭仁昌,吕名然 is biological son and half sister of 谭仁昌,,a
c,a,【廖公子】和【谭尚致】的关系是什么？,谭尚致 is acquaintance of 廖公子,廖公子 is grandmother of 谭尚致,廖公子 is grandchild of 谭尚致,廖公子 is brother in law of 谭尚致,,a
c,a,【廖公子】和【韦太太】的关系是什么？,韦太太 is acquaintance of 廖公子,廖公子 is lawyer of 韦太太,廖公子 is tour guide of 韦太太,廖公子 is landlord of 韦太太,,a
c,a,【廖公子】和【海悠】的关系是什么？,海悠 is acquaintance of 廖公子,廖公子 is elder brother of 海悠,廖公子 is unsuccessful helper of 海悠,廖公子 is future mother in law of 海悠,,a
c,a,【欣雅】和【承格】的关系是什么？,承格 is adoptive son of 欣雅,欣雅 is girlfriend of 承格,欣雅 is jealous by 承格,欣雅 is creditor of 承格,,a
c,a,【欣雅】和【吕名然】的关系是什么？,吕名然 is helper of 欣雅,欣雅 is perpetrator of 吕名然,欣雅 is step-daughter of 吕名然,欣雅 is jealous of 吕名然,,a
c,a,【欣雅】和【谭仁昌】的关系是什么？,谭仁昌 is secret lover of 欣雅,欣雅 is tour guide of 谭仁昌,欣雅 is sister in law of 谭仁昌,欣雅 is jealous of 谭仁昌,,a
c,a,【海悠】和【谭仁昌】不存在的关系是什么？,谭仁昌 is adoptive father of 海悠,谭仁昌 is uncle of 海悠,谭仁昌 is victim of 海悠,海悠 is acquaintance of 谭仁昌,,d
c,a,【海悠】和【韦太太】的关系是什么？,韦太太 is aunt and acquaintance of 海悠,海悠 is x's enemy's family and messenger of 韦太太,海悠 is messenger and service provider of 韦太太,海悠 is service provider and betrayed by x of 韦太太,,a
c,a,【海悠】和【罗明纱】的关系是什么？,罗明纱 is adoptive daughter and adoptive mother of 海悠,海悠 is secret admirer and murderer of 罗明纱,海悠 is murderer and quest companion of 罗明纱,海悠 is quest companion and colleague of 罗明纱,,a
c,a,【红儿】和【廖雪寒】不存在的关系是什么？,廖雪寒 is manipulator of 红儿,廖雪寒 is creditor of 红儿,廖雪寒 is helper of 红儿,红儿 is fiancee of 廖雪寒,,d
c,a,【红儿】和【承格】的关系是什么？,承格 is murderer of 红儿,红儿 is secret lover of 承格,红儿 is uncle of 承格,红儿 is elder brother of 承格,,a
c,a,【红儿】和【欣雅】的关系是什么？,欣雅 is mother of 红儿,红儿 is lawyer of 欣雅,红儿 is wife of 欣雅,红儿 is deceiver of 欣雅,,a
c,a,【谭仁昌】和【谭尚致】的关系是什么？,谭尚致 is deceived by x and nephew of 谭仁昌,谭仁昌 is buyer and liked by x of 谭尚致,谭仁昌 is liked by x and service provider of 谭尚致,谭仁昌 is service provider and guard of 谭尚致,,a
c,a,【谭仁昌】和【吕名然】的关系是什么？,吕名然 is acquaintance and employee of 谭仁昌,谭仁昌 is ex-romantic relationships with x and ex-wife of 吕名然,谭仁昌 is ex-wife and elder brother of 吕名然,谭仁昌 is elder brother and grandparent of 吕名然,,a
c,a,【谭仁昌】和【承格】的关系是什么？,承格 is adoptive son and deceiver of 谭仁昌,谭仁昌 is fondness and boyfriend of 承格,谭仁昌 is boyfriend and husband of 承格,谭仁昌 is husband and debtor of 承格,,a
c,a,【谭太太】和【尚致】的关系是什么？,尚致 is nephew and relative of 谭太太,谭太太 is husband and suspect of 尚致,谭太太 is suspect and student of 尚致,谭太太 is student and dislike of 尚致,,a
c,a,【谭太太】和【谭尚致】的关系是什么？,谭尚致 is deceived by x and nephew of 谭太太,谭太太 is subordinate and neighbour of 谭尚致,谭太太 is neighbour and lawyer of 谭尚致,谭太太 is lawyer and romantic relationships with x of 谭尚致,,a
c,a,【谭太太】和【吕名然】的关系是什么？,吕名然 is extramarital affair with x and acquaintance of 谭太太,谭太太 is younger brother and mother of 吕名然,谭太太 is mother and murderer of 吕名然,谭太太 is murderer and killed by x of 吕名然,,a
