value,type,question,a,b,c,d,e,truth
a,a,Who killed Hans Li Morette?,Gale Li Morette,Nurse head [Sylvia Costa],Drake Li Morette,Frank Bijeli,,a
b,a,How did Hans Li Morette die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What was the motive behind the killer killing Hans Li Morette?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim, Hans Li Morette. Who is that?",Enemies,colleague,friend,wife,,d
b,a,Where was Hans Li Morette killed?,emergency room,Johnson Family,laboratory,dressing room,,c
b,a,When was Hans Li Morette killed?,This afternoon from 5:00 to 5:30,This afternoon from 6:30 to 7:00,Tonight from 7:00 to 7:30,This morning from 6:30 to 7:00,,b
b,b,Please select the two people you most suspect of killing Hans Li Morette,Gale Li Morette,Nurse head [Sylvia Costa],Drake Li Morette,Frank Bijeli,,a
b,a,What is the true identity of the intern Elaine Carter?,Organ traffickers,Undercover Police Regular Intern,Kidnappers,,b,
b,a,What was not done by Frank Bijeli?,murder,Stealing files,Fraud,When Father Tom's request,,a
b,a,What is Tony Bijeli's true identity?,Kidnappers,Killer,Undercover Cop ,patient,,a
b,a,What was not done by Richard Berkeley?,Appropriating hospital funds as allowances,Hiring someone to steal documents,Participate in organ trafficking,Hiring someone to burn down Drake's house,,c
b,a,What is Father Tom's true identity?,Kidnappers,Killer,A big scammer with a strong desire,People with special abilities,,c
b,a,What is the true identity of head nurse Sylvia Costa?,An accomplice in organ trafficking,Killer,Undercover Cop ,People with special abilities,,a
c,a,What is the non-existent relationship between Hans Li Morette and Andrew Paloski?,Andrew Paloski is colleague of Hans Li Morette,Andrew Paloski is mentor of Hans Li Morette,Andrew Paloski is jealous of Hans Li Morette,Hans Li Morette is admirer of Andrew Paloski,,d
c,a,What is the non-existent relationship between Hans Li Morette and Sylvia Costa?,Sylvia Costa is colleague of Hans Li Morette,Sylvia Costa is manipulator of Hans Li Morette,Sylvia Costa is deceiver of Hans Li Morette,Hans Li Morette is information receiver from Sylvia Costa,,d
c,a,What is the non-existent relationship between Hans Li Morette and Gale Li Morette?,Gale Li Morette is wife of Hans Li Morette,Gale Li Morette is attempted murderer of Hans Li Morette,Gale Li Morette is betrayer of Hans Li Morette,Hans Li Morette is mother in law of Gale Li Morette,,d
c,a,What is the non-existent relationship between Gale Li Morette and Drake Li Morette?,Drake Li Morette is extramarital affair with Gale Li Morette,Drake Li Morette is brother in law of Gale Li Morette,Drake Li Morette is victim of Gale Li Morette,Gale Li Morette is creditor of Drake Li Morette,,d
c,a,What is the relationship between Gale Li Morette and Hans Li Morette?,Hans Li Morette is husband and betrayed by x of Gale Li Morette,Gale Li Morette is business partner and service provider of Hans Li Morette,Gale Li Morette is service provider and biological father of Hans Li Morette,Gale Li Morette is biological father and half sister of Hans Li Morette,,a
c,a,What is the relationship between Gale Li Morette and James Lai Li?,James Lai Li is helper and customer of Gale Li Morette,Gale Li Morette is in the lawsuit against x and brother in law of James Lai Li,Gale Li Morette is brother in law and concubine of James Lai Li,Gale Li Morette is concubine and sister in law of James Lai Li,,a
