value,type,question,a,b,c,d,e,truth
a,a,赵老爷【赵万雷】被谁杀死的？,冯双骥,郭忘山,赵卫,齐岳,,a
b,a,赵老爷【赵万雷】是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被毒药毒死的,,d
b,a,凶手杀赵老爷【赵万雷】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人赵老爷【赵万雷】什么人？,仇人,徒弟,下属,陌生人,,c
b,a,赵老爷【赵万雷】是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城的绸缎铺里,汉阳的兵工厂,赵万雷的卧室里,,d
b,b,请选出你最怀疑杀死赵老爷【赵万雷】的两个人,任师父,冯双骥,郭忘山,赵卫,齐岳,a
b,a,谁是【赵卫】的亲生父亲？,赵万雷,郭忘山,冯双骥,光绪皇帝,,a
b,a,谁是【赵洛意】的亲生父亲？,赵万雷,郭忘山,冯双骥,光绪皇帝,,c
b,a,谁在帮助黑狼会做一些隐秘的生意？,赵万雷,郭忘山,冯双骥,赵卫,,c
b,a,年轻人【尹少鸣】是什么人？,黑狼会的人,"误以为赵洛意被绑架了，不放心而跟过来的热心人",冯双骥的表外甥,赵万雷的下属,,c
b,a,年轻人【尹少鸣】和冯总管【冯双骥】是什么关系？,尹少鸣是冯双骥的女婿,尹少鸣和冯双骥是陌生人,尹少鸣的外公是冯双骥的师父,尹少鸣和冯双骥都是黑狼会的人,,c
b,a,【赵秋儿】和护院总管【齐岳】实际上是什么关系？,兄妹,仇人,徒弟,朋友,,a
b,a,【赵秋儿】和赵老爷【赵万雷】实际上是什么关系？,【赵秋儿】单方面喜欢赵老爷【赵万雷】,赵老爷【赵万雷】单方面喜欢【赵秋儿】,赵老爷【赵万雷】只是开玩笑要娶【赵秋儿】,赵老爷【赵万雷】和【赵秋儿】两情相悦,,d
c,a,年轻人【尹少鸣】和【赵洛意】的关系是什么？,赵洛意 is seeker of help from x and secret admirer of 尹少鸣,尹少鸣 is rebellion against x and niece of 赵洛意,尹少鸣 is niece and rival of 赵洛意,尹少鸣 is rival and biological father of 赵洛意,,a
c,a,年轻人【尹少鸣】和【虞北辰】的关系是什么？,虞北辰 is father of 尹少鸣,尹少鸣 is crime partner of 虞北辰,尹少鸣 is manipulator of 虞北辰,尹少鸣 is victim of 虞北辰,,a
c,a,年轻人【尹少鸣】和【任】的关系是什么？,任 is mother of 尹少鸣,尹少鸣 is girlfriend of 任,尹少鸣 is betrayed by 任,尹少鸣 is murderer of 任,,a
c,a,赵老爷【赵万雷】和冯总管【冯双骥】不存在的关系是什么？,冯双骥 is schoolmate of 赵万雷,冯双骥 is servant of 赵万雷,冯双骥 is employee of 赵万雷,赵万雷 is daughter in law of 冯双骥,,d
c,a,赵老爷【赵万雷】和【郭望山】不存在的关系是什么？,郭望山 is Business Partner of X,郭望山 is Attempted Murderer of X,郭望山 is Perpetrator of X's family,赵万雷 is schoolmate of 郭望山,,d
c,a,赵老爷【赵万雷】和护院总管【齐岳】不存在的关系是什么？,齐岳 is employee of 赵万雷,齐岳 is servant of 赵万雷,齐岳 is Perpetrator of X's family,赵万雷 is father of 齐岳,,d
c,a,护院总管【齐岳】和【双面虎】不存在的关系是什么？,双面虎 is manipulator of 齐岳,双面虎 is adversary of 齐岳,双面虎 is employer of 齐岳,齐岳 is step-father of 双面虎,,d
c,a,护院总管【齐岳】和赵老爷【赵万雷】不存在的关系是什么？,赵万雷 is employer of 齐岳,赵万雷 is master of 齐岳,赵万雷 is 齐岳's victim's family,齐岳 is twin sister of 赵万雷,,d
c,a,护院总管【齐岳】和冯总管【冯双骥】的关系是什么？,冯双骥 is colleague and x's victim's family of 齐岳,齐岳 is adoptive sister and admired by x of 冯双骥,齐岳 is admired by x and son in law of 冯双骥,齐岳 is son in law and friend of 冯双骥,,a
