value,type,question,a,b,c,d,e,truth
a,a,【汉斯·里莫瑞特】被谁杀死的？,盖尔·里莫瑞特,护士长【西尔维娅·科斯塔】,德雷克·里莫瑞特,弗兰克·比杰利,,a
b,a,【汉斯·里莫瑞特】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【汉斯·里莫瑞特】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【汉斯·里莫瑞特】什么人？,仇人,同事,朋友,妻子,,d
b,a,【汉斯·里莫瑞特】是在哪里被杀死的？,急诊室,约翰逊家,实验室,更衣室,,c
b,a,【汉斯·里莫瑞特】是在何时被杀死的？,今天下午5:00到5:30,今天下午6:30到7:00,今天晚上7:00到7:30,今天早上6:30到7:00,,b
b,b,请选出你最怀疑杀死【汉斯·里莫瑞特】的两个人,盖尔·里莫瑞特,护士长【西尔维娅·科斯塔】,德雷克·里莫瑞特,弗兰克·比杰利,,a
b,a,实习生【依琳·卡特】的真实身份是什么?, 器官贩子,卧底警察 普通实习生,绑匪,,b
b,a,【德雷克·里莫瑞特】的真实身份是什么?, 器官贩子,卧底警察,汉斯·里莫瑞特假扮的,绑匪,,c
b,a,哪件事不是【理查德·伯克利】做的?, 挪用医院资金作为津贴,雇人偷取文件,参与器官贩卖,雇人烧毁德雷克的房子,,c
b,a,【神父汤姆】的真实身份是什么?, 绑匪,杀人凶手,有着强烈欲望的大骗子,有特殊能力的人,,c
b,a,护士长【西尔维娅·科斯塔】的真实身份是什么?, 贩卖器官的帮凶,杀人凶手,卧底警察,有特殊能力的人,,a
c,a,【托尼】和【弗兰克·比杰利】的关系是什么？,弗兰克·比杰利 is brother of 托尼,托尼 is secret admirer of 弗兰克·比杰利,托尼 is guest of 弗兰克·比杰利,托尼 is saviour of 弗兰克·比杰利,,a
c,a,【托尼】和【神父汤姆】的关系是什么？,神父汤姆 is manipulator of 托尼,托尼 is seeker of help from 神父汤姆,托尼 is grandmother of 神父汤姆,托尼 is ex-wife of 神父汤姆,,a
c,a,【托尼】和【托尼·比杰利】的关系是什么？,托尼·比杰利 is same person as 托尼 (different reference),托尼 is perpetrator of 托尼·比杰利's family,托尼 is subordinate of 托尼·比杰利,托尼 is adoptive sister of 托尼·比杰利,,a
c,a,【理查德·伯克利】和【安德鲁·帕洛斯基】的关系是什么？,安德鲁·帕洛斯基 is subordinate and colleague of 理查德·伯克利,理查德·伯克利 is nephew and secret crush of 安德鲁·帕洛斯基,理查德·伯克利 is secret crush and bully of 安德鲁·帕洛斯基,理查德·伯克利 is bully and information receiver from x of 安德鲁·帕洛斯基,,a
c,a,【理查德·伯克利】和【西尔维娅·科斯塔】的关系是什么？,西尔维娅·科斯塔 is subordinate and colleague of 理查德·伯克利,理查德·伯克利 is guest and classmate of 西尔维娅·科斯塔,理查德·伯克利 is classmate and step-sister of 西尔维娅·科斯塔,理查德·伯克利 is step-sister and hate of 西尔维娅·科斯塔,,a
c,a,【理查德·伯克利】和【德雷克·里莫瑞特】的关系是什么？,德雷克·里莫瑞特 is subordinate and colleague of 理查德·伯克利,理查德·伯克利 is bully and admired by x of 德雷克·里莫瑞特,理查德·伯克利 is admired by x and seeker of help from x of 德雷克·里莫瑞特,理查德·伯克利 is seeker of help from x and son in law of 德雷克·里莫瑞特,,a
