value,type,question,a,b,c,d,e,truth
a,a,【张恶霸】被谁杀死的？,郝闺蜜,林校花,王学习,赵帅哥,,b
b,a,【张恶霸】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,用枪打死的,,c
b,a,凶手杀【张恶霸】的动机是什么？,情杀,仇杀,利益,误杀,,a
b,a,凶手是被害人【张恶霸】什么人？,未婚妻,父亲,律师,仇人,,a
b,a,【张恶霸】是在哪里被杀死的？,校园里面,旧教学楼,寝室里面,他自己家里,,a
b,a,【张恶霸】是什么时候被杀死的？,晚上11点33,晚上0点,上午8点,下午3点,,a
b,b,请选出你最怀疑杀死【张恶霸】的两个人,郝闺蜜,林校花,王学习,赵帅哥,,b
c,a,【张恶霸】和【林校花】的关系是什么？,林校花 is fiance and victim of 张恶霸,张恶霸 is half sister and grandchild of 林校花,张恶霸 is grandchild and niece of 林校花,张恶霸 is niece and younger sister of 林校花,,a
c,a,【张恶霸】和【表姐】的关系是什么？,表姐 is schoolmate and murderer of 张恶霸,张恶霸 is master and boyfriend of 表姐,张恶霸 is boyfriend and ex-husband of 表姐,张恶霸 is ex-husband and admired by x of 表姐,,a
c,a,【张恶霸】和【李大哥】的关系是什么？,李大哥 is schoolmate and bully of 张恶霸,张恶霸 is sibling and liked by x of 李大哥,张恶霸 is liked by x and younger sister of 李大哥,张恶霸 is younger sister and tour guide of 李大哥,,a
